p,v,cp,rcp,a,ba,sa,hl,pcp,t
5890.0,18800,-440.0,-0.1,,249800.0,0.0,False,0.0,14:45:01
5890.0,900,-440.0,-0.1,BU,249800.0,0.0,False,0.0,14:29:54
5890.0,100,-440.0,-0.1,BU,248900.0,0.0,False,0.0,14:29:41
5890.0,500,-440.0,-0.1,BU,248800.0,0.0,False,0.0,14:26:30
5890.0,100,-440.0,-0.1,BU,248300.0,0.0,False,0.0,14:15:42
5890.0,1000,-440.0,-0.1,BU,248200.0,0.0,False,0.0,14:15:04
5890.0,1000,-440.0,-0.1,BU,247200.0,0.0,False,0.0,14:15:00
5890.0,1000,-440.0,-0.1,BU,246200.0,0.0,False,0.0,14:14:09
5890.0,300,-440.0,-0.1,BU,245200.0,0.0,False,0.0,14:12:06
5890.0,300,-440.0,-0.1,BU,244900.0,0.0,False,0.0,14:10:41
5890.0,200,-440.0,-0.1,BU,244600.0,0.0,False,0.0,14:09:24
5890.0,200,-440.0,-0.1,BU,244400.0,0.0,False,0.0,14:09:14
5890.0,2100,-440.0,-0.1,BU,244200.0,0.0,False,0.0,14:07:09
5890.0,7900,-440.0,-0.1,BU,242100.0,0.0,False,0.0,14:07:09
5890.0,100,-440.0,-0.1,BU,234200.0,0.0,False,0.0,14:06:56
5890.0,400,-440.0,-0.1,BU,234100.0,0.0,False,0.0,14:06:49
5890.0,1200,-440.0,-0.1,BU,233700.0,0.0,False,0.0,14:06:46
5890.0,400,-440.0,-0.1,BU,232500.0,0.0,False,0.0,14:05:13
5890.0,400,-440.0,-0.1,BU,232100.0,0.0,False,0.0,14:04:35
5890.0,100,-440.0,-0.1,BU,231700.0,0.0,False,0.0,14:00:45
5890.0,100,-440.0,-0.1,BU,231600.0,0.0,False,0.0,14:00:10
5890.0,900,-440.0,-0.1,BU,231500.0,0.0,False,0.0,13:59:12
5890.0,1900,-440.0,-0.1,BU,230600.0,0.0,False,0.0,13:59:11
5890.0,1000,-440.0,-0.1,BU,228700.0,0.0,False,0.0,13:59:11
5890.0,300,-440.0,-0.1,BU,227700.0,0.0,False,0.0,13:59:11
5890.0,1000,-440.0,-0.1,BU,227400.0,0.0,False,0.0,13:59:11
5890.0,800,-440.0,-0.1,BU,226400.0,0.0,False,0.0,13:59:11
5890.0,900,-440.0,-0.1,BU,225600.0,0.0,False,0.0,13:58:46
5890.0,1000,-440.0,-0.1,BU,224700.0,0.0,False,0.0,13:58:39
5890.0,300,-440.0,-0.1,BU,223700.0,0.0,False,0.0,13:50:48
5890.0,4700,-440.0,-0.1,BU,223400.0,0.0,False,0.0,13:50:48
5890.0,100,-440.0,-0.1,BU,218700.0,0.0,False,0.0,13:50:45
5890.0,100,-440.0,-0.1,BU,218600.0,0.0,False,0.0,13:50:40
5890.0,2000,-440.0,-0.1,BU,218500.0,0.0,False,0.0,13:50:11
5890.0,100,-440.0,-0.1,BU,216500.0,0.0,False,0.0,13:49:06
5890.0,2000,-440.0,-0.1,BU,216400.0,0.0,False,0.0,13:48:30
5890.0,5000,-440.0,-0.1,BU,214400.0,0.0,False,0.0,13:48:30
5890.0,10000,-440.0,-0.1,BU,209400.0,0.0,False,0.0,13:48:30
5890.0,1500,-440.0,-0.1,BU,199400.0,0.0,False,0.0,13:48:30
5890.0,100,-440.0,-0.1,BU,197900.0,0.0,False,0.0,13:46:42
5890.0,500,-440.0,-0.1,BU,197800.0,0.0,False,0.0,13:46:23
5890.0,500,-440.0,-0.1,BU,197300.0,0.0,False,0.0,13:46:22
5890.0,2200,-440.0,-0.1,BU,196800.0,0.0,False,0.0,13:44:12
5890.0,200,-440.0,-0.1,BU,194600.0,0.0,False,0.0,13:41:56
5890.0,100,-440.0,-0.1,BU,194400.0,0.0,False,0.0,13:40:06
5890.0,100,-440.0,-0.1,BU,194300.0,0.0,False,0.0,13:39:25
5890.0,2000,-440.0,-0.1,BU,194200.0,0.0,False,0.0,13:39:04
5890.0,1000,-440.0,-0.1,BU,192200.0,0.0,False,0.0,13:38:33
5890.0,100,-440.0,-0.1,BU,191200.0,0.0,False,0.0,13:36:34
5890.0,1000,-440.0,-0.1,BU,191100.0,0.0,False,0.0,13:36:33
5890.0,10000,-440.0,-0.1,BU,190100.0,0.0,False,0.0,13:32:49
5890.0,9000,-440.0,-0.1,BU,180100.0,0.0,False,0.0,13:32:37
5890.0,100,-440.0,-0.1,BU,171100.0,0.0,False,0.0,13:29:30
5890.0,1000,-440.0,-0.1,BU,171000.0,0.0,False,0.0,13:28:31
5890.0,100,-440.0,-0.1,BU,170000.0,0.0,False,0.0,13:28:11
5890.0,200,-440.0,-0.1,BU,169900.0,0.0,False,0.0,13:27:30
5890.0,500,-440.0,-0.1,BU,169700.0,0.0,False,0.0,13:26:30
5890.0,200,-440.0,-0.1,BU,169200.0,0.0,False,0.0,13:25:46
5890.0,100,-440.0,-0.1,BU,169000.0,0.0,False,0.0,13:25:46
5890.0,100,-440.0,-0.1,BU,168900.0,0.0,False,0.0,13:24:26
5890.0,300,-440.0,-0.1,BU,168800.0,0.0,False,0.0,13:24:07
5890.0,100,-440.0,-0.1,BU,168500.0,0.0,False,0.0,13:23:50
5890.0,100,-440.0,-0.1,BU,168400.0,0.0,False,0.0,13:23:28
5890.0,5000,-440.0,-0.1,BU,168300.0,0.0,False,0.0,13:22:52
5890.0,100,-440.0,-0.1,BU,163300.0,0.0,False,0.0,13:22:37
5890.0,100,-440.0,-0.1,BU,163200.0,0.0,False,0.0,13:21:43
5890.0,2000,-440.0,-0.1,BU,163100.0,0.0,False,0.0,13:21:26
5890.0,300,-440.0,-0.1,BU,161100.0,0.0,False,0.0,13:20:39
5890.0,1000,-440.0,-0.1,BU,160800.0,0.0,False,0.0,13:20:15
5890.0,400,-440.0,-0.1,BU,159800.0,0.0,False,0.0,13:20:02
5890.0,1600,-440.0,-0.1,BU,159400.0,0.0,False,0.0,13:20:02
5890.0,1000,-440.0,-0.1,BU,157800.0,0.0,False,0.0,13:19:25
5890.0,100,-440.0,-0.1,BU,156800.0,0.0,False,0.0,13:19:04
5890.0,800,-440.0,-0.1,BU,156700.0,0.0,False,0.0,13:18:40
5890.0,100,-440.0,-0.1,BU,155900.0,0.0,False,0.0,13:18:13
5890.0,200,-440.0,-0.1,BU,155800.0,0.0,False,0.0,13:18:12
5890.0,200,-440.0,-0.1,BU,155600.0,0.0,False,0.0,13:17:45
5890.0,100,-440.0,-0.1,BU,155400.0,0.0,False,0.0,13:17:37
5890.0,400,-440.0,-0.1,BU,155300.0,0.0,False,0.0,13:16:48
5890.0,300,-440.0,-0.1,BU,154900.0,0.0,False,0.0,13:14:56
5890.0,700,-440.0,-0.1,BU,154600.0,0.0,False,0.0,13:14:08
5890.0,1000,-440.0,-0.1,BU,153900.0,0.0,False,0.0,13:13:51
5890.0,1000,-440.0,-0.1,BU,152900.0,0.0,False,0.0,13:12:58
5890.0,400,-440.0,-0.1,BU,151900.0,0.0,False,0.0,13:12:57
5890.0,100,-440.0,-0.1,BU,151500.0,0.0,False,0.0,13:12:26
5890.0,5000,-440.0,-0.1,BU,151400.0,0.0,False,0.0,13:12:15
5890.0,2000,-440.0,-0.1,BU,146400.0,0.0,False,0.0,13:11:44
5890.0,1500,-440.0,-0.1,BU,144400.0,0.0,False,0.0,13:10:52
5890.0,100,-440.0,-0.1,BU,142900.0,0.0,False,0.0,13:10:12
5890.0,100,-440.0,-0.1,BU,142800.0,0.0,False,0.0,13:10:01
5890.0,1000,-440.0,-0.1,BU,142700.0,0.0,False,0.0,13:09:25
5890.0,100,-440.0,-0.1,BU,141700.0,0.0,False,0.0,13:09:08
5890.0,1000,-440.0,-0.1,BU,141600.0,0.0,False,0.0,13:08:51
5890.0,100,-440.0,-0.1,BU,140600.0,0.0,False,0.0,13:08:42
5890.0,500,-440.0,-0.1,BU,140500.0,0.0,False,0.0,13:08:26
5890.0,16000,-440.0,-0.1,BU,140000.0,0.0,False,0.0,13:08:10
5890.0,200,-440.0,-0.1,BU,124000.0,0.0,False,0.0,13:07:37
5890.0,100,-440.0,-0.1,BU,123800.0,0.0,False,0.0,13:07:36
5890.0,4600,-440.0,-0.1,BU,123700.0,0.0,False,0.0,13:07:14
5890.0,20000,-440.0,-0.1,BU,119100.0,0.0,False,0.0,13:07:05
5890.0,2500,-440.0,-0.1,BU,99100.0,0.0,False,0.0,13:06:52
5890.0,100,-440.0,-0.1,BU,96600.0,0.0,False,0.0,13:06:27
5890.0,2200,-440.0,-0.1,BU,96500.0,0.0,False,0.0,13:06:21
5890.0,1000,-440.0,-0.1,BU,94300.0,0.0,False,0.0,13:06:16
5890.0,100,-440.0,-0.1,BU,93300.0,0.0,False,0.0,13:06:13
5890.0,2000,-440.0,-0.1,BU,93200.0,0.0,False,0.0,13:05:58
5890.0,500,-440.0,-0.1,BU,91200.0,0.0,False,0.0,13:05:42
5890.0,2000,-440.0,-0.1,BU,90700.0,0.0,False,0.0,13:05:35
5890.0,5000,-440.0,-0.1,BU,88700.0,0.0,False,0.0,13:05:22
5890.0,2000,-440.0,-0.1,BU,83700.0,0.0,False,0.0,13:05:20
5890.0,500,-440.0,-0.1,BU,81700.0,0.0,False,0.0,13:05:17
5890.0,1000,-440.0,-0.1,BU,81200.0,0.0,False,0.0,13:05:06
5890.0,100,-440.0,-0.1,BU,80200.0,0.0,False,0.0,13:04:26
5890.0,1000,-440.0,-0.1,BU,80100.0,0.0,False,0.0,13:04:18
5890.0,100,-440.0,-0.1,BU,79100.0,0.0,False,0.0,13:03:57
5890.0,500,-440.0,-0.1,BU,79000.0,0.0,False,0.0,13:03:51
5890.0,2000,-440.0,-0.1,BU,78500.0,0.0,False,0.0,13:03:19
5890.0,100,-440.0,-0.1,BU,76500.0,0.0,False,0.0,13:02:54
5890.0,500,-440.0,-0.1,BU,76400.0,0.0,False,0.0,13:02:37
5890.0,100,-440.0,-0.1,BU,75900.0,0.0,False,0.0,13:02:24
5890.0,100,-440.0,-0.1,BU,75800.0,0.0,False,0.0,13:02:18
5890.0,1500,-440.0,-0.1,BU,75700.0,0.0,False,0.0,13:02:18
5890.0,1000,-440.0,-0.1,BU,74200.0,0.0,False,0.0,13:01:36
5890.0,2000,-440.0,-0.1,BU,73200.0,0.0,False,0.0,13:01:29
5890.0,3000,-440.0,-0.1,BU,71200.0,0.0,False,0.0,13:00:53
5890.0,100,-440.0,-0.1,BU,68200.0,0.0,False,0.0,13:00:46
5890.0,5000,-440.0,-0.1,BU,68100.0,0.0,False,0.0,13:00:42
5890.0,200,-440.0,-0.1,BU,63100.0,0.0,False,0.0,13:00:40
5890.0,1000,-440.0,-0.1,BU,62900.0,0.0,False,0.0,13:00:26
5890.0,100,-440.0,-0.1,BU,61900.0,0.0,False,0.0,13:00:20
5890.0,100,-440.0,-0.1,BU,61800.0,0.0,False,0.0,13:00:17
5890.0,300,-440.0,-0.1,BU,61700.0,0.0,False,0.0,13:00:16
5890.0,1000,-440.0,-0.1,BU,61400.0,0.0,False,0.0,13:00:16
5890.0,1700,-440.0,-0.1,BU,60400.0,0.0,False,0.0,13:00:16
5890.0,500,-440.0,-0.1,BU,58700.0,0.0,False,0.0,13:00:16
5890.0,600,-440.0,-0.1,BU,58200.0,0.0,False,0.0,13:00:15
5890.0,600,-440.0,-0.1,BU,57600.0,0.0,False,0.0,13:00:14
5890.0,4000,-440.0,-0.1,BU,57000.0,0.0,False,0.0,13:00:13
5890.0,100,-440.0,-0.1,BU,53000.0,0.0,False,0.0,13:00:13
5890.0,900,-440.0,-0.1,BU,52900.0,0.0,False,0.0,13:00:13
5890.0,100,-440.0,-0.1,BU,52000.0,0.0,False,0.0,13:00:12
5890.0,8900,-440.0,-0.1,BU,51900.0,0.0,False,0.0,13:00:12
5890.0,6100,-440.0,-0.1,BU,43000.0,0.0,False,0.0,13:00:12
5890.0,100,-440.0,-0.1,BU,36900.0,0.0,False,0.0,13:00:11
5890.0,5000,-440.0,-0.1,BU,36800.0,0.0,False,0.0,13:00:07
5890.0,18800,-440.0,-0.1,BU,31800.0,0.0,False,0.0,13:00:06
5890.0,3000,-440.0,-0.1,BU,13000.0,0.0,False,0.0,13:00:06
5890.0,8200,-440.0,-0.1,BU,10000.0,0.0,False,0.0,13:00:06
5890.0,600,-440.0,-0.1,BU,1800.0,0.0,False,0.0,13:00:06
5890.0,300,-440.0,-0.1,BU,1200.0,0.0,False,0.0,13:00:06
5890.0,300,-440.0,-0.1,BU,900.0,0.0,False,0.0,13:00:06
5890.0,200,-440.0,-0.1,BU,600.0,0.0,False,0.0,13:00:06
5890.0,400,-440.0,-0.1,BU,400.0,0.0,False,0.0,13:00:06
