p,v,cp,rcp,a,ba,sa,hl,pcp,t
6040.0,16300,140.0,0.0,,556100.0,726000.0,False,40.0,14:45:00
6000.0,900,100.0,0.0,BU,556100.0,726000.0,False,20.0,14:28:28
5980.0,2000,80.0,0.0,BU,555200.0,726000.0,False,20.0,14:28:28
5960.0,200,60.0,0.0,BU,553200.0,726000.0,False,10.0,14:28:28
5950.0,300,50.0,0.0,SD,553000.0,726000.0,False,0.0,14:28:07
5950.0,1800,50.0,0.0,BU,553000.0,725700.0,False,0.0,14:28:00
5950.0,2400,50.0,0.0,BU,551200.0,725700.0,False,0.0,14:28:00
5950.0,600,50.0,0.0,BU,548800.0,725700.0,False,0.0,14:27:43
5950.0,3900,50.0,0.0,BU,548200.0,725700.0,False,0.0,14:27:43
5950.0,100,50.0,0.0,BU,544300.0,725700.0,False,0.0,14:27:43
5950.0,1000,50.0,0.0,BU,544200.0,725700.0,False,0.0,14:27:43
5950.0,2400,50.0,0.0,BU,543200.0,725700.0,False,10.0,14:27:43
5940.0,1000,40.0,0.0,BU,540800.0,725700.0,False,0.0,14:27:11
5940.0,1000,40.0,0.0,BU,539800.0,725700.0,False,10.0,14:27:04
5930.0,100,30.0,0.0,SD,538800.0,725700.0,False,0.0,14:26:09
5930.0,3000,30.0,0.0,SD,538800.0,725600.0,False,0.0,14:25:54
5930.0,1100,30.0,0.0,SD,538800.0,722600.0,False,0.0,14:25:18
5930.0,3900,30.0,0.0,SD,538800.0,721500.0,False,-20.0,14:25:18
5950.0,700,50.0,0.0,BU,538800.0,717600.0,False,10.0,14:25:10
5940.0,500,40.0,0.0,SD,538100.0,717600.0,False,0.0,14:24:44
5940.0,3000,40.0,0.0,SD,538100.0,717100.0,False,-10.0,14:24:29
5950.0,400,50.0,0.0,BU,538100.0,714100.0,False,10.0,14:24:27
5940.0,600,40.0,0.0,SD,537700.0,714100.0,False,0.0,14:24:24
5940.0,400,40.0,0.0,SD,537700.0,713500.0,False,-10.0,14:24:24
5950.0,18500,50.0,0.0,BU,537700.0,713100.0,False,0.0,14:24:03
5950.0,8000,50.0,0.0,BU,519200.0,713100.0,False,0.0,14:23:45
5950.0,1000,50.0,0.0,BU,511200.0,713100.0,False,20.0,14:23:33
5930.0,300,30.0,0.0,BU,510200.0,713100.0,False,0.0,14:23:32
5930.0,100,30.0,0.0,BU,509900.0,713100.0,False,0.0,14:23:18
5930.0,200,30.0,0.0,BU,509800.0,713100.0,False,0.0,14:23:18
5930.0,100,30.0,0.0,SD,509600.0,713100.0,False,0.0,14:23:16
5930.0,100,30.0,0.0,SD,509600.0,713000.0,False,-10.0,14:23:16
5940.0,200,40.0,0.0,SD,509600.0,712900.0,False,10.0,14:23:16
5930.0,200,30.0,0.0,SD,509600.0,712700.0,False,-20.0,14:22:44
