p,v,cp,rcp,a,ba,sa,hl,pcp,t
13750.0,100,-350.0,0.0,SD,500.0,2600.0,False,0.0,14:03:13
13750.0,200,-350.0,0.0,BU,500.0,2500.0,False,50.0,13:40:51
13700.0,1100,-400.0,0.0,SD,300.0,2500.0,False,-50.0,13:40:48
13750.0,100,-350.0,0.0,BU,300.0,1400.0,False,50.0,13:40:15
13700.0,100,-400.0,0.0,SD,200.0,1400.0,False,-50.0,13:38:25
13750.0,100,-350.0,0.0,BU,200.0,1300.0,False,-100.0,13:35:29
13850.0,200,-250.0,0.0,SD,100.0,1300.0,False,50.0,13:35:28
13800.0,100,-300.0,0.0,SD,100.0,1100.0,False,-100.0,13:35:28
13900.0,300,-200.0,0.0,SD,100.0,1000.0,False,150.0,13:35:28
13750.0,300,-350.0,0.0,SD,100.0,700.0,False,0.0,13:21:38
13750.0,100,-350.0,0.0,SD,100.0,400.0,False,0.0,13:21:38
13750.0,100,-350.0,0.0,SD,100.0,300.0,False,0.0,13:21:38
13750.0,200,-350.0,0.0,SD,100.0,200.0,False,-350.0,11:24:44
14100.0,100,0.0,0.0,BU,100.0,0.0,False,0.0,10:35:52
