p,v,cp,rcp,a,ba,sa,hl,pcp,t
12900.0,1900,-50.0,0.0,,10600.0,21300.0,False,0.0,14:45:00
12900.0,500,-50.0,0.0,SD,10600.0,21300.0,False,0.0,14:15:34
12900.0,1000,-50.0,0.0,SD,10600.0,20800.0,False,0.0,14:14:37
12900.0,700,-50.0,0.0,SD,10600.0,19800.0,False,0.0,14:12:32
12900.0,400,-50.0,0.0,SD,10600.0,19100.0,False,0.0,14:12:32
12900.0,900,-50.0,0.0,SD,10600.0,18700.0,False,0.0,13:56:46
12900.0,700,-50.0,0.0,SD,10600.0,17800.0,False,0.0,13:56:46
12900.0,300,-50.0,0.0,BU,10600.0,17100.0,False,0.0,13:54:31
12900.0,700,-50.0,0.0,SD,10300.0,17100.0,False,0.0,13:54:21
12900.0,300,-50.0,0.0,SD,10300.0,16400.0,False,0.0,13:54:21
12900.0,100,-50.0,0.0,BU,9900.0,16100.0,False,0.0,13:46:17
12900.0,1000,-50.0,0.0,BU,9800.0,16100.0,False,0.0,13:46:17
12900.0,200,-50.0,0.0,SD,8800.0,16100.0,False,0.0,13:44:35
12900.0,100,-50.0,0.0,SD,8800.0,15900.0,False,0.0,13:43:31
12900.0,100,-50.0,0.0,SD,8800.0,15800.0,False,0.0,13:43:31
12900.0,300,-50.0,0.0,SD,8800.0,15700.0,False,0.0,13:31:36
12900.0,200,-50.0,0.0,BU,8800.0,15400.0,False,0.0,13:25:30
12900.0,100,-50.0,0.0,BU,8600.0,15400.0,False,0.0,13:11:53
12900.0,400,-50.0,0.0,BU,8500.0,15400.0,False,0.0,13:06:50
12900.0,100,-50.0,0.0,SD,8100.0,15400.0,False,0.0,13:06:17
12900.0,500,-50.0,0.0,BU,8100.0,15300.0,False,50.0,13:05:25
12850.0,600,-100.0,0.0,BU,7600.0,15300.0,False,0.0,13:03:14
12850.0,300,-100.0,0.0,SD,7000.0,15300.0,False,0.0,13:01:54
12850.0,100,-100.0,0.0,SD,7000.0,15000.0,False,0.0,13:01:54
12850.0,1900,-100.0,0.0,SD,7000.0,14900.0,False,-50.0,13:00:20
12900.0,2000,-50.0,0.0,BU,7000.0,13000.0,False,100.0,13:00:06
12800.0,1800,-150.0,0.0,SD,5000.0,13000.0,False,0.0,11:28:57
12800.0,800,-150.0,0.0,SD,5000.0,11200.0,False,0.0,11:28:57
12800.0,100,-150.0,0.0,SD,5000.0,10400.0,False,-50.0,11:28:57
12850.0,800,-100.0,0.0,BU,5000.0,10300.0,False,0.0,11:28:28
12850.0,200,-100.0,0.0,BU,4200.0,10300.0,False,0.0,11:28:28
12850.0,500,-100.0,0.0,BU,4000.0,10300.0,False,0.0,11:28:28
12850.0,500,-100.0,0.0,BU,3500.0,10300.0,False,0.0,11:28:28
12850.0,100,-100.0,0.0,BU,3000.0,10300.0,False,0.0,11:28:28
12850.0,900,-100.0,0.0,SD,2900.0,10300.0,False,0.0,11:28:28
12850.0,4000,-100.0,0.0,SD,2900.0,9400.0,False,0.0,11:28:28
12850.0,300,-100.0,0.0,SD,2900.0,5400.0,False,-50.0,11:28:28
12900.0,2000,-50.0,0.0,SD,2900.0,5100.0,False,0.0,11:26:57
12900.0,100,-50.0,0.0,SD,2900.0,3100.0,False,0.0,11:26:57
12900.0,500,-50.0,0.0,SD,2900.0,3000.0,False,-50.0,11:26:57
12950.0,1000,0.0,0.0,BU,2900.0,2500.0,False,0.0,11:14:42
12950.0,300,0.0,0.0,BU,1900.0,2500.0,False,100.0,10:59:13
12850.0,700,-100.0,0.0,SD,1600.0,2500.0,False,0.0,10:47:00
12850.0,100,-100.0,0.0,SD,1600.0,1800.0,False,0.0,10:47:00
12850.0,300,-100.0,0.0,SD,1600.0,1700.0,False,0.0,10:47:00
12850.0,1100,-100.0,0.0,SD,1600.0,1400.0,False,-50.0,10:41:46
12900.0,400,-50.0,0.0,BU,1600.0,300.0,False,0.0,10:39:26
12900.0,100,-50.0,0.0,BU,1200.0,300.0,False,0.0,10:36:27
12900.0,500,-50.0,0.0,BU,1100.0,300.0,False,50.0,10:36:07
12850.0,100,-100.0,0.0,SD,600.0,300.0,False,0.0,10:29:06
12850.0,100,-100.0,0.0,SD,600.0,200.0,False,-100.0,10:29:06
12950.0,100,0.0,0.0,BU,600.0,100.0,False,50.0,09:42:31
12900.0,100,-50.0,0.0,SD,500.0,100.0,False,-50.0,09:41:10
12950.0,500,0.0,0.0,BU,500.0,0.0,False,0.0,09:24:21
12950.0,200,0.0,0.0,,0.0,0.0,False,0.0,09:15:00
