p,v,cp,rcp,a,ba,sa,hl,pcp,t
16100.0,67900,-400.0,0.0,,197600.0,359300.0,False,-50.0,14:45:00
16150.0,1000,-350.0,0.0,SD,197600.0,359300.0,False,-50.0,14:29:56
16200.0,1100,-300.0,0.0,BU,197600.0,358300.0,False,0.0,14:29:50
16200.0,500,-300.0,0.0,BU,196500.0,358300.0,False,0.0,14:29:33
16200.0,3800,-300.0,0.0,SD,196000.0,358300.0,False,0.0,14:28:50
16200.0,400,-300.0,0.0,BU,196000.0,354500.0,False,0.0,14:28:13
16200.0,800,-300.0,0.0,BU,195600.0,354500.0,False,0.0,14:28:13
16200.0,200,-300.0,0.0,BU,194800.0,354500.0,False,0.0,14:27:34
16200.0,100,-300.0,0.0,BU,194600.0,354500.0,False,50.0,14:27:34
16150.0,200,-350.0,0.0,BU,194500.0,354500.0,False,0.0,14:26:52
16150.0,700,-350.0,0.0,BU,194300.0,354500.0,False,50.0,14:26:52
16100.0,1200,-400.0,0.0,SD,193600.0,354500.0,False,0.0,14:26:49
16100.0,700,-400.0,0.0,SD,193600.0,353300.0,False,-50.0,14:26:49
16150.0,300,-350.0,0.0,BU,193600.0,352600.0,False,0.0,14:26:25
16150.0,1000,-350.0,0.0,BU,193300.0,352600.0,False,0.0,14:26:25
16150.0,700,-350.0,0.0,BU,192300.0,352600.0,False,0.0,14:26:25
16150.0,500,-350.0,0.0,BU,191600.0,352600.0,False,50.0,14:26:10
16100.0,700,-400.0,0.0,SD,191100.0,352600.0,False,0.0,14:26:04
16100.0,500,-400.0,0.0,SD,191100.0,351900.0,False,0.0,14:25:34
16100.0,1200,-400.0,0.0,SD,191100.0,351400.0,False,0.0,14:24:04
16100.0,100,-400.0,0.0,SD,191100.0,350200.0,False,0.0,14:24:04
16100.0,500,-400.0,0.0,SD,191100.0,350100.0,False,0.0,14:24:04
16100.0,200,-400.0,0.0,SD,191100.0,349600.0,False,0.0,14:24:04
16100.0,1000,-400.0,0.0,SD,191100.0,349400.0,False,0.0,14:23:33
16100.0,1500,-400.0,0.0,SD,191100.0,348400.0,False,0.0,14:23:31
16100.0,300,-400.0,0.0,SD,191100.0,346900.0,False,0.0,14:23:16
16100.0,100,-400.0,0.0,SD,191100.0,346600.0,False,0.0,14:23:16
16100.0,600,-400.0,0.0,SD,191100.0,346500.0,False,0.0,14:23:16
16100.0,400,-400.0,0.0,SD,191100.0,345900.0,False,0.0,14:22:54
16100.0,400,-400.0,0.0,SD,191100.0,345500.0,False,0.0,14:22:54
16100.0,100,-400.0,0.0,SD,191100.0,345100.0,False,0.0,14:22:54
16100.0,400,-400.0,0.0,SD,191100.0,345000.0,False,-50.0,14:22:54
16150.0,1100,-350.0,0.0,BU,191100.0,344600.0,False,50.0,14:21:24
16100.0,100,-400.0,0.0,SD,190000.0,344600.0,False,0.0,14:20:43
16100.0,1200,-400.0,0.0,SD,190000.0,344500.0,False,-50.0,14:20:43
16150.0,400,-350.0,0.0,BU,190000.0,343300.0,False,50.0,14:20:42
16100.0,1800,-400.0,0.0,SD,189600.0,343300.0,False,0.0,14:20:05
16100.0,500,-400.0,0.0,SD,189600.0,341500.0,False,0.0,14:20:05
16100.0,100,-400.0,0.0,SD,189600.0,341000.0,False,0.0,14:20:05
16100.0,500,-400.0,0.0,SD,189600.0,340900.0,False,0.0,14:20:05
16100.0,200,-400.0,0.0,SD,189600.0,340400.0,False,0.0,14:20:05
16100.0,900,-400.0,0.0,SD,189600.0,340200.0,False,-50.0,14:20:05
16150.0,100,-350.0,0.0,SD,189600.0,339300.0,False,0.0,14:19:24
16150.0,1000,-350.0,0.0,SD,189600.0,339200.0,False,0.0,14:19:24
16150.0,2000,-350.0,0.0,SD,189600.0,338200.0,False,0.0,14:19:24
16150.0,1000,-350.0,0.0,SD,189600.0,336200.0,False,0.0,14:19:24
16150.0,2000,-350.0,0.0,SD,189600.0,335200.0,False,-50.0,14:19:04
16200.0,1500,-300.0,0.0,BU,189600.0,333200.0,False,0.0,14:18:20
16200.0,100,-300.0,0.0,BU,188100.0,333200.0,False,0.0,14:18:20
16200.0,100,-300.0,0.0,BU,188000.0,333200.0,False,0.0,14:18:20
16200.0,2000,-300.0,0.0,BU,187900.0,333200.0,False,0.0,14:18:20
16200.0,400,-300.0,0.0,SD,185900.0,333200.0,False,0.0,14:17:57
16200.0,7700,-300.0,0.0,SD,185900.0,332800.0,False,0.0,14:17:50
16200.0,400,-300.0,0.0,SD,185900.0,325100.0,False,0.0,14:17:35
16200.0,100,-300.0,0.0,SD,185900.0,324700.0,False,-50.0,14:17:35
16250.0,500,-250.0,0.0,BU,185900.0,324600.0,False,0.0,14:16:01
16250.0,1000,-250.0,0.0,BU,185400.0,324600.0,False,0.0,14:15:18
16250.0,4500,-250.0,0.0,BU,184400.0,324600.0,False,0.0,14:14:57
16250.0,300,-250.0,0.0,SD,179900.0,324600.0,False,0.0,14:13:37
16250.0,200,-250.0,0.0,SD,179900.0,324300.0,False,0.0,14:13:34
16250.0,200,-250.0,0.0,BU,179900.0,324100.0,False,0.0,14:13:31
16250.0,1000,-250.0,0.0,BU,179700.0,324100.0,False,0.0,14:12:22
16250.0,500,-250.0,0.0,BU,178700.0,324100.0,False,50.0,14:12:15
16200.0,1000,-300.0,0.0,SD,178200.0,324100.0,False,0.0,14:11:25
16200.0,100,-300.0,0.0,SD,178200.0,323100.0,False,0.0,14:11:25
16200.0,1000,-300.0,0.0,SD,178200.0,323000.0,False,0.0,14:11:25
16200.0,300,-300.0,0.0,SD,178200.0,322000.0,False,0.0,14:11:25
16200.0,400,-300.0,0.0,SD,178200.0,321700.0,False,0.0,14:11:25
16200.0,2000,-300.0,0.0,SD,178200.0,321300.0,False,0.0,14:11:25
16200.0,200,-300.0,0.0,SD,178200.0,319300.0,False,-50.0,14:11:25
16250.0,1000,-250.0,0.0,SD,178200.0,319100.0,False,0.0,14:11:00
16250.0,100,-250.0,0.0,SD,178200.0,318100.0,False,0.0,14:11:00
16250.0,700,-250.0,0.0,BU,178200.0,318000.0,False,0.0,14:08:47
16250.0,300,-250.0,0.0,BU,177500.0,318000.0,False,0.0,14:08:22
16250.0,4700,-250.0,0.0,BU,177200.0,318000.0,False,0.0,14:08:22
16250.0,3300,-250.0,0.0,BU,172500.0,318000.0,False,0.0,14:08:06
16250.0,2000,-250.0,0.0,SD,169200.0,318000.0,False,0.0,14:06:06
16250.0,5000,-250.0,0.0,SD,169200.0,316000.0,False,-50.0,14:06:06
16300.0,400,-200.0,0.0,SD,169200.0,311000.0,False,0.0,14:05:21
16300.0,1000,-200.0,0.0,SD,169200.0,310600.0,False,0.0,14:05:17
16300.0,500,-200.0,0.0,SD,169200.0,309600.0,False,0.0,14:05:08
16300.0,3100,-200.0,0.0,SD,169200.0,309100.0,False,0.0,14:04:50
16300.0,400,-200.0,0.0,SD,169200.0,306000.0,False,0.0,14:04:50
16300.0,5000,-200.0,0.0,SD,169200.0,305600.0,False,0.0,14:04:50
16300.0,1500,-200.0,0.0,SD,169200.0,300600.0,False,0.0,14:04:50
16300.0,500,-200.0,0.0,SD,169200.0,299100.0,False,0.0,14:04:43
16300.0,1000,-200.0,0.0,SD,169200.0,298600.0,False,-50.0,14:03:44
16350.0,100,-150.0,0.0,BU,169200.0,297600.0,False,0.0,14:03:33
16350.0,1000,-150.0,0.0,BU,169100.0,297600.0,False,0.0,14:02:19
16350.0,2300,-150.0,0.0,BU,168100.0,297600.0,False,0.0,14:01:58
16350.0,400,-150.0,0.0,BU,165800.0,297600.0,False,50.0,14:01:58
16300.0,1000,-200.0,0.0,SD,165400.0,297600.0,False,-50.0,14:01:09
16350.0,7100,-150.0,0.0,SD,165400.0,296600.0,False,0.0,13:59:37
16350.0,100,-150.0,0.0,SD,165400.0,289500.0,False,0.0,13:59:37
16350.0,5000,-150.0,0.0,SD,165400.0,289400.0,False,0.0,13:59:37
16350.0,400,-150.0,0.0,SD,165400.0,284400.0,False,-50.0,13:59:37
16400.0,1500,-100.0,0.0,BU,165400.0,284000.0,False,0.0,13:59:26
16400.0,300,-100.0,0.0,BU,163900.0,284000.0,False,0.0,13:59:05
16400.0,1700,-100.0,0.0,BU,163600.0,284000.0,False,50.0,13:58:40
16350.0,300,-150.0,0.0,SD,161900.0,284000.0,False,0.0,13:56:12
16350.0,1000,-150.0,0.0,SD,161900.0,283700.0,False,-50.0,13:56:08
16400.0,600,-100.0,0.0,SD,161900.0,282700.0,False,0.0,13:55:32
16400.0,1400,-100.0,0.0,SD,161900.0,282100.0,False,0.0,13:54:33
16400.0,10000,-100.0,0.0,BU,161900.0,280700.0,False,50.0,13:53:41
16350.0,300,-150.0,0.0,SD,151900.0,280700.0,False,0.0,13:53:39
16350.0,100,-150.0,0.0,SD,151900.0,280400.0,False,0.0,13:53:39
16350.0,200,-150.0,0.0,SD,151900.0,280300.0,False,0.0,13:53:39
16350.0,300,-150.0,0.0,SD,151900.0,280100.0,False,-50.0,13:53:06
16400.0,10000,-100.0,0.0,SD,151900.0,279800.0,False,-50.0,13:52:54
16450.0,8200,-50.0,0.0,BU,151900.0,269800.0,False,-50.0,13:52:52
16500.0,2300,0.0,0.0,SD,143700.0,269800.0,False,0.0,13:51:56
16500.0,1200,0.0,0.0,SD,143700.0,267500.0,False,0.0,13:51:20
16500.0,300,0.0,0.0,SD,143700.0,266300.0,False,0.0,13:51:20
16500.0,1100,0.0,0.0,SD,143700.0,266000.0,False,0.0,13:51:07
16500.0,800,0.0,0.0,SD,143700.0,264900.0,False,0.0,13:50:25
16500.0,2700,0.0,0.0,BU,143700.0,264100.0,False,0.0,13:50:06
16500.0,600,0.0,0.0,BU,141000.0,264100.0,False,0.0,13:49:39
16500.0,1000,0.0,0.0,BU,140400.0,264100.0,False,0.0,13:49:39
16500.0,300,0.0,0.0,BU,139400.0,264100.0,False,0.0,13:49:39
16500.0,2000,0.0,0.0,BU,139100.0,264100.0,False,0.0,13:49:39
16500.0,2000,0.0,0.0,BU,137100.0,264100.0,False,0.0,13:49:39
16500.0,200,0.0,0.0,BU,135100.0,264100.0,False,0.0,13:49:39
16500.0,1000,0.0,0.0,BU,134900.0,264100.0,False,0.0,13:49:39
16500.0,500,0.0,0.0,BU,133900.0,264100.0,False,0.0,13:49:39
16500.0,2400,0.0,0.0,BU,133400.0,264100.0,False,50.0,13:49:39
16450.0,200,-50.0,0.0,SD,131000.0,264100.0,False,0.0,13:49:31
16450.0,1600,-50.0,0.0,BU,131000.0,263900.0,False,0.0,13:49:30
16450.0,1400,-50.0,0.0,BU,129400.0,263900.0,False,0.0,13:49:30
16450.0,100,-50.0,0.0,BU,128000.0,263900.0,False,0.0,13:49:30
16450.0,2000,-50.0,0.0,BU,127900.0,263900.0,False,0.0,13:49:30
16450.0,600,-50.0,0.0,BU,125900.0,263900.0,False,0.0,13:49:30
16450.0,400,-50.0,0.0,BU,125300.0,263900.0,False,0.0,13:48:23
16450.0,1000,-50.0,0.0,BU,124900.0,263900.0,False,0.0,13:48:23
16450.0,100,-50.0,0.0,BU,123900.0,263900.0,False,50.0,13:48:23
16400.0,4000,-100.0,0.0,BU,123800.0,263900.0,False,50.0,13:47:21
16350.0,2000,-150.0,0.0,BU,119800.0,263900.0,False,0.0,13:45:16
16350.0,100,-150.0,0.0,BU,117800.0,263900.0,False,50.0,13:45:00
16300.0,500,-200.0,0.0,SD,117700.0,263900.0,False,0.0,13:41:29
16300.0,2000,-200.0,0.0,BU,117700.0,263400.0,False,0.0,13:40:19
16300.0,500,-200.0,0.0,BU,115700.0,263400.0,False,0.0,13:40:19
16300.0,6300,-200.0,0.0,BU,115200.0,263400.0,False,0.0,13:40:19
16300.0,900,-200.0,0.0,BU,108900.0,263400.0,False,0.0,13:39:55
16300.0,300,-200.0,0.0,BU,108000.0,263400.0,False,0.0,13:39:32
16300.0,2000,-200.0,0.0,BU,107700.0,263400.0,False,0.0,13:39:28
16300.0,2200,-200.0,0.0,BU,105700.0,263400.0,False,100.0,13:37:15
16200.0,300,-300.0,0.0,SD,103500.0,263400.0,False,0.0,13:36:04
16200.0,100,-300.0,0.0,SD,103500.0,263100.0,False,100.0,13:36:04
16100.0,500,-400.0,0.0,SD,103500.0,263000.0,False,0.0,13:34:35
16100.0,1000,-400.0,0.0,SD,103500.0,262500.0,False,0.0,13:34:35
16100.0,100,-400.0,0.0,SD,103500.0,261500.0,False,0.0,13:34:35
16100.0,300,-400.0,0.0,SD,103500.0,261400.0,False,0.0,13:34:35
16100.0,100,-400.0,0.0,SD,103500.0,261100.0,False,0.0,13:34:35
16100.0,1000,-400.0,0.0,SD,103500.0,261000.0,False,0.0,13:34:35
16100.0,100,-400.0,0.0,SD,103500.0,260000.0,False,-50.0,13:34:35
16150.0,200,-350.0,0.0,SD,103500.0,259900.0,False,0.0,13:34:35
16150.0,2800,-350.0,0.0,SD,103500.0,259700.0,False,0.0,13:34:29
16150.0,3000,-350.0,0.0,SD,103500.0,256900.0,False,0.0,13:34:29
16150.0,1000,-350.0,0.0,SD,103500.0,253900.0,False,0.0,13:34:29
16150.0,100,-350.0,0.0,SD,103500.0,252900.0,False,0.0,13:34:29
16150.0,100,-350.0,0.0,SD,103500.0,252800.0,False,-50.0,13:34:29
16200.0,100,-300.0,0.0,BU,103500.0,252700.0,False,0.0,13:34:29
16200.0,500,-300.0,0.0,BU,103400.0,252700.0,False,0.0,13:34:29
16200.0,200,-300.0,0.0,BU,102900.0,252700.0,False,0.0,13:34:29
16200.0,200,-300.0,0.0,SD,102700.0,252700.0,False,0.0,13:34:29
16200.0,1800,-300.0,0.0,SD,102700.0,252500.0,False,0.0,13:34:25
16200.0,300,-300.0,0.0,SD,102700.0,250700.0,False,0.0,13:34:25
16200.0,300,-300.0,0.0,SD,102700.0,250400.0,False,0.0,13:34:25
16200.0,1400,-300.0,0.0,SD,102700.0,250100.0,False,0.0,13:34:25
16200.0,100,-300.0,0.0,SD,102700.0,248700.0,False,0.0,13:34:25
16200.0,1100,-300.0,0.0,SD,102700.0,248600.0,False,0.0,13:34:25
16200.0,3900,-300.0,0.0,SD,102700.0,247500.0,False,0.0,13:33:39
16200.0,800,-300.0,0.0,SD,102700.0,243600.0,False,0.0,13:33:39
16200.0,300,-300.0,0.0,SD,102700.0,242800.0,False,0.0,13:33:39
16200.0,600,-300.0,0.0,SD,102700.0,242500.0,False,0.0,13:33:28
16200.0,300,-300.0,0.0,SD,102700.0,241900.0,False,-50.0,13:33:28
16250.0,300,-250.0,0.0,SD,102700.0,241600.0,False,50.0,13:33:28
16200.0,100,-300.0,0.0,SD,102700.0,241300.0,False,-50.0,13:33:28
16250.0,500,-250.0,0.0,SD,102700.0,241200.0,False,0.0,13:33:28
16250.0,100,-250.0,0.0,SD,102700.0,240700.0,False,0.0,13:33:28
16250.0,6100,-250.0,0.0,SD,102700.0,240600.0,False,0.0,13:33:28
16250.0,3000,-250.0,0.0,SD,102700.0,234500.0,False,-50.0,13:32:58
