p,v,cp,rcp,a,ba,sa,hl,pcp,t
34700.0,14200,200.0,0.0,,243200.0,433300.0,False,200.0,14:45:00
34500.0,1000,0.0,0.0,BU,243200.0,433300.0,False,0.0,14:29:11
34500.0,100,0.0,0.0,BU,242200.0,433300.0,False,0.0,14:29:11
34500.0,1400,0.0,0.0,BU,242100.0,433300.0,False,0.0,14:29:11
34500.0,100,0.0,0.0,BU,240700.0,433300.0,False,0.0,14:29:11
34500.0,200,0.0,0.0,BU,240600.0,433300.0,False,200.0,14:29:11
34300.0,500,-200.0,0.0,BU,240400.0,433300.0,False,0.0,14:29:11
34300.0,900,-200.0,0.0,BU,239900.0,433300.0,False,0.0,14:29:11
34300.0,100,-200.0,0.0,BU,239000.0,433300.0,False,0.0,14:27:04
34300.0,100,-200.0,0.0,BU,238900.0,433300.0,False,0.0,14:25:45
34300.0,100,-200.0,0.0,BU,238800.0,433300.0,False,0.0,14:24:14
34300.0,200,-200.0,0.0,BU,238700.0,433300.0,False,-50.0,14:24:11
34350.0,4800,-150.0,0.0,SD,238500.0,433300.0,False,150.0,14:23:21
34200.0,200,-300.0,0.0,SD,238500.0,428500.0,False,0.0,14:23:02
34200.0,600,-300.0,0.0,SD,238500.0,428300.0,False,0.0,14:23:02
34200.0,14200,-300.0,0.0,SD,238500.0,427700.0,True,0.0,14:23:02
34200.0,12800,-300.0,0.0,SD,238500.0,413500.0,True,-100.0,14:22:35
34300.0,200,-200.0,0.0,SD,238500.0,400700.0,False,-200.0,14:22:35
34500.0,200,0.0,0.0,BU,238500.0,400500.0,False,200.0,14:22:26
34300.0,200,-200.0,0.0,BU,238300.0,400500.0,False,0.0,14:22:04
34300.0,500,-200.0,0.0,SD,238100.0,400500.0,False,0.0,14:21:58
34300.0,9300,-200.0,0.0,SD,238100.0,400000.0,True,0.0,14:21:58
34300.0,400,-200.0,0.0,SD,238100.0,390700.0,False,0.0,14:21:50
34300.0,3000,-200.0,0.0,SD,238100.0,390300.0,False,0.0,14:21:47
34300.0,100,-200.0,0.0,SD,238100.0,387300.0,False,-100.0,14:21:33
34400.0,100,-100.0,0.0,SD,238100.0,387200.0,False,0.0,14:21:23
34400.0,7000,-100.0,0.0,SD,238100.0,387100.0,True,-100.0,14:21:11
34500.0,100,0.0,0.0,SD,238100.0,380100.0,False,0.0,14:21:04
34500.0,1500,0.0,0.0,SD,238100.0,380000.0,False,0.0,14:21:04
