p,v,cp,rcp,a,ba,sa,hl,pcp,t
19200.0,214500,50.0,0.0,,1449600.0,1346600.0,False,-50.0,14:45:00
19250.0,200,100.0,0.0,BU,1449600.0,1346600.0,False,0.0,14:29:59
19250.0,900,100.0,0.0,BU,1449400.0,1346600.0,False,50.0,14:29:59
19200.0,3300,50.0,0.0,SD,1448500.0,1346600.0,False,0.0,14:29:57
19200.0,2000,50.0,0.0,SD,1448500.0,1343300.0,False,0.0,14:29:57
19200.0,7500,50.0,0.0,SD,1448500.0,1341300.0,False,0.0,14:29:57
19200.0,100,50.0,0.0,SD,1448500.0,1333800.0,False,0.0,14:29:57
19200.0,2000,50.0,0.0,SD,1448500.0,1333700.0,False,0.0,14:29:57
19200.0,5000,50.0,0.0,SD,1448500.0,1331700.0,False,0.0,14:29:57
19200.0,100,50.0,0.0,SD,1448500.0,1326700.0,False,-50.0,14:29:57
19250.0,200,100.0,0.0,BU,1448500.0,1326600.0,False,0.0,14:29:55
19250.0,1900,100.0,0.0,BU,1448300.0,1326600.0,False,0.0,14:29:55
19250.0,100,100.0,0.0,BU,1446400.0,1326600.0,False,50.0,14:29:55
19200.0,100,50.0,0.0,BU,1446300.0,1326600.0,False,0.0,14:29:29
19200.0,2000,50.0,0.0,BU,1446200.0,1326600.0,False,0.0,14:29:28
19200.0,3000,50.0,0.0,BU,1444200.0,1326600.0,False,0.0,14:29:28
19200.0,200,50.0,0.0,BU,1441200.0,1326600.0,False,0.0,14:29:28
19200.0,700,50.0,0.0,BU,1441000.0,1326600.0,False,0.0,14:29:28
19200.0,2000,50.0,0.0,BU,1440300.0,1326600.0,False,0.0,14:29:25
19200.0,1800,50.0,0.0,SD,1438300.0,1326600.0,False,-50.0,14:29:24
19250.0,1000,100.0,0.0,BU,1438300.0,1324800.0,False,50.0,14:29:24
19200.0,100,50.0,0.0,BU,1437300.0,1324800.0,False,0.0,14:29:23
19200.0,1100,50.0,0.0,BU,1437200.0,1324800.0,False,0.0,14:29:23
19200.0,1000,50.0,0.0,BU,1436100.0,1324800.0,False,0.0,14:29:23
19200.0,2000,50.0,0.0,BU,1435100.0,1324800.0,False,0.0,14:29:21
19200.0,300,50.0,0.0,SD,1433100.0,1324800.0,False,0.0,14:29:17
19200.0,100,50.0,0.0,SD,1433100.0,1324500.0,False,0.0,14:29:17
19200.0,300,50.0,0.0,SD,1433100.0,1324400.0,False,0.0,14:29:17
19200.0,5200,50.0,0.0,SD,1433100.0,1324100.0,False,-50.0,14:29:17
19250.0,100,100.0,0.0,BU,1433100.0,1318900.0,False,0.0,14:29:15
19250.0,500,100.0,0.0,BU,1433000.0,1318900.0,False,50.0,14:29:15
19200.0,5000,50.0,0.0,SD,1432500.0,1318900.0,False,-50.0,14:29:14
19250.0,100,100.0,0.0,BU,1432500.0,1313900.0,False,0.0,14:29:10
19250.0,100,100.0,0.0,BU,1432400.0,1313900.0,False,0.0,14:29:06
19250.0,300,100.0,0.0,BU,1432300.0,1313900.0,False,50.0,14:29:06
19200.0,300,50.0,0.0,SD,1432000.0,1313900.0,False,0.0,14:29:05
19200.0,1000,50.0,0.0,SD,1432000.0,1313600.0,False,0.0,14:29:05
19200.0,100,50.0,0.0,SD,1432000.0,1312600.0,False,0.0,14:29:05
19200.0,200,50.0,0.0,SD,1432000.0,1312500.0,False,0.0,14:29:05
19200.0,2800,50.0,0.0,SD,1432000.0,1312300.0,False,0.0,14:29:05
19200.0,500,50.0,0.0,SD,1432000.0,1309500.0,False,0.0,14:29:05
19200.0,10000,50.0,0.0,SD,1432000.0,1309000.0,False,0.0,14:29:05
19200.0,100,50.0,0.0,SD,1432000.0,1299000.0,False,-50.0,14:29:05
19250.0,900,100.0,0.0,BU,1432000.0,1298900.0,False,0.0,14:28:52
19250.0,2000,100.0,0.0,BU,1431100.0,1298900.0,False,0.0,14:28:52
19250.0,700,100.0,0.0,BU,1429100.0,1298900.0,False,0.0,14:28:51
19250.0,2000,100.0,0.0,BU,1428400.0,1298900.0,False,0.0,14:28:48
19250.0,600,100.0,0.0,BU,1426400.0,1298900.0,False,0.0,14:28:47
19250.0,1000,100.0,0.0,BU,1425800.0,1298900.0,False,0.0,14:28:45
19250.0,600,100.0,0.0,SD,1424800.0,1298900.0,False,-50.0,14:28:40
19300.0,8000,150.0,0.0,BU,1424800.0,1298300.0,False,0.0,14:28:38
19300.0,1800,150.0,0.0,BU,1416800.0,1298300.0,False,0.0,14:28:29
19300.0,3000,150.0,0.0,BU,1415000.0,1298300.0,False,0.0,14:28:23
19300.0,800,150.0,0.0,BU,1412000.0,1298300.0,False,0.0,14:28:21
19300.0,2000,150.0,0.0,SD,1411200.0,1298300.0,False,-50.0,14:28:18
19350.0,200,200.0,0.0,SD,1411200.0,1296300.0,False,-100.0,14:28:18
19450.0,100,300.0,0.0,SD,1411200.0,1296100.0,False,0.0,14:28:18
19450.0,300,300.0,0.0,SD,1411200.0,1296000.0,False,0.0,14:28:18
19450.0,1000,300.0,0.0,SD,1411200.0,1295700.0,False,0.0,14:28:18
19450.0,2000,300.0,0.0,SD,1411200.0,1294700.0,False,-50.0,14:28:14
19500.0,500,350.0,0.0,BU,1411200.0,1292700.0,False,0.0,14:28:04
19500.0,500,350.0,0.0,BU,1410700.0,1292700.0,False,0.0,14:27:58
19500.0,500,350.0,0.0,BU,1410200.0,1292700.0,False,0.0,14:27:53
19500.0,400,350.0,0.0,BU,1409700.0,1292700.0,False,0.0,14:27:53
19500.0,1000,350.0,0.0,BU,1409300.0,1292700.0,False,0.0,14:27:51
19500.0,500,350.0,0.0,BU,1408300.0,1292700.0,False,0.0,14:27:49
19500.0,400,350.0,0.0,BU,1407800.0,1292700.0,False,0.0,14:27:45
19500.0,300,350.0,0.0,BU,1407400.0,1292700.0,False,0.0,14:27:37
19500.0,300,350.0,0.0,BU,1407100.0,1292700.0,False,0.0,14:27:33
19500.0,100,350.0,0.0,BU,1406800.0,1292700.0,False,0.0,14:27:33
19500.0,100,350.0,0.0,BU,1406700.0,1292700.0,False,0.0,14:27:33
19500.0,900,350.0,0.0,BU,1406600.0,1292700.0,False,0.0,14:27:31
19500.0,100,350.0,0.0,BU,1405700.0,1292700.0,False,50.0,14:27:31
19450.0,2000,300.0,0.0,BU,1405600.0,1292700.0,False,0.0,14:27:26
19450.0,1000,300.0,0.0,BU,1403600.0,1292700.0,False,50.0,14:27:16
19400.0,1000,250.0,0.0,BU,1402600.0,1292700.0,False,50.0,14:27:16
19350.0,1000,200.0,0.0,BU,1401600.0,1292700.0,False,150.0,14:27:16
19200.0,1000,50.0,0.0,SD,1400600.0,1292700.0,False,-50.0,14:27:12
19250.0,500,100.0,0.0,SD,1400600.0,1291700.0,False,-100.0,14:27:12
19350.0,400,200.0,0.0,BU,1400600.0,1291200.0,False,50.0,14:27:12
19300.0,600,150.0,0.0,BU,1400200.0,1291200.0,False,0.0,14:27:12
19300.0,1900,150.0,0.0,BU,1399600.0,1291200.0,False,0.0,14:27:10
19300.0,100,150.0,0.0,BU,1397700.0,1291200.0,False,0.0,14:27:10
