p,v,cp,rcp,a,ba,sa,hl,pcp,t
8900.0,146200,-150.0,0.0,,786400.0,1059300.0,False,0.0,14:45:00
8900.0,1000,-150.0,0.0,BU,786400.0,1059300.0,False,0.0,14:29:54
8900.0,100,-150.0,0.0,BU,785400.0,1059300.0,False,0.0,14:29:52
8900.0,100,-150.0,0.0,BU,785300.0,1059300.0,False,0.0,14:29:43
8900.0,100,-150.0,0.0,BU,785200.0,1059300.0,False,10.0,14:29:31
8890.0,300,-160.0,0.0,SD,785100.0,1059300.0,False,-10.0,14:29:27
8900.0,500,-150.0,0.0,BU,785100.0,1059000.0,False,0.0,14:29:18
8900.0,500,-150.0,0.0,BU,784600.0,1059000.0,False,0.0,14:29:12
8900.0,500,-150.0,0.0,BU,784100.0,1059000.0,False,0.0,14:29:07
8900.0,100,-150.0,0.0,BU,783600.0,1059000.0,False,0.0,14:29:03
8900.0,1000,-150.0,0.0,BU,783500.0,1059000.0,False,10.0,14:28:37
8890.0,1000,-160.0,0.0,SD,782500.0,1059000.0,False,0.0,14:28:32
8890.0,3000,-160.0,0.0,SD,782500.0,1058000.0,False,-10.0,14:28:26
8900.0,200,-150.0,0.0,BU,782500.0,1055000.0,False,0.0,14:28:25
8900.0,200,-150.0,0.0,BU,782300.0,1055000.0,False,0.0,14:28:13
8900.0,4300,-150.0,0.0,BU,782100.0,1055000.0,False,0.0,14:28:12
8900.0,1000,-150.0,0.0,BU,777800.0,1055000.0,False,0.0,14:27:49
8900.0,6200,-150.0,0.0,BU,776800.0,1055000.0,False,0.0,14:27:32
8900.0,5000,-150.0,0.0,BU,770600.0,1055000.0,False,10.0,14:27:28
8890.0,5000,-160.0,0.0,BU,765600.0,1055000.0,False,0.0,14:27:07
8890.0,1000,-160.0,0.0,BU,760600.0,1055000.0,False,30.0,14:27:07
8860.0,1000,-190.0,0.0,BU,759600.0,1055000.0,False,0.0,14:27:07
8860.0,200,-190.0,0.0,BU,758600.0,1055000.0,False,0.0,14:27:07
8860.0,300,-190.0,0.0,BU,758400.0,1055000.0,False,0.0,14:27:07
8860.0,200,-190.0,0.0,BU,758100.0,1055000.0,False,0.0,14:27:04
8860.0,100,-190.0,0.0,BU,757900.0,1055000.0,False,0.0,14:27:01
8860.0,200,-190.0,0.0,SD,757800.0,1055000.0,False,0.0,14:27:01
8860.0,500,-190.0,0.0,SD,757800.0,1054800.0,False,0.0,14:27:01
8860.0,100,-190.0,0.0,SD,757800.0,1054300.0,False,0.0,14:27:01
8860.0,400,-190.0,0.0,SD,757800.0,1054200.0,False,0.0,14:27:01
8860.0,200,-190.0,0.0,SD,757800.0,1053800.0,False,0.0,14:26:56
8860.0,4400,-190.0,0.0,BU,757800.0,1053600.0,False,0.0,14:26:36
8860.0,100,-190.0,0.0,BU,753400.0,1053600.0,False,0.0,14:26:31
8860.0,300,-190.0,0.0,BU,753300.0,1053600.0,False,10.0,14:26:20
8850.0,2300,-200.0,0.0,SD,753000.0,1053600.0,False,0.0,14:25:58
8850.0,500,-200.0,0.0,SD,753000.0,1051300.0,False,0.0,14:25:58
8850.0,1000,-200.0,0.0,BU,753000.0,1050800.0,False,10.0,14:25:54
8840.0,100,-210.0,0.0,SD,752000.0,1050800.0,False,-10.0,14:25:37
8850.0,5000,-200.0,0.0,BU,752000.0,1050700.0,False,40.0,14:25:21
8810.0,4200,-240.0,0.0,SD,747000.0,1050700.0,False,0.0,14:25:15
8810.0,100,-240.0,0.0,SD,747000.0,1046500.0,False,-10.0,14:25:15
8820.0,5000,-230.0,0.0,SD,747000.0,1046400.0,False,0.0,14:25:15
