p,v,cp,rcp,a,ba,sa,hl,pcp,t
6220.0,2300,-80.0,0.0,,35000.0,25400.0,False,-70.0,14:45:00
6290.0,100,-10.0,0.0,BU,35000.0,25400.0,False,60.0,14:29:29
6230.0,100,-70.0,0.0,BU,34900.0,25400.0,False,30.0,14:29:25
6200.0,1200,-100.0,0.0,BU,34800.0,25400.0,False,0.0,14:26:33
6200.0,200,-100.0,0.0,BU,33600.0,25400.0,False,0.0,14:26:05
6200.0,500,-100.0,0.0,BU,33400.0,25400.0,False,0.0,14:26:05
6200.0,100,-100.0,0.0,SD,32900.0,25400.0,False,0.0,14:26:04
6200.0,100,-100.0,0.0,SD,32900.0,25300.0,False,0.0,14:26:04
6200.0,5000,-100.0,0.0,SD,32900.0,25200.0,False,-10.0,14:26:04
6210.0,100,-90.0,0.0,SD,32900.0,20200.0,False,-80.0,14:26:04
6290.0,200,-10.0,0.0,BU,32900.0,20100.0,False,0.0,14:23:14
6290.0,500,-10.0,0.0,BU,32700.0,20100.0,False,0.0,14:13:02
6290.0,500,-10.0,0.0,SD,32200.0,20100.0,False,0.0,14:11:54
6290.0,2000,-10.0,0.0,SD,32200.0,19600.0,False,0.0,14:05:08
6290.0,100,-10.0,0.0,SD,32200.0,17600.0,False,-50.0,14:00:25
6340.0,3300,40.0,0.0,BU,32200.0,17500.0,False,0.0,13:59:55
6340.0,1300,40.0,0.0,SD,28900.0,17500.0,False,0.0,13:59:20
6340.0,1000,40.0,0.0,SD,28900.0,16200.0,False,0.0,13:57:43
6340.0,100,40.0,0.0,SD,28900.0,15200.0,False,0.0,13:57:43
6340.0,200,40.0,0.0,SD,28900.0,15100.0,False,0.0,13:56:46
6340.0,3500,40.0,0.0,SD,28900.0,14900.0,False,0.0,13:56:46
6340.0,100,40.0,0.0,SD,28900.0,11400.0,False,0.0,13:55:06
6340.0,6300,40.0,0.0,SD,28900.0,11300.0,False,0.0,13:55:06
6340.0,1000,40.0,0.0,BU,28900.0,5000.0,False,40.0,13:54:41
6300.0,100,0.0,0.0,BU,27900.0,5000.0,False,0.0,13:53:44
6300.0,100,0.0,0.0,BU,27800.0,5000.0,False,0.0,13:52:48
6300.0,100,0.0,0.0,SD,27700.0,5000.0,False,-40.0,13:51:39
6340.0,3000,40.0,0.0,BU,27700.0,4900.0,False,0.0,13:50:57
6340.0,200,40.0,0.0,BU,24700.0,4900.0,False,0.0,13:48:23
