p,v,cp,rcp,a,ba,sa,hl,pcp,t
58000.0,100,-1600.0,0.0,SD,200.0,1100.0,False,0.0,13:44:15
58000.0,200,-1600.0,0.0,SD,200.0,1000.0,False,0.0,13:44:15
58000.0,200,-1600.0,0.0,SD,200.0,800.0,False,0.0,13:32:25
58000.0,100,-1600.0,0.0,BU,200.0,600.0,False,0.0,11:18:22
58000.0,100,-1600.0,0.0,BU,100.0,600.0,False,500.0,11:15:52
57500.0,100,-2100.0,0.0,SD,0.0,600.0,False,300.0,11:00:06
57200.0,200,-2400.0,0.0,SD,0.0,500.0,False,0.0,09:48:40
57200.0,100,-2400.0,0.0,SD,0.0,300.0,False,-100.0,09:48:14
57300.0,100,-2300.0,0.0,SD,0.0,200.0,False,200.0,09:45:57
57100.0,100,-2500.0,0.0,SD,0.0,100.0,False,0.0,09:20:18
