p,v,cp,rcp,a,ba,sa,hl,pcp,t
27700.0,29200,-500.0,0.0,,65600.0,103000.0,False,-200.0,14:45:00
27900.0,300,-300.0,0.0,BU,65600.0,103000.0,False,150.0,14:29:43
27750.0,1100,-450.0,0.0,SD,65300.0,103000.0,False,-100.0,14:29:31
27850.0,300,-350.0,0.0,SD,65300.0,101900.0,False,100.0,14:29:31
27750.0,100,-450.0,0.0,SD,65300.0,101600.0,False,50.0,14:28:17
27700.0,100,-500.0,0.0,SD,65300.0,101500.0,False,0.0,14:27:41
27700.0,100,-500.0,0.0,BU,65300.0,101400.0,False,0.0,14:27:37
27700.0,100,-500.0,0.0,BU,65200.0,101400.0,False,0.0,14:26:38
27700.0,100,-500.0,0.0,BU,65100.0,101400.0,False,0.0,14:26:22
27700.0,2000,-500.0,0.0,SD,65000.0,101400.0,False,-50.0,14:26:12
27750.0,400,-450.0,0.0,SD,65000.0,99400.0,False,-100.0,14:26:12
27850.0,200,-350.0,0.0,BU,65000.0,99000.0,False,100.0,14:25:38
27750.0,600,-450.0,0.0,BU,64800.0,99000.0,False,50.0,14:24:40
27700.0,300,-500.0,0.0,BU,64200.0,99000.0,False,0.0,14:24:03
27700.0,100,-500.0,0.0,BU,63900.0,99000.0,False,0.0,14:23:28
27700.0,100,-500.0,0.0,BU,63800.0,99000.0,False,-50.0,14:23:09
27750.0,1200,-450.0,0.0,BU,63700.0,99000.0,False,150.0,14:21:49
27600.0,800,-600.0,0.0,BU,62500.0,99000.0,False,0.0,14:21:49
27600.0,100,-600.0,0.0,SD,61700.0,99000.0,False,0.0,14:21:49
27600.0,600,-600.0,0.0,SD,61700.0,98900.0,False,0.0,14:21:49
27600.0,1000,-600.0,0.0,SD,61700.0,98300.0,False,0.0,14:21:49
27600.0,400,-600.0,0.0,SD,61700.0,97300.0,False,-50.0,14:21:49
27650.0,1000,-550.0,0.0,SD,61700.0,96900.0,False,-50.0,14:21:49
27700.0,100,-500.0,0.0,SD,61700.0,95900.0,False,0.0,14:21:49
