p,v,cp,rcp,a,ba,sa,hl,pcp,t
28000.0,18700,-800.0,0.0,,32500.0,114900.0,False,-200.0,14:45:00
28200.0,1000,-600.0,0.0,SD,32500.0,114900.0,False,0.0,14:29:45
28200.0,100,-600.0,0.0,SD,32500.0,113900.0,False,0.0,14:28:57
28200.0,1700,-600.0,0.0,SD,32500.0,113800.0,False,0.0,14:28:31
28200.0,1000,-600.0,0.0,SD,32500.0,112100.0,False,0.0,14:28:12
28200.0,100,-600.0,0.0,SD,32500.0,111100.0,False,0.0,14:28:12
28200.0,200,-600.0,0.0,SD,32500.0,111000.0,False,50.0,14:28:12
28150.0,800,-650.0,0.0,SD,32500.0,110800.0,False,-50.0,14:25:30
28200.0,200,-600.0,0.0,SD,32500.0,110000.0,False,50.0,14:25:30
28150.0,11000,-650.0,0.0,SD,32500.0,109800.0,True,-50.0,14:24:51
28200.0,500,-600.0,0.0,SD,32500.0,98800.0,False,0.0,14:24:51
28200.0,500,-600.0,0.0,SD,32500.0,98300.0,False,0.0,14:24:51
28200.0,1000,-600.0,0.0,SD,32500.0,97800.0,False,-200.0,14:24:02
28400.0,300,-400.0,0.0,BU,32500.0,96800.0,False,0.0,14:22:35
28400.0,500,-400.0,0.0,BU,32200.0,96800.0,False,50.0,14:22:02
28350.0,100,-450.0,0.0,BU,31700.0,96800.0,False,200.0,14:21:38
28150.0,7600,-650.0,0.0,SD,31600.0,96800.0,True,-50.0,14:21:16
28200.0,400,-600.0,0.0,SD,31600.0,89200.0,False,0.0,14:21:16
28200.0,600,-600.0,0.0,SD,31600.0,88800.0,False,0.0,14:21:15
28200.0,100,-600.0,0.0,SD,31600.0,88200.0,False,-200.0,14:21:15
28400.0,100,-400.0,0.0,SD,31600.0,88100.0,False,0.0,14:20:30
28400.0,500,-400.0,0.0,SD,31600.0,88000.0,False,0.0,14:20:30
28400.0,1000,-400.0,0.0,SD,31600.0,87500.0,False,0.0,14:20:30
28400.0,100,-400.0,0.0,SD,31600.0,86500.0,False,0.0,14:20:30
28400.0,100,-400.0,0.0,SD,31600.0,86400.0,False,0.0,14:20:30
28400.0,200,-400.0,0.0,SD,31600.0,86300.0,False,0.0,14:20:30
28400.0,1000,-400.0,0.0,SD,31600.0,86100.0,False,0.0,14:20:30
28400.0,100,-400.0,0.0,SD,31600.0,85100.0,False,0.0,14:20:30
28400.0,900,-400.0,0.0,SD,31600.0,85000.0,False,-50.0,14:20:30
28450.0,200,-350.0,0.0,SD,31600.0,84100.0,False,0.0,14:20:27
28450.0,100,-350.0,0.0,SD,31600.0,83900.0,False,0.0,14:20:27
28450.0,1000,-350.0,0.0,SD,31600.0,83800.0,False,-50.0,14:20:27
28500.0,100,-300.0,0.0,SD,31600.0,82800.0,False,0.0,14:19:48
28500.0,900,-300.0,0.0,SD,31600.0,82700.0,False,0.0,14:19:45
28500.0,100,-300.0,0.0,SD,31600.0,81800.0,False,0.0,14:19:45
28500.0,200,-300.0,0.0,SD,31600.0,81700.0,False,0.0,14:19:45
28500.0,100,-300.0,0.0,SD,31600.0,81500.0,False,0.0,14:19:45
28500.0,1700,-300.0,0.0,SD,31600.0,81400.0,False,-50.0,14:19:45
28550.0,100,-250.0,0.0,BU,31600.0,79700.0,False,0.0,14:18:33
28550.0,100,-250.0,0.0,BU,31500.0,79700.0,False,0.0,14:18:33
28550.0,500,-250.0,0.0,BU,31400.0,79700.0,False,0.0,14:18:33
28550.0,100,-250.0,0.0,BU,30900.0,79700.0,False,0.0,14:18:33
28550.0,100,-250.0,0.0,BU,30800.0,79700.0,False,0.0,14:18:33
28550.0,200,-250.0,0.0,SD,30700.0,79700.0,False,0.0,14:18:27
28550.0,1000,-250.0,0.0,SD,30700.0,79500.0,False,0.0,14:18:27
28550.0,1000,-250.0,0.0,SD,30700.0,78500.0,False,0.0,14:18:27
28550.0,800,-250.0,0.0,SD,30700.0,77500.0,False,0.0,14:18:27
28550.0,3000,-250.0,0.0,SD,30700.0,76700.0,False,-50.0,14:18:27
28600.0,1300,-200.0,0.0,BU,30700.0,73700.0,False,0.0,14:17:24
28600.0,300,-200.0,0.0,BU,29400.0,73700.0,False,0.0,14:17:24
28600.0,100,-200.0,0.0,SD,29100.0,73700.0,False,-150.0,14:16:30
28750.0,300,-50.0,0.0,BU,29100.0,73600.0,False,0.0,14:11:20
28750.0,1500,-50.0,0.0,BU,28800.0,73600.0,False,0.0,14:11:20
28750.0,200,-50.0,0.0,BU,27300.0,73600.0,False,0.0,14:11:20
28750.0,900,-50.0,0.0,BU,27100.0,73600.0,False,200.0,14:11:20
28550.0,100,-250.0,0.0,SD,26200.0,73600.0,False,0.0,14:06:42
28550.0,100,-250.0,0.0,SD,26200.0,73500.0,False,-50.0,14:04:26
28600.0,900,-200.0,0.0,BU,26200.0,73400.0,False,0.0,14:03:58
28600.0,100,-200.0,0.0,SD,25300.0,73400.0,False,50.0,14:03:27
28550.0,100,-250.0,0.0,SD,25300.0,73300.0,False,-50.0,14:00:19
28600.0,100,-200.0,0.0,BU,25300.0,73200.0,False,0.0,13:59:44
28600.0,600,-200.0,0.0,SD,25200.0,73200.0,False,0.0,13:56:47
28600.0,200,-200.0,0.0,SD,25200.0,72600.0,False,0.0,13:56:47
28600.0,200,-200.0,0.0,SD,25200.0,72400.0,False,-100.0,13:52:53
28700.0,500,-100.0,0.0,BU,25200.0,72200.0,False,0.0,13:52:53
28700.0,100,-100.0,0.0,SD,24700.0,72200.0,False,0.0,13:50:20
28700.0,200,-100.0,0.0,BU,24700.0,72100.0,False,0.0,13:47:35
28700.0,100,-100.0,0.0,BU,24500.0,72100.0,False,0.0,13:45:01
28700.0,2000,-100.0,0.0,BU,24400.0,72100.0,False,150.0,13:43:28
