p,v,cp,rcp,a,ba,sa,hl,pcp,t
4900.0,100,100.0,0.0,BU,249500.0,312600.0,False,0.0,14:59:23
4900.0,100,100.0,0.0,BU,249400.0,312600.0,False,100.0,14:59:21
4800.0,100,0.0,0.0,SD,249300.0,312600.0,False,-100.0,14:57:19
4900.0,3000,100.0,0.0,BU,249300.0,312500.0,False,0.0,14:51:36
4900.0,5000,100.0,0.0,BU,246300.0,312500.0,False,0.0,14:48:33
4900.0,100,100.0,0.0,BU,241300.0,312500.0,False,100.0,14:46:55
4800.0,600,0.0,0.0,SD,241200.0,312500.0,False,0.0,14:34:18
4800.0,700,0.0,0.0,SD,241200.0,311900.0,False,0.0,14:30:45
4800.0,400,0.0,0.0,SD,241200.0,311200.0,False,0.0,14:29:51
4800.0,1000,0.0,0.0,SD,241200.0,310800.0,False,0.0,14:28:52
4800.0,15300,0.0,0.0,SD,241200.0,309800.0,False,0.0,14:28:29
4800.0,300,0.0,0.0,BU,241200.0,294500.0,False,0.0,14:28:09
4800.0,1000,0.0,0.0,BU,240900.0,294500.0,False,0.0,14:27:59
4800.0,500,0.0,0.0,BU,239900.0,294500.0,False,0.0,14:27:43
4800.0,1000,0.0,0.0,BU,239400.0,294500.0,False,0.0,14:27:19
4800.0,200,0.0,0.0,BU,238400.0,294500.0,False,0.0,14:26:18
4800.0,500,0.0,0.0,BU,238200.0,294500.0,False,100.0,14:24:32
4700.0,2000,-100.0,0.0,SD,237700.0,294500.0,False,0.0,14:23:25
4700.0,8000,-100.0,0.0,SD,237700.0,292500.0,False,-100.0,14:22:35
4800.0,7100,0.0,0.0,BU,237700.0,284500.0,False,0.0,14:21:31
4800.0,2200,0.0,0.0,SD,230600.0,284500.0,False,0.0,14:20:52
4800.0,3000,0.0,0.0,SD,230600.0,282300.0,False,0.0,14:20:08
4800.0,13000,0.0,0.0,SD,230600.0,279300.0,False,-100.0,14:19:38
4900.0,200,100.0,0.0,BU,230600.0,266300.0,False,100.0,14:15:56
4800.0,20000,0.0,0.0,SD,230400.0,266300.0,False,-100.0,14:15:33
4900.0,1600,100.0,0.0,BU,230400.0,246300.0,False,0.0,14:15:22
4900.0,200,100.0,0.0,BU,228800.0,246300.0,False,100.0,14:11:25
4800.0,13000,0.0,0.0,SD,228600.0,246300.0,False,0.0,14:09:58
4800.0,12500,0.0,0.0,SD,228600.0,200800.0,False,-100.0,14:02:27
4900.0,200,100.0,0.0,BU,228600.0,186500.0,False,0.0,13:54:55
4900.0,800,100.0,0.0,BU,228400.0,186500.0,False,0.0,13:54:38
4900.0,100,100.0,0.0,BU,218500.0,180000.0,False,0.0,13:48:49
4900.0,100,100.0,0.0,BU,218400.0,180000.0,False,0.0,13:46:58
4900.0,3100,100.0,0.0,SD,218300.0,180000.0,False,0.0,13:46:08
4900.0,1000,100.0,0.0,SD,218300.0,176900.0,False,0.0,13:45:00
4900.0,4000,100.0,0.0,SD,218300.0,175900.0,False,0.0,13:44:54
