p,v,cp,rcp,a,ba,sa,hl,pcp,t
18400.0,3200,-200.0,0.0,,9400.0,77400.0,False,50.0,14:45:00
18350.0,200,-250.0,0.0,SD,9400.0,77400.0,False,-50.0,14:27:41
18400.0,100,-200.0,0.0,SD,9400.0,77200.0,False,50.0,14:27:09
18350.0,3800,-250.0,0.0,SD,9400.0,77100.0,False,0.0,14:25:01
18350.0,300,-250.0,0.0,SD,9400.0,73300.0,False,0.0,14:24:30
18350.0,100,-250.0,0.0,SD,9400.0,73000.0,False,0.0,14:24:30
18350.0,400,-250.0,0.0,SD,9400.0,72900.0,False,0.0,14:23:33
18350.0,800,-250.0,0.0,BU,9400.0,72500.0,False,0.0,14:20:38
18350.0,100,-250.0,0.0,SD,8600.0,72500.0,False,0.0,14:18:59
18350.0,100,-250.0,0.0,SD,8600.0,72400.0,False,0.0,14:18:59
18350.0,1000,-250.0,0.0,SD,8600.0,72300.0,False,0.0,14:18:59
18350.0,1000,-250.0,0.0,SD,8600.0,71300.0,False,0.0,14:18:59
18350.0,500,-250.0,0.0,SD,8600.0,70300.0,False,-50.0,14:18:59
18400.0,16500,-200.0,0.0,SD,8600.0,69800.0,True,0.0,14:18:59
18400.0,13500,-200.0,0.0,SD,8600.0,53300.0,True,-100.0,14:17:46
18500.0,1300,-100.0,0.0,BU,8600.0,39800.0,False,0.0,14:14:16
18500.0,400,-100.0,0.0,BU,7300.0,39800.0,False,0.0,14:14:16
18500.0,200,-100.0,0.0,BU,6900.0,39800.0,False,100.0,14:13:52
18400.0,300,-200.0,0.0,BU,6700.0,37800.0,False,0.0,13:46:34
18400.0,200,-200.0,0.0,BU,6400.0,37800.0,False,0.0,13:45:09
18400.0,500,-200.0,0.0,BU,6200.0,37800.0,False,0.0,13:44:35
18400.0,1000,-200.0,0.0,BU,5700.0,37800.0,False,0.0,13:44:35
18400.0,3000,-200.0,0.0,SD,4700.0,37800.0,False,-100.0,13:44:29
18500.0,100,-100.0,0.0,BU,4700.0,34800.0,False,150.0,13:33:37
18350.0,200,-250.0,0.0,SD,4600.0,34800.0,False,0.0,13:26:36
18350.0,300,-250.0,0.0,SD,4600.0,34600.0,False,0.0,13:24:41
18350.0,200,-250.0,0.0,SD,4600.0,34300.0,False,0.0,13:24:41
18350.0,1000,-250.0,0.0,SD,4600.0,34100.0,False,0.0,13:24:41
18350.0,5000,-250.0,0.0,SD,4600.0,33100.0,False,0.0,13:24:41
18350.0,1000,-250.0,0.0,SD,4600.0,28100.0,False,0.0,13:24:41
