p,v,cp,rcp,a,ba,sa,hl,pcp,t
21300.0,300,1000.0,0.0,BU,63100.0,68000.0,False,0.0,14:47:31
21300.0,200,1000.0,0.0,SD,62800.0,68000.0,False,200.0,14:40:38
21100.0,200,800.0,0.0,BU,62800.0,67800.0,False,100.0,14:28:50
21000.0,2000,700.0,0.0,SD,62600.0,67800.0,False,0.0,14:28:00
21000.0,200,700.0,0.0,SD,62600.0,65800.0,False,-100.0,14:27:59
21100.0,200,800.0,0.0,BU,62600.0,65600.0,False,0.0,14:27:48
21100.0,100,800.0,0.0,BU,62400.0,65600.0,False,-100.0,14:25:34
21200.0,100,900.0,0.0,BU,62300.0,65600.0,False,0.0,14:23:38
21200.0,500,900.0,0.0,SD,62200.0,65600.0,False,0.0,14:23:35
21200.0,2000,900.0,0.0,SD,62200.0,65100.0,False,0.0,14:23:19
21200.0,1000,900.0,0.0,SD,62200.0,63100.0,False,0.0,14:23:14
21200.0,2000,900.0,0.0,SD,62200.0,62100.0,False,0.0,14:23:05
21200.0,6100,900.0,0.0,SD,62200.0,60100.0,False,0.0,14:23:04
21200.0,1500,900.0,0.0,SD,62200.0,54000.0,False,0.0,14:22:58
21200.0,500,900.0,0.0,SD,62200.0,52500.0,False,0.0,14:22:41
21200.0,1000,900.0,0.0,SD,62200.0,52000.0,False,0.0,14:22:38
21200.0,500,900.0,0.0,SD,62200.0,51000.0,False,0.0,14:22:26
21200.0,700,900.0,0.0,SD,62200.0,50500.0,False,0.0,14:22:23
21200.0,5000,900.0,0.0,SD,62200.0,49800.0,False,0.0,14:21:58
21200.0,500,900.0,0.0,SD,62200.0,44800.0,False,0.0,14:21:55
21200.0,500,900.0,0.0,SD,62200.0,44300.0,False,-100.0,14:21:13
21300.0,1900,1000.0,0.0,BU,62200.0,43800.0,False,0.0,14:19:31
21300.0,100,1000.0,0.0,SD,60300.0,43800.0,False,0.0,14:19:06
21300.0,2100,1000.0,0.0,SD,60300.0,43700.0,False,-100.0,14:18:55
21400.0,2700,1100.0,0.1,BU,60300.0,41600.0,False,0.0,14:18:03
21400.0,100,1100.0,0.1,SD,57600.0,41600.0,False,0.0,14:18:02
21400.0,400,1100.0,0.1,SD,57600.0,41500.0,False,0.0,14:17:34
21400.0,800,1100.0,0.1,BU,57600.0,41100.0,False,0.0,14:12:56
21400.0,300,1100.0,0.1,BU,56800.0,41100.0,False,0.0,14:06:55
21400.0,1600,1100.0,0.1,SD,56500.0,41100.0,False,0.0,14:06:19
21400.0,500,1100.0,0.1,SD,56500.0,39500.0,False,0.0,14:05:44
21400.0,1000,1100.0,0.1,SD,56500.0,39000.0,False,0.0,14:05:23
21400.0,100,1100.0,0.1,SD,56500.0,38000.0,False,0.0,14:05:08
21400.0,500,1100.0,0.1,SD,56500.0,37900.0,False,-100.0,14:04:14
21500.0,1000,1200.0,0.1,BU,56500.0,37400.0,False,0.0,14:02:40
21500.0,500,1200.0,0.1,BU,55500.0,37400.0,False,0.0,13:56:03
21500.0,700,1200.0,0.1,BU,55000.0,37400.0,False,100.0,13:53:27
21400.0,200,1100.0,0.1,BU,54300.0,37400.0,False,0.0,13:48:05
21400.0,200,1100.0,0.1,BU,54100.0,37400.0,False,100.0,13:47:40
21300.0,100,1000.0,0.0,SD,53900.0,37400.0,False,-100.0,13:24:49
21400.0,1000,1100.0,0.1,BU,53900.0,37300.0,False,0.0,13:24:45
21400.0,200,1100.0,0.1,SD,52900.0,37300.0,False,0.0,13:21:12
21400.0,1000,1100.0,0.1,SD,52900.0,37100.0,False,100.0,13:19:58
21300.0,1100,1000.0,0.0,SD,52900.0,36100.0,False,0.0,13:17:55
21300.0,200,1000.0,0.0,SD,52900.0,35000.0,False,0.0,13:11:43
21300.0,200,1000.0,0.0,SD,52900.0,34800.0,False,0.0,13:06:54
21300.0,500,1000.0,0.0,SD,52900.0,34600.0,False,0.0,13:06:14
21300.0,3000,1000.0,0.0,SD,52900.0,34100.0,False,0.0,13:05:48
21300.0,600,1000.0,0.0,SD,52900.0,31100.0,False,0.0,13:00:47
21300.0,300,1000.0,0.0,SD,52900.0,30500.0,False,-200.0,13:00:19
21500.0,100,1200.0,0.1,BU,52900.0,30200.0,False,0.0,11:28:54
21500.0,100,1200.0,0.1,BU,52800.0,30200.0,False,200.0,11:28:05
21300.0,500,1000.0,0.0,SD,52700.0,30200.0,False,-200.0,11:23:06
21500.0,600,1200.0,0.1,BU,52700.0,29700.0,False,0.0,11:19:38
21500.0,200,1200.0,0.1,SD,52100.0,29700.0,False,0.0,11:17:51
21500.0,200,1200.0,0.1,SD,52100.0,29500.0,False,0.0,11:17:42
21500.0,500,1200.0,0.1,SD,52100.0,29300.0,False,-100.0,11:16:53
21600.0,1000,1300.0,0.1,BU,52100.0,28800.0,False,100.0,10:53:30
21500.0,100,1200.0,0.1,SD,51100.0,28800.0,False,0.0,10:47:28
21500.0,100,1200.0,0.1,SD,51100.0,28700.0,False,0.0,10:45:59
21500.0,200,1200.0,0.1,SD,51100.0,28600.0,False,0.0,10:44:54
21500.0,100,1200.0,0.1,SD,51100.0,28400.0,False,-100.0,10:44:02
21600.0,200,1300.0,0.1,BU,51100.0,28300.0,False,0.0,10:42:30
21600.0,100,1300.0,0.1,SD,50900.0,28300.0,False,0.0,10:42:28
21600.0,200,1300.0,0.1,SD,50900.0,28200.0,False,0.0,10:42:13
21600.0,400,1300.0,0.1,SD,50900.0,28000.0,False,0.0,10:40:57
21600.0,100,1300.0,0.1,SD,50900.0,27600.0,False,100.0,10:38:52
21500.0,600,1200.0,0.1,SD,50900.0,27500.0,False,0.0,10:35:02
21500.0,100,1200.0,0.1,BU,50900.0,26900.0,False,0.0,10:29:25
21500.0,300,1200.0,0.1,BU,50800.0,26900.0,False,100.0,10:27:08
21400.0,200,1100.0,0.1,BU,50500.0,26900.0,False,100.0,10:19:36
21300.0,500,1000.0,0.0,BU,50300.0,26900.0,False,0.0,10:18:30
