p,v,cp,rcp,a,ba,sa,hl,pcp,t
19700.0,100,0.0,0.0,,340400.0,93700.0,False,0.0,14:45:01
19700.0,100,0.0,0.0,BU,340400.0,93700.0,False,50.0,14:29:22
19650.0,800,-50.0,0.0,BU,340300.0,93700.0,False,0.0,14:29:22
19650.0,1000,-50.0,0.0,BU,339500.0,93700.0,False,0.0,14:29:03
19650.0,200,-50.0,0.0,BU,338500.0,93700.0,False,0.0,14:27:49
19650.0,700,-50.0,0.0,BU,338300.0,93700.0,False,0.0,14:27:49
19650.0,100,-50.0,0.0,BU,337600.0,93700.0,False,0.0,14:26:59
19650.0,900,-50.0,0.0,BU,337500.0,93700.0,False,0.0,14:26:59
19650.0,100,-50.0,0.0,BU,336600.0,93700.0,False,0.0,14:26:16
19650.0,200,-50.0,0.0,BU,336500.0,93700.0,False,0.0,14:26:16
19650.0,400,-50.0,0.0,BU,336300.0,93700.0,False,0.0,14:25:44
19650.0,100,-50.0,0.0,BU,335900.0,93700.0,False,0.0,14:25:44
19650.0,200,-50.0,0.0,BU,335800.0,93700.0,False,0.0,14:24:15
19650.0,1200,-50.0,0.0,BU,335600.0,93700.0,False,0.0,14:23:19
19650.0,200,-50.0,0.0,BU,334400.0,93700.0,False,0.0,14:23:19
19650.0,300,-50.0,0.0,BU,334200.0,93700.0,False,50.0,14:23:19
19600.0,1200,-100.0,0.0,BU,333900.0,93700.0,False,0.0,14:22:54
19600.0,500,-100.0,0.0,SD,332700.0,93700.0,False,0.0,14:21:57
19600.0,1300,-100.0,0.0,SD,332700.0,93200.0,False,-50.0,14:21:57
19650.0,1600,-50.0,0.0,BU,332700.0,91900.0,False,0.0,14:21:37
19650.0,300,-50.0,0.0,BU,331100.0,91900.0,False,0.0,14:18:56
19650.0,300,-50.0,0.0,BU,330800.0,91900.0,False,0.0,14:18:38
19650.0,800,-50.0,0.0,BU,330500.0,91900.0,False,0.0,14:18:38
19650.0,1700,-50.0,0.0,BU,329700.0,91900.0,False,0.0,14:17:55
19650.0,100,-50.0,0.0,SD,328000.0,91900.0,False,0.0,14:17:43
19650.0,1300,-50.0,0.0,BU,328000.0,91800.0,False,0.0,14:17:23
19650.0,900,-50.0,0.0,BU,326700.0,91800.0,False,0.0,14:17:23
19650.0,200,-50.0,0.0,BU,325800.0,91800.0,False,50.0,14:17:23
19600.0,500,-100.0,0.0,SD,325600.0,91800.0,False,-50.0,14:16:34
19650.0,1000,-50.0,0.0,BU,325600.0,91300.0,False,0.0,14:16:09
19650.0,800,-50.0,0.0,SD,324600.0,91300.0,False,0.0,14:14:36
19650.0,500,-50.0,0.0,SD,324600.0,90500.0,False,0.0,14:14:36
19650.0,1400,-50.0,0.0,BU,324600.0,90000.0,False,0.0,14:13:33
19650.0,200,-50.0,0.0,BU,323200.0,90000.0,False,0.0,14:12:46
19650.0,1100,-50.0,0.0,SD,323000.0,90000.0,False,0.0,14:12:40
19650.0,100,-50.0,0.0,SD,323000.0,88900.0,False,0.0,14:12:40
19650.0,400,-50.0,0.0,BU,323000.0,88800.0,False,0.0,14:10:54
19650.0,1200,-50.0,0.0,BU,322600.0,88800.0,False,0.0,14:10:54
19650.0,100,-50.0,0.0,BU,321400.0,88800.0,False,0.0,14:10:54
19650.0,700,-50.0,0.0,SD,321300.0,88800.0,False,0.0,14:10:06
19650.0,700,-50.0,0.0,SD,321300.0,88100.0,False,0.0,14:10:06
19650.0,200,-50.0,0.0,BU,321300.0,87400.0,False,0.0,14:08:44
19650.0,800,-50.0,0.0,BU,321100.0,87400.0,False,0.0,14:08:44
19650.0,1200,-50.0,0.0,BU,320300.0,87400.0,False,0.0,14:08:04
19650.0,500,-50.0,0.0,BU,319100.0,87400.0,False,0.0,14:07:04
19650.0,500,-50.0,0.0,BU,318600.0,87400.0,False,0.0,14:06:51
19650.0,1000,-50.0,0.0,BU,318100.0,87400.0,False,0.0,14:06:19
19650.0,500,-50.0,0.0,BU,317100.0,87400.0,False,0.0,14:05:09
19650.0,500,-50.0,0.0,BU,316600.0,87400.0,False,0.0,14:04:34
19650.0,1300,-50.0,0.0,BU,316100.0,87400.0,False,0.0,14:04:34
19650.0,1200,-50.0,0.0,BU,314800.0,87400.0,False,0.0,14:03:43
19650.0,600,-50.0,0.0,BU,313600.0,87400.0,False,0.0,14:03:43
19650.0,400,-50.0,0.0,BU,313000.0,87400.0,False,0.0,14:03:30
19650.0,700,-50.0,0.0,BU,312600.0,87400.0,False,0.0,14:03:30
19650.0,1400,-50.0,0.0,BU,311900.0,87400.0,False,0.0,14:02:44
19650.0,1500,-50.0,0.0,BU,310500.0,87400.0,False,0.0,14:02:16
19650.0,500,-50.0,0.0,BU,309000.0,87400.0,False,0.0,14:02:16
19650.0,1300,-50.0,0.0,BU,308500.0,87400.0,False,0.0,14:02:02
19650.0,400,-50.0,0.0,BU,307200.0,87400.0,False,0.0,14:02:02
19650.0,400,-50.0,0.0,BU,306800.0,87400.0,False,0.0,14:01:29
19650.0,900,-50.0,0.0,BU,306400.0,87400.0,False,0.0,14:01:29
19650.0,300,-50.0,0.0,BU,305500.0,87400.0,False,0.0,14:01:04
19650.0,500,-50.0,0.0,BU,305200.0,87400.0,False,0.0,14:01:04
19650.0,600,-50.0,0.0,BU,304700.0,87400.0,False,0.0,14:01:04
19650.0,700,-50.0,0.0,BU,304100.0,87400.0,False,0.0,14:00:01
19650.0,300,-50.0,0.0,BU,303400.0,87400.0,False,0.0,14:00:01
19650.0,2200,-50.0,0.0,BU,303100.0,87400.0,False,0.0,13:59:47
19650.0,1000,-50.0,0.0,BU,300900.0,87400.0,False,0.0,13:58:53
19650.0,500,-50.0,0.0,BU,299900.0,87400.0,False,0.0,13:58:53
19650.0,1500,-50.0,0.0,BU,299400.0,87400.0,False,0.0,13:58:27
19650.0,100,-50.0,0.0,BU,297900.0,87400.0,False,0.0,13:57:43
19650.0,500,-50.0,0.0,BU,297800.0,87400.0,False,0.0,13:57:43
19650.0,1200,-50.0,0.0,BU,297300.0,87400.0,False,0.0,13:57:43
19650.0,300,-50.0,0.0,BU,296100.0,87400.0,False,0.0,13:56:56
19650.0,700,-50.0,0.0,BU,295800.0,87400.0,False,0.0,13:56:56
19650.0,100,-50.0,0.0,BU,295100.0,87400.0,False,0.0,13:56:13
19650.0,1600,-50.0,0.0,BU,295000.0,87400.0,False,0.0,13:56:13
19650.0,400,-50.0,0.0,BU,293400.0,87400.0,False,0.0,13:55:45
19650.0,800,-50.0,0.0,BU,293000.0,87400.0,False,0.0,13:55:45
19650.0,100,-50.0,0.0,BU,292200.0,87400.0,False,0.0,13:54:51
19650.0,100,-50.0,0.0,BU,292100.0,87400.0,False,0.0,13:53:44
19650.0,1800,-50.0,0.0,BU,292000.0,87400.0,False,50.0,13:53:44
19600.0,700,-100.0,0.0,SD,290200.0,87400.0,False,0.0,13:53:32
19600.0,300,-100.0,0.0,SD,290200.0,86700.0,False,-50.0,13:53:32
19650.0,1400,-50.0,0.0,BU,290200.0,86400.0,False,0.0,13:52:17
19650.0,300,-50.0,0.0,BU,288800.0,86400.0,False,0.0,13:52:17
19650.0,1200,-50.0,0.0,BU,288500.0,86400.0,False,0.0,13:51:48
19650.0,700,-50.0,0.0,SD,287300.0,86400.0,False,0.0,13:51:36
19650.0,1000,-50.0,0.0,SD,287300.0,85700.0,False,0.0,13:51:13
19650.0,900,-50.0,0.0,BU,287300.0,84700.0,False,0.0,13:50:41
19650.0,700,-50.0,0.0,SD,286400.0,84700.0,False,0.0,13:50:20
19650.0,400,-50.0,0.0,SD,286400.0,84000.0,False,0.0,13:50:20
19650.0,1000,-50.0,0.0,BU,286400.0,83600.0,False,0.0,13:49:41
19650.0,1200,-50.0,0.0,BU,285400.0,83600.0,False,0.0,13:49:41
19650.0,100,-50.0,0.0,BU,284200.0,83600.0,False,0.0,13:49:27
19650.0,1200,-50.0,0.0,BU,284100.0,83600.0,False,0.0,13:48:37
19650.0,300,-50.0,0.0,BU,282900.0,83600.0,False,0.0,13:48:37
19650.0,1000,-50.0,0.0,BU,282600.0,83600.0,False,0.0,13:48:18
19650.0,200,-50.0,0.0,BU,281600.0,83600.0,False,0.0,13:48:18
19650.0,100,-50.0,0.0,BU,281400.0,83600.0,False,0.0,13:47:50
19650.0,600,-50.0,0.0,BU,281300.0,83600.0,False,0.0,13:47:50
19650.0,300,-50.0,0.0,BU,280700.0,83600.0,False,0.0,13:47:50
19650.0,700,-50.0,0.0,BU,280400.0,83600.0,False,0.0,13:46:29
19650.0,1200,-50.0,0.0,BU,279700.0,83600.0,False,0.0,13:46:29
19650.0,600,-50.0,0.0,BU,278500.0,83600.0,False,0.0,13:44:03
19650.0,600,-50.0,0.0,BU,277900.0,83600.0,False,0.0,13:44:03
19650.0,1600,-50.0,0.0,SD,277300.0,83600.0,False,0.0,13:43:35
19650.0,500,-50.0,0.0,BU,277300.0,82000.0,False,0.0,13:41:49
19650.0,300,-50.0,0.0,BU,276800.0,82000.0,False,0.0,13:41:49
19650.0,700,-50.0,0.0,BU,276500.0,82000.0,False,0.0,13:41:35
19650.0,800,-50.0,0.0,BU,275800.0,82000.0,False,0.0,13:41:35
19650.0,800,-50.0,0.0,BU,275000.0,82000.0,False,0.0,13:39:29
19650.0,500,-50.0,0.0,BU,274200.0,82000.0,False,0.0,13:39:29
19650.0,700,-50.0,0.0,BU,273700.0,82000.0,False,0.0,13:39:29
19650.0,300,-50.0,0.0,BU,273000.0,82000.0,False,0.0,13:39:13
19650.0,200,-50.0,0.0,BU,272700.0,82000.0,False,0.0,13:39:13
19650.0,1300,-50.0,0.0,BU,272500.0,82000.0,False,0.0,13:39:13
19650.0,500,-50.0,0.0,SD,271200.0,82000.0,False,0.0,13:38:32
19650.0,700,-50.0,0.0,SD,271200.0,81500.0,False,0.0,13:38:18
19650.0,1000,-50.0,0.0,BU,271200.0,80800.0,False,0.0,13:38:04
19650.0,200,-50.0,0.0,BU,270200.0,80800.0,False,0.0,13:38:04
19650.0,500,-50.0,0.0,BU,270000.0,80800.0,False,0.0,13:38:04
19650.0,200,-50.0,0.0,BU,269500.0,80800.0,False,0.0,13:38:04
19650.0,1600,-50.0,0.0,BU,269300.0,80800.0,False,0.0,13:37:45
19650.0,1000,-50.0,0.0,BU,267700.0,80800.0,False,0.0,13:37:20
19650.0,700,-50.0,0.0,BU,266700.0,80800.0,False,0.0,13:36:56
19650.0,1200,-50.0,0.0,BU,266000.0,80800.0,False,0.0,13:36:56
19650.0,600,-50.0,0.0,BU,264800.0,80800.0,False,0.0,13:35:38
19650.0,400,-50.0,0.0,SD,264200.0,80800.0,False,0.0,13:35:37
19650.0,800,-50.0,0.0,BU,264200.0,80400.0,False,0.0,13:35:21
19650.0,900,-50.0,0.0,BU,263400.0,80400.0,False,0.0,13:35:21
19650.0,900,-50.0,0.0,BU,262500.0,80400.0,False,0.0,13:34:55
19650.0,400,-50.0,0.0,BU,261600.0,80400.0,False,0.0,13:34:55
19650.0,1600,-50.0,0.0,BU,261200.0,80400.0,False,0.0,13:34:33
19650.0,300,-50.0,0.0,BU,259600.0,80400.0,False,0.0,13:34:33
19650.0,1300,-50.0,0.0,SD,259300.0,80400.0,False,0.0,13:33:12
19650.0,200,-50.0,0.0,BU,259300.0,79100.0,False,0.0,13:32:23
19650.0,600,-50.0,0.0,BU,259100.0,79100.0,False,0.0,13:32:23
19650.0,200,-50.0,0.0,BU,258500.0,79100.0,False,0.0,13:32:06
19650.0,1000,-50.0,0.0,BU,258300.0,79100.0,False,0.0,13:32:06
19650.0,400,-50.0,0.0,BU,257300.0,79100.0,False,0.0,13:32:06
19650.0,1400,-50.0,0.0,BU,256900.0,79100.0,False,0.0,13:31:35
19650.0,700,-50.0,0.0,BU,255500.0,79100.0,False,0.0,13:31:23
19650.0,300,-50.0,0.0,BU,254800.0,79100.0,False,0.0,13:31:23
19650.0,100,-50.0,0.0,BU,254500.0,79100.0,False,0.0,13:30:36
19650.0,1100,-50.0,0.0,BU,254400.0,79100.0,False,0.0,13:30:36
19650.0,600,-50.0,0.0,BU,253300.0,79100.0,False,0.0,13:29:41
19650.0,500,-50.0,0.0,BU,252700.0,79100.0,False,0.0,13:29:19
19650.0,1800,-50.0,0.0,BU,252200.0,79100.0,False,0.0,13:29:19
19650.0,200,-50.0,0.0,BU,250400.0,79100.0,False,0.0,13:28:37
19650.0,600,-50.0,0.0,BU,250200.0,79100.0,False,0.0,13:28:37
19650.0,800,-50.0,0.0,BU,249600.0,79100.0,False,0.0,13:28:37
19650.0,400,-50.0,0.0,BU,248800.0,79100.0,False,0.0,13:28:04
19650.0,600,-50.0,0.0,BU,248400.0,79100.0,False,0.0,13:28:04
19650.0,1200,-50.0,0.0,BU,247800.0,79100.0,False,0.0,13:27:43
19650.0,200,-50.0,0.0,BU,246600.0,79100.0,False,0.0,13:27:43
19650.0,100,-50.0,0.0,BU,246400.0,79100.0,False,0.0,13:27:43
19650.0,1900,-50.0,0.0,BU,246300.0,79100.0,False,0.0,13:27:32
19650.0,100,-50.0,0.0,BU,244400.0,79100.0,False,50.0,13:27:32
19600.0,200,-100.0,0.0,SD,244300.0,79100.0,False,-50.0,13:27:21
19650.0,700,-50.0,0.0,BU,244300.0,78900.0,False,0.0,13:27:09
19650.0,1100,-50.0,0.0,BU,243600.0,78900.0,False,50.0,13:27:09
19600.0,1900,-100.0,0.0,BU,242500.0,78900.0,False,0.0,13:26:28
19600.0,1100,-100.0,0.0,BU,240600.0,78900.0,False,0.0,13:26:16
19600.0,900,-100.0,0.0,BU,239500.0,78900.0,False,50.0,13:26:16
19550.0,500,-150.0,0.0,BU,238600.0,78900.0,False,0.0,13:26:06
19550.0,1000,-150.0,0.0,SD,238100.0,78900.0,False,-50.0,13:25:57
19600.0,1700,-100.0,0.0,BU,238100.0,77900.0,False,50.0,13:25:46
19550.0,1400,-150.0,0.0,SD,236400.0,77900.0,False,-50.0,13:25:04
19600.0,2100,-100.0,0.0,SD,236400.0,76500.0,False,-50.0,13:25:04
19650.0,1600,-50.0,0.0,BU,236400.0,74400.0,False,50.0,13:24:36
19600.0,700,-100.0,0.0,BU,234800.0,74400.0,False,0.0,13:24:15
19600.0,1500,-100.0,0.0,BU,234100.0,74400.0,False,0.0,13:24:07
19600.0,1300,-100.0,0.0,SD,232600.0,74400.0,False,-50.0,13:23:58
19650.0,600,-50.0,0.0,BU,232600.0,73100.0,False,0.0,13:23:41
19650.0,700,-50.0,0.0,BU,232000.0,73100.0,False,50.0,13:23:41
19600.0,100,-100.0,0.0,BU,231300.0,73100.0,False,0.0,13:23:41
19600.0,1300,-100.0,0.0,BU,231200.0,73100.0,False,-50.0,13:23:34
19650.0,1300,-50.0,0.0,BU,229900.0,73100.0,False,0.0,13:23:20
19650.0,800,-50.0,0.0,BU,228600.0,73100.0,False,0.0,13:23:20
19650.0,1200,-50.0,0.0,BU,227800.0,73100.0,False,0.0,13:23:02
19650.0,300,-50.0,0.0,BU,226600.0,73100.0,False,0.0,13:22:41
19650.0,200,-50.0,0.0,BU,226300.0,73100.0,False,0.0,13:22:33
19650.0,800,-50.0,0.0,SD,226100.0,73100.0,False,0.0,13:22:31
19650.0,1300,-50.0,0.0,BU,226100.0,72300.0,False,0.0,13:22:26
19650.0,1500,-50.0,0.0,BU,224800.0,72300.0,False,0.0,13:22:08
19650.0,300,-50.0,0.0,BU,223300.0,72300.0,False,0.0,13:22:08
19650.0,700,-50.0,0.0,SD,223000.0,72300.0,False,0.0,13:21:49
19650.0,900,-50.0,0.0,BU,223000.0,71600.0,False,0.0,13:21:27
19650.0,1100,-50.0,0.0,SD,222100.0,71600.0,False,0.0,13:21:06
19650.0,1200,-50.0,0.0,SD,222100.0,70500.0,False,0.0,13:21:03
19650.0,1800,-50.0,0.0,BU,222100.0,69300.0,False,50.0,13:20:38
19600.0,400,-100.0,0.0,SD,220300.0,69300.0,False,0.0,13:20:20
19600.0,1500,-100.0,0.0,SD,220300.0,68900.0,False,-50.0,13:19:59
19650.0,100,-50.0,0.0,SD,220300.0,67400.0,False,0.0,13:19:59
19650.0,1500,-50.0,0.0,SD,220300.0,67300.0,False,0.0,13:19:58
19650.0,300,-50.0,0.0,SD,220300.0,65800.0,False,0.0,13:19:58
19650.0,300,-50.0,0.0,SD,220300.0,65500.0,False,0.0,13:19:58
19650.0,900,-50.0,0.0,BU,220300.0,65200.0,False,0.0,13:19:45
19650.0,600,-50.0,0.0,BU,219400.0,65200.0,False,0.0,13:19:45
19650.0,1100,-50.0,0.0,BU,193400.0,62100.0,False,0.0,13:11:27
19650.0,900,-50.0,0.0,BU,192300.0,62100.0,False,0.0,13:11:27
19650.0,1700,-50.0,0.0,BU,191400.0,62100.0,False,0.0,13:11:16
19650.0,300,-50.0,0.0,BU,189700.0,62100.0,False,0.0,13:10:54
19650.0,600,-50.0,0.0,SD,189400.0,62100.0,False,0.0,13:10:43
19650.0,600,-50.0,0.0,SD,189400.0,61500.0,False,0.0,13:10:33
19650.0,800,-50.0,0.0,SD,189400.0,60900.0,False,0.0,13:10:33
19650.0,400,-50.0,0.0,BU,189400.0,60100.0,False,0.0,13:10:15
19650.0,800,-50.0,0.0,BU,189000.0,60100.0,False,0.0,13:10:15
19650.0,800,-50.0,0.0,BU,188200.0,60100.0,False,0.0,13:09:37
19650.0,600,-50.0,0.0,BU,187400.0,60100.0,False,0.0,13:09:25
19650.0,1100,-50.0,0.0,BU,186800.0,60100.0,False,0.0,13:09:25
19650.0,1400,-50.0,0.0,BU,185700.0,60100.0,False,0.0,13:08:13
19650.0,700,-50.0,0.0,BU,184300.0,60100.0,False,0.0,13:08:13
19650.0,600,-50.0,0.0,BU,183600.0,60100.0,False,0.0,13:07:49
19650.0,700,-50.0,0.0,BU,183000.0,60100.0,False,0.0,13:07:49
19650.0,300,-50.0,0.0,BU,182300.0,60100.0,False,0.0,13:07:32
19650.0,400,-50.0,0.0,BU,182000.0,60100.0,False,0.0,13:07:32
19650.0,900,-50.0,0.0,BU,181600.0,60100.0,False,0.0,13:07:03
