p,v,cp,rcp,a,ba,sa,hl,pcp,t
36600.0,12900,-800.0,0.0,,36800.0,64500.0,False,0.0,14:45:01
36600.0,1900,-800.0,0.0,,36800.0,64500.0,False,-300.0,14:45:00
36900.0,400,-500.0,0.0,BU,36800.0,64500.0,False,200.0,14:29:36
36700.0,100,-700.0,0.0,BU,36400.0,64500.0,False,0.0,14:29:32
36700.0,100,-700.0,0.0,BU,36300.0,64500.0,False,0.0,14:29:23
36700.0,100,-700.0,0.0,BU,36200.0,64500.0,False,100.0,14:28:57
36600.0,3000,-800.0,0.0,SD,36100.0,64500.0,False,0.0,14:28:07
36600.0,1800,-800.0,0.0,SD,36100.0,61500.0,False,-100.0,14:27:36
36700.0,300,-700.0,0.0,SD,36100.0,59700.0,False,100.0,14:26:15
36600.0,300,-800.0,0.0,SD,36100.0,59400.0,False,0.0,14:24:20
36600.0,500,-800.0,0.0,SD,36100.0,59100.0,False,0.0,14:23:11
36600.0,1600,-800.0,0.0,SD,36100.0,58600.0,False,-100.0,14:21:17
36700.0,200,-700.0,0.0,BU,36100.0,57000.0,False,0.0,14:21:04
36700.0,1500,-700.0,0.0,BU,35900.0,57000.0,False,-100.0,14:20:20
36800.0,100,-600.0,0.0,BU,34400.0,57000.0,False,0.0,14:20:09
36800.0,200,-600.0,0.0,SD,34300.0,57000.0,False,0.0,14:19:55
36800.0,100,-600.0,0.0,SD,34300.0,56800.0,False,0.0,14:19:27
36800.0,4400,-600.0,0.0,SD,34300.0,56700.0,False,0.0,14:17:39
36800.0,100,-600.0,0.0,SD,34300.0,52300.0,False,-100.0,14:17:38
36900.0,2100,-500.0,0.0,SD,34300.0,52200.0,False,-100.0,14:17:11
37000.0,500,-400.0,0.0,BU,34300.0,50100.0,False,0.0,14:15:46
37000.0,100,-400.0,0.0,BU,33800.0,50100.0,False,100.0,14:13:32
36900.0,100,-500.0,0.0,BU,33700.0,50100.0,False,0.0,14:13:02
36900.0,200,-500.0,0.0,BU,33600.0,50100.0,False,0.0,14:12:52
36900.0,500,-500.0,0.0,BU,33400.0,50100.0,False,0.0,14:12:48
36900.0,100,-500.0,0.0,BU,32900.0,50100.0,False,0.0,14:12:01
36900.0,1000,-500.0,0.0,BU,32800.0,50100.0,False,0.0,14:11:57
36900.0,200,-500.0,0.0,BU,31800.0,50100.0,False,0.0,14:11:55
36900.0,1000,-500.0,0.0,BU,31600.0,50100.0,False,100.0,14:08:24
36800.0,500,-600.0,0.0,SD,30600.0,50100.0,False,-100.0,14:07:26
36900.0,1000,-500.0,0.0,SD,30600.0,49600.0,False,0.0,14:06:52
36900.0,1400,-500.0,0.0,BU,30600.0,48600.0,False,-100.0,14:05:26
37000.0,200,-400.0,0.0,BU,29200.0,48600.0,False,0.0,14:03:52
37000.0,1100,-400.0,0.0,SD,29000.0,48600.0,False,0.0,14:03:44
37000.0,500,-400.0,0.0,SD,29000.0,47500.0,False,0.0,14:03:33
37000.0,1000,-400.0,0.0,SD,29000.0,47000.0,False,0.0,14:02:42
37000.0,4700,-400.0,0.0,SD,29000.0,46000.0,False,-100.0,14:02:14
37100.0,1000,-300.0,0.0,BU,29000.0,41300.0,False,100.0,14:01:23
37000.0,400,-400.0,0.0,SD,28000.0,41300.0,False,-100.0,14:00:33
37100.0,600,-300.0,0.0,BU,28000.0,40900.0,False,100.0,14:00:32
37000.0,300,-400.0,0.0,SD,27400.0,40900.0,False,0.0,14:00:03
37000.0,2000,-400.0,0.0,SD,27400.0,40600.0,False,0.0,13:59:36
37000.0,500,-400.0,0.0,SD,27400.0,38600.0,False,-100.0,13:58:48
37100.0,100,-300.0,0.0,BU,27400.0,38100.0,False,0.0,13:57:49
37100.0,900,-300.0,0.0,BU,27300.0,38100.0,False,0.0,13:57:29
37100.0,1000,-300.0,0.0,SD,26400.0,38100.0,False,0.0,13:57:05
37100.0,1000,-300.0,0.0,SD,26400.0,37100.0,False,0.0,13:56:51
37100.0,800,-300.0,0.0,SD,26400.0,36100.0,False,0.0,13:55:30
37100.0,500,-300.0,0.0,SD,26400.0,35300.0,False,0.0,13:55:01
37100.0,100,-300.0,0.0,SD,26400.0,34800.0,False,0.0,13:54:16
37100.0,1300,-300.0,0.0,SD,26400.0,34700.0,False,-100.0,13:54:14
37200.0,1300,-200.0,0.0,BU,26400.0,33400.0,False,-100.0,13:53:50
37300.0,100,-100.0,0.0,BU,25100.0,33400.0,False,0.0,13:52:52
37300.0,100,-100.0,0.0,BU,25000.0,33400.0,False,0.0,13:52:25
37300.0,100,-100.0,0.0,BU,24900.0,33400.0,False,-100.0,13:51:31
37400.0,1000,0.0,0.0,BU,24800.0,33400.0,False,0.0,13:49:43
37400.0,200,0.0,0.0,BU,23800.0,33400.0,False,200.0,13:49:28
37200.0,500,-200.0,0.0,SD,23600.0,33400.0,False,0.0,13:47:56
37200.0,500,-200.0,0.0,SD,23600.0,32900.0,False,0.0,13:45:19
37200.0,100,-200.0,0.0,SD,23600.0,32400.0,False,0.0,13:38:46
37200.0,3000,-200.0,0.0,SD,23600.0,32300.0,False,0.0,13:37:17
37200.0,800,-200.0,0.0,BU,23600.0,29300.0,False,0.0,13:30:59
37200.0,100,-200.0,0.0,BU,22800.0,29300.0,False,0.0,13:22:45
37200.0,100,-200.0,0.0,BU,22700.0,29300.0,False,100.0,13:22:07
37100.0,100,-300.0,0.0,SD,22600.0,29300.0,False,0.0,13:17:42
37100.0,400,-300.0,0.0,SD,22600.0,29200.0,False,0.0,13:16:56
37100.0,500,-300.0,0.0,SD,22600.0,28800.0,False,0.0,13:13:42
37100.0,500,-300.0,0.0,SD,22600.0,28300.0,False,0.0,13:13:21
37100.0,500,-300.0,0.0,SD,22600.0,27800.0,False,0.0,13:10:59
37100.0,800,-300.0,0.0,SD,22600.0,27300.0,False,0.0,13:09:17
37100.0,100,-300.0,0.0,SD,22600.0,26500.0,False,-100.0,13:05:54
37200.0,500,-200.0,0.0,BU,22600.0,26400.0,False,100.0,13:02:23
37100.0,300,-300.0,0.0,SD,22100.0,26400.0,False,-100.0,13:01:32
37200.0,100,-200.0,0.0,BU,22100.0,26100.0,False,0.0,13:01:26
37200.0,900,-200.0,0.0,BU,22000.0,26100.0,False,0.0,13:00:11
37200.0,200,-200.0,0.0,BU,21100.0,26100.0,False,0.0,13:00:09
37200.0,5900,-200.0,0.0,SD,20900.0,26100.0,True,-200.0,13:00:08
37400.0,1000,0.0,0.0,BU,20900.0,20200.0,False,100.0,11:19:37
37300.0,100,-100.0,0.0,BU,19900.0,20200.0,False,-100.0,11:19:33
37400.0,600,0.0,0.0,BU,19800.0,20200.0,False,-100.0,11:03:47
37500.0,100,100.0,0.0,BU,19200.0,20200.0,False,300.0,10:51:59
37200.0,100,-200.0,0.0,SD,19100.0,20200.0,False,-200.0,10:42:40
37400.0,100,0.0,0.0,BU,19100.0,20100.0,False,0.0,10:41:04
37400.0,200,0.0,0.0,SD,19000.0,20100.0,False,0.0,10:38:57
37400.0,700,0.0,0.0,BU,19000.0,19900.0,False,0.0,10:37:42
37400.0,400,0.0,0.0,SD,18300.0,19900.0,False,0.0,10:36:37
37400.0,100,0.0,0.0,SD,18300.0,19500.0,False,0.0,10:35:55
37400.0,200,0.0,0.0,SD,18300.0,19400.0,False,0.0,10:33:04
37400.0,1600,0.0,0.0,SD,18300.0,19200.0,False,0.0,10:29:34
37400.0,500,0.0,0.0,SD,18300.0,17600.0,False,-100.0,10:27:10
37500.0,500,100.0,0.0,BU,18300.0,17100.0,False,0.0,10:20:59
37500.0,1000,100.0,0.0,BU,17800.0,17100.0,False,0.0,10:19:23
37500.0,800,100.0,0.0,SD,16800.0,17100.0,False,0.0,10:14:04
37500.0,4400,100.0,0.0,SD,16800.0,16300.0,False,-200.0,10:07:37
37700.0,100,300.0,0.0,SD,16800.0,11900.0,False,0.0,10:04:23
37700.0,500,300.0,0.0,SD,16800.0,11800.0,False,0.0,10:02:40
37700.0,100,300.0,0.0,SD,16800.0,11300.0,False,0.0,10:01:18
37700.0,100,300.0,0.0,SD,16800.0,11200.0,False,0.0,10:01:01
37700.0,300,300.0,0.0,SD,16800.0,11100.0,False,0.0,09:58:21
37700.0,500,300.0,0.0,SD,16800.0,10800.0,False,0.0,09:54:47
37700.0,500,300.0,0.0,SD,16800.0,10300.0,False,0.0,09:48:48
37700.0,400,300.0,0.0,BU,16800.0,9800.0,False,0.0,09:48:11
37700.0,100,300.0,0.0,BU,16400.0,9800.0,False,-100.0,09:47:48
37800.0,200,400.0,0.0,BU,16300.0,9800.0,False,100.0,09:46:45
37700.0,200,300.0,0.0,BU,16100.0,9800.0,False,0.0,09:46:33
37700.0,500,300.0,0.0,BU,15900.0,9800.0,False,0.0,09:46:18
37700.0,3000,300.0,0.0,BU,15400.0,9800.0,False,100.0,09:46:05
37600.0,1000,200.0,0.0,SD,12400.0,9800.0,False,-100.0,09:45:47
37700.0,300,300.0,0.0,BU,12400.0,8800.0,False,100.0,09:45:09
37600.0,1000,200.0,0.0,SD,12100.0,8800.0,False,-100.0,09:44:34
37700.0,5000,300.0,0.0,BU,12100.0,7800.0,False,100.0,09:44:14
37600.0,100,200.0,0.0,SD,7100.0,7800.0,False,-100.0,09:44:07
37700.0,1400,300.0,0.0,SD,7100.0,7700.0,False,-100.0,09:41:17
37800.0,500,400.0,0.0,BU,7100.0,6300.0,False,0.0,09:38:29
37800.0,1000,400.0,0.0,SD,6600.0,6300.0,False,0.0,09:38:26
37800.0,500,400.0,0.0,SD,6600.0,5300.0,False,-200.0,09:38:08
38000.0,1000,600.0,0.0,BU,6600.0,4800.0,False,0.0,09:35:03
38000.0,5000,600.0,0.0,BU,5600.0,4800.0,False,100.0,09:34:32
37900.0,200,500.0,0.0,BU,600.0,4800.0,False,200.0,09:30:46
37700.0,1000,300.0,0.0,SD,400.0,4800.0,False,0.0,09:28:26
37700.0,2200,300.0,0.0,SD,400.0,3800.0,False,-200.0,09:27:33
37900.0,200,500.0,0.0,BU,400.0,1600.0,False,200.0,09:25:22
37700.0,200,300.0,0.0,SD,200.0,1600.0,False,0.0,09:23:54
37700.0,1400,300.0,0.0,SD,200.0,1400.0,False,0.0,09:23:08
37700.0,100,300.0,0.0,BU,200.0,0.0,False,100.0,09:22:25
37600.0,100,200.0,0.0,BU,100.0,0.0,False,0.0,09:06:18
