p,v,cp,rcp,a,ba,sa,hl,pcp,t
32100.0,8000,-250.0,0.0,,77700.0,93500.0,False,50.0,14:45:00
32050.0,2000,-300.0,0.0,SD,77700.0,93500.0,False,0.0,14:23:57
32050.0,3500,-300.0,0.0,SD,77700.0,91500.0,False,-50.0,14:19:04
32100.0,3000,-250.0,0.0,BU,77700.0,88000.0,False,0.0,14:15:06
32100.0,100,-250.0,0.0,BU,74700.0,88000.0,False,50.0,14:13:17
32100.0,1700,-250.0,0.0,BU,74000.0,87300.0,False,0.0,14:03:22
32100.0,1100,-250.0,0.0,BU,69300.0,87300.0,False,0.0,13:55:19
32100.0,1000,-250.0,0.0,BU,65400.0,87300.0,False,50.0,13:48:31
32050.0,300,-300.0,0.0,SD,64400.0,87300.0,False,-50.0,13:47:59
32100.0,3000,-250.0,0.0,BU,64400.0,87000.0,False,0.0,13:38:58
32100.0,5000,-250.0,0.0,BU,61400.0,87000.0,False,0.0,13:38:50
32100.0,1800,-250.0,0.0,SD,56400.0,87000.0,False,0.0,13:34:56
32100.0,1000,-250.0,0.0,SD,56400.0,85200.0,False,0.0,13:34:20
32100.0,300,-250.0,0.0,BU,56400.0,84200.0,False,0.0,13:30:58
32100.0,1500,-250.0,0.0,BU,56100.0,84200.0,False,0.0,13:30:58
32100.0,400,-250.0,0.0,BU,54600.0,84200.0,False,0.0,13:30:58
32100.0,1500,-250.0,0.0,SD,54200.0,84200.0,False,0.0,13:17:23
32100.0,100,-250.0,0.0,SD,54200.0,82700.0,False,0.0,13:17:23
32100.0,3000,-250.0,0.0,SD,54200.0,82600.0,False,0.0,13:17:07
32100.0,5000,-250.0,0.0,SD,54200.0,79600.0,False,0.0,13:16:58
32100.0,500,-250.0,0.0,SD,54200.0,74600.0,False,0.0,13:16:44
32100.0,1600,-250.0,0.0,SD,54200.0,74100.0,False,0.0,13:16:44
32100.0,2500,-250.0,0.0,SD,54200.0,72500.0,False,0.0,13:10:33
32100.0,5000,-250.0,0.0,SD,54200.0,70000.0,False,0.0,13:10:09
32100.0,900,-250.0,0.0,SD,54200.0,65000.0,False,0.0,13:09:26
32100.0,1600,-250.0,0.0,SD,54200.0,64100.0,False,0.0,13:09:26
32100.0,2500,-250.0,0.0,SD,54200.0,62500.0,False,0.0,13:09:05
32100.0,5000,-250.0,0.0,SD,54200.0,60000.0,False,-100.0,13:08:53
32200.0,500,-150.0,0.0,BU,54200.0,55000.0,False,50.0,11:07:08
32150.0,2000,-200.0,0.0,BU,53700.0,55000.0,False,0.0,11:07:08
32150.0,2200,-200.0,0.0,BU,51700.0,55000.0,False,0.0,11:06:11
32150.0,1800,-200.0,0.0,BU,49500.0,55000.0,False,50.0,11:04:38
32100.0,900,-250.0,0.0,SD,47700.0,55000.0,False,-50.0,11:04:14
32150.0,1500,-200.0,0.0,BU,47700.0,54100.0,False,0.0,11:04:07
32150.0,800,-200.0,0.0,BU,46200.0,54100.0,False,50.0,11:03:04
32100.0,400,-250.0,0.0,BU,45400.0,54100.0,False,0.0,11:03:04
32100.0,100,-250.0,0.0,BU,45000.0,54100.0,False,0.0,11:03:04
32100.0,1100,-250.0,0.0,BU,44900.0,54100.0,False,0.0,11:03:04
32100.0,1000,-250.0,0.0,BU,43800.0,54100.0,False,0.0,11:02:44
32100.0,2100,-250.0,0.0,BU,42800.0,54100.0,False,0.0,11:01:09
32100.0,1800,-250.0,0.0,BU,40700.0,54100.0,False,0.0,11:00:04
32100.0,2200,-250.0,0.0,BU,38900.0,54100.0,False,0.0,10:59:17
32100.0,800,-250.0,0.0,BU,36700.0,54100.0,False,0.0,10:58:32
32100.0,2200,-250.0,0.0,BU,35900.0,54100.0,False,50.0,10:58:32
