p,v,cp,rcp,a,ba,sa,hl,pcp,t
82000.0,32800,-500.0,0.0,,122300.0,181400.0,False,-700.0,14:45:00
82700.0,300,200.0,0.0,SD,122300.0,181400.0,False,100.0,14:29:27
82600.0,100,100.0,0.0,SD,122300.0,181100.0,False,0.0,14:29:06
82600.0,200,100.0,0.0,SD,122300.0,181000.0,False,-100.0,14:28:46
82700.0,500,200.0,0.0,BU,122300.0,180800.0,False,0.0,14:28:34
82700.0,1000,200.0,0.0,BU,121800.0,180800.0,False,0.0,14:28:15
82700.0,800,200.0,0.0,BU,120800.0,180800.0,False,100.0,14:27:59
82600.0,1000,100.0,0.0,SD,120000.0,180800.0,False,100.0,14:27:57
82500.0,200,0.0,0.0,BU,120000.0,179800.0,False,0.0,14:27:30
82500.0,500,0.0,0.0,BU,119800.0,179800.0,False,400.0,14:27:06
82100.0,1000,-400.0,0.0,BU,119300.0,179800.0,False,100.0,14:26:58
82000.0,2100,-500.0,0.0,SD,118300.0,179800.0,False,-100.0,14:26:58
82100.0,100,-400.0,0.0,BU,118300.0,177700.0,False,0.0,14:26:58
82100.0,200,-400.0,0.0,BU,118200.0,177700.0,False,-100.0,14:26:58
82200.0,200,-300.0,0.0,BU,118000.0,177700.0,False,100.0,14:26:58
82100.0,100,-400.0,0.0,BU,117800.0,177700.0,False,-100.0,14:26:58
82200.0,200,-300.0,0.0,BU,117700.0,177700.0,False,0.0,14:26:58
82200.0,200,-300.0,0.0,BU,117500.0,177700.0,False,-200.0,14:26:58
82400.0,100,-100.0,0.0,BU,117300.0,177700.0,False,0.0,14:26:58
82400.0,300,-100.0,0.0,BU,117200.0,177700.0,False,-100.0,14:26:58
82500.0,100,0.0,0.0,SD,116900.0,177700.0,False,0.0,14:26:48
82500.0,200,0.0,0.0,SD,116900.0,177600.0,False,-100.0,14:26:31
82600.0,3500,100.0,0.0,BU,116900.0,177400.0,True,0.0,14:26:00
82600.0,200,100.0,0.0,BU,113400.0,177400.0,False,0.0,14:25:58
82600.0,100,100.0,0.0,BU,113200.0,177400.0,False,0.0,14:25:38
82600.0,200,100.0,0.0,BU,113100.0,177400.0,False,0.0,14:25:32
82600.0,2000,100.0,0.0,SD,112900.0,177400.0,False,0.0,14:25:31
82600.0,100,100.0,0.0,BU,112900.0,175400.0,False,0.0,14:24:59
82600.0,100,100.0,0.0,SD,112800.0,175400.0,False,100.0,14:24:36
82500.0,100,0.0,0.0,SD,112800.0,175300.0,False,0.0,14:24:16
82500.0,100,0.0,0.0,SD,112800.0,175200.0,False,0.0,14:24:16
82500.0,800,0.0,0.0,SD,112800.0,175100.0,False,0.0,14:24:16
82500.0,200,0.0,0.0,SD,112800.0,174300.0,False,0.0,14:24:11
82500.0,300,0.0,0.0,SD,112800.0,174100.0,False,0.0,14:24:11
82500.0,700,0.0,0.0,SD,112800.0,173800.0,False,0.0,14:24:07
82500.0,300,0.0,0.0,SD,112800.0,173100.0,False,0.0,14:24:07
82500.0,100,0.0,0.0,SD,112800.0,172800.0,False,-200.0,14:24:07
82700.0,100,200.0,0.0,SD,112800.0,172700.0,False,0.0,14:23:49
82700.0,100,200.0,0.0,SD,112800.0,172600.0,False,0.0,14:23:24
82700.0,500,200.0,0.0,SD,112800.0,172500.0,False,-100.0,14:23:24
82800.0,500,300.0,0.0,SD,112800.0,172000.0,False,-200.0,14:22:57
83000.0,800,500.0,0.0,BU,112800.0,171500.0,False,0.0,14:22:56
83000.0,100,500.0,0.0,SD,112000.0,171500.0,False,0.0,14:21:19
83000.0,500,500.0,0.0,SD,112000.0,171400.0,False,0.0,14:21:19
83000.0,100,500.0,0.0,SD,112000.0,170900.0,False,0.0,14:21:19
83000.0,100,500.0,0.0,SD,112000.0,170800.0,False,0.0,14:21:19
83000.0,400,500.0,0.0,SD,112000.0,170700.0,False,0.0,14:21:19
83000.0,100,500.0,0.0,SD,112000.0,170300.0,False,0.0,14:21:14
83000.0,100,500.0,0.0,SD,112000.0,170200.0,False,-100.0,14:21:14
83100.0,500,600.0,0.0,SD,112000.0,170100.0,False,0.0,14:21:14
83100.0,300,600.0,0.0,SD,112000.0,169600.0,False,0.0,14:21:14
83100.0,200,600.0,0.0,SD,112000.0,169300.0,False,0.0,14:21:01
83100.0,100,600.0,0.0,SD,112000.0,169100.0,False,0.0,14:21:01
83100.0,300,600.0,0.0,SD,112000.0,169000.0,False,0.0,14:21:01
83100.0,200,600.0,0.0,SD,112000.0,168700.0,False,0.0,14:21:01
83100.0,100,600.0,0.0,SD,112000.0,168500.0,False,-100.0,14:21:01
83200.0,200,700.0,0.0,SD,112000.0,168400.0,False,0.0,14:20:22
83200.0,200,700.0,0.0,SD,112000.0,168200.0,False,0.0,14:20:05
83200.0,1100,700.0,0.0,SD,112000.0,168000.0,False,0.0,14:20:00
83200.0,100,700.0,0.0,SD,112000.0,166900.0,False,0.0,14:19:47
83200.0,500,700.0,0.0,SD,112000.0,166800.0,False,-100.0,14:19:32
83300.0,100,800.0,0.0,SD,112000.0,166300.0,False,0.0,14:19:29
83300.0,100,800.0,0.0,SD,112000.0,166200.0,False,100.0,14:19:26
83200.0,1100,700.0,0.0,SD,112000.0,166100.0,False,0.0,14:18:16
83200.0,400,700.0,0.0,SD,112000.0,165000.0,False,0.0,14:18:06
83200.0,200,700.0,0.0,SD,112000.0,164600.0,False,-200.0,14:18:02
83400.0,700,900.0,0.0,BU,112000.0,164400.0,False,0.0,14:17:52
83400.0,100,900.0,0.0,BU,111300.0,164400.0,False,200.0,14:17:52
