p,v,cp,rcp,a,ba,sa,hl,pcp,t
29450.0,2000,0.0,0.0,,22800.0,23600.0,False,250.0,14:45:01
29200.0,800,-250.0,0.0,BU,22800.0,23600.0,False,400.0,14:27:44
28800.0,100,-650.0,0.0,BU,22000.0,23600.0,False,50.0,14:26:43
28750.0,700,-700.0,0.0,SD,21900.0,23600.0,False,-50.0,14:26:17
28800.0,100,-650.0,0.0,BU,21900.0,22900.0,False,0.0,14:25:59
28800.0,100,-650.0,0.0,BU,21800.0,22900.0,False,0.0,14:25:28
28800.0,100,-650.0,0.0,SD,21700.0,22900.0,False,50.0,14:24:09
28750.0,300,-700.0,0.0,SD,21700.0,22800.0,False,0.0,14:21:21
28750.0,100,-700.0,0.0,SD,21700.0,22500.0,False,0.0,14:20:42
28750.0,100,-700.0,0.0,SD,21700.0,22400.0,False,-450.0,14:20:42
29200.0,200,-250.0,0.0,BU,21700.0,22300.0,False,300.0,14:19:41
28900.0,100,-550.0,0.0,BU,21500.0,22300.0,False,0.0,14:19:27
28900.0,400,-550.0,0.0,BU,21400.0,22300.0,False,0.0,14:19:27
28900.0,100,-550.0,0.0,BU,21000.0,22300.0,False,100.0,14:18:52
28800.0,600,-650.0,0.0,SD,20900.0,22300.0,False,0.0,14:18:38
28800.0,100,-650.0,0.0,SD,20900.0,21700.0,False,0.0,14:18:38
28800.0,100,-650.0,0.0,SD,20900.0,21600.0,False,0.0,14:18:38
28800.0,100,-650.0,0.0,SD,20900.0,21500.0,False,0.0,14:18:38
28800.0,200,-650.0,0.0,SD,20900.0,21400.0,False,0.0,14:18:38
28800.0,100,-650.0,0.0,SD,20900.0,21200.0,False,0.0,14:18:38
28800.0,300,-650.0,0.0,SD,20900.0,21100.0,False,0.0,14:18:38
28800.0,500,-650.0,0.0,SD,20900.0,20800.0,False,0.0,14:18:38
28800.0,500,-650.0,0.0,SD,20900.0,20300.0,False,-100.0,14:17:48
28900.0,100,-550.0,0.0,BU,20900.0,19800.0,False,0.0,14:17:32
28900.0,100,-550.0,0.0,BU,20800.0,19800.0,False,0.0,14:17:06
28900.0,100,-550.0,0.0,SD,20700.0,19800.0,False,0.0,14:16:09
28900.0,100,-550.0,0.0,SD,20700.0,19700.0,False,0.0,14:16:09
28900.0,100,-550.0,0.0,SD,20700.0,19600.0,False,-100.0,14:16:09
29150.0,100,-300.0,0.0,BU,16000.0,14500.0,False,0.0,14:02:19
29150.0,400,-300.0,0.0,BU,15900.0,14500.0,False,50.0,14:02:06
29450.0,100,0.0,0.0,BU,15500.0,9900.0,False,250.0,13:48:25
29200.0,100,-250.0,0.0,BU,15400.0,9900.0,False,0.0,13:46:32
29200.0,500,-250.0,0.0,BU,15300.0,9900.0,False,0.0,13:46:32
29200.0,200,-250.0,0.0,BU,14800.0,9900.0,False,0.0,13:46:32
29200.0,200,-250.0,0.0,BU,14600.0,9900.0,False,-250.0,13:46:32
29450.0,300,0.0,0.0,BU,14400.0,9900.0,False,0.0,13:44:21
29450.0,400,0.0,0.0,BU,14100.0,9900.0,False,250.0,13:40:24
29200.0,700,-250.0,0.0,SD,13700.0,9900.0,False,0.0,13:38:43
29200.0,300,-250.0,0.0,SD,13700.0,9200.0,False,0.0,13:37:53
29200.0,1000,-250.0,0.0,SD,13700.0,8900.0,False,0.0,13:37:53
29200.0,100,-250.0,0.0,SD,13700.0,7900.0,False,0.0,13:37:53
29200.0,100,-250.0,0.0,SD,13700.0,7800.0,False,-50.0,13:32:07
29250.0,900,-200.0,0.0,BU,13700.0,7700.0,False,0.0,13:24:04
29250.0,100,-200.0,0.0,BU,12800.0,7700.0,False,0.0,13:24:04
29250.0,500,-200.0,0.0,BU,12700.0,7700.0,False,50.0,13:17:11
29200.0,800,-250.0,0.0,SD,12200.0,7700.0,False,-50.0,13:11:57
29250.0,1000,-200.0,0.0,BU,12200.0,6900.0,False,50.0,13:10:54
29200.0,1000,-250.0,0.0,BU,11200.0,6900.0,False,0.0,13:00:07
29200.0,100,-250.0,0.0,SD,10200.0,6900.0,False,0.0,11:25:53
29200.0,200,-250.0,0.0,SD,10200.0,6800.0,False,0.0,11:25:53
29200.0,100,-250.0,0.0,SD,10200.0,6600.0,False,-50.0,11:21:37
29250.0,200,-200.0,0.0,BU,10200.0,6500.0,False,0.0,11:18:24
29250.0,1100,-200.0,0.0,BU,10000.0,6500.0,False,0.0,11:17:20
29250.0,100,-200.0,0.0,BU,8900.0,6500.0,False,50.0,11:14:41
29200.0,500,-250.0,0.0,SD,8800.0,6500.0,False,-50.0,11:14:30
29250.0,200,-200.0,0.0,BU,8800.0,6000.0,False,0.0,10:56:59
29250.0,200,-200.0,0.0,BU,8600.0,6000.0,False,50.0,10:56:09
29200.0,1200,-250.0,0.0,BU,8400.0,6000.0,False,100.0,10:54:42
29100.0,500,-350.0,0.0,SD,7200.0,6000.0,False,0.0,10:50:28
29100.0,500,-350.0,0.0,SD,7200.0,5500.0,False,0.0,10:50:28
29100.0,300,-350.0,0.0,SD,7200.0,5000.0,False,0.0,10:50:28
29100.0,100,-350.0,0.0,SD,7200.0,4700.0,False,0.0,10:50:28
29100.0,100,-350.0,0.0,SD,7200.0,4600.0,False,-100.0,10:50:28
29200.0,400,-250.0,0.0,BU,7200.0,4500.0,False,0.0,10:42:56
29200.0,400,-250.0,0.0,SD,6800.0,4500.0,False,0.0,10:42:56
29200.0,700,-250.0,0.0,SD,6800.0,4100.0,False,0.0,10:41:19
29200.0,100,-250.0,0.0,SD,6800.0,3400.0,False,0.0,10:39:44
29200.0,100,-250.0,0.0,SD,6800.0,3300.0,False,0.0,10:39:44
29200.0,200,-250.0,0.0,BU,6800.0,3200.0,False,0.0,10:33:01
29200.0,100,-250.0,0.0,BU,6600.0,3200.0,False,0.0,10:33:00
