p,v,cp,rcp,a,ba,sa,hl,pcp,t
23500.0,1100,150.0,0.0,,61200.0,16600.0,False,450.0,14:45:00
23050.0,2000,-300.0,0.0,BU,61200.0,16600.0,False,50.0,14:21:05
23000.0,400,-350.0,0.0,SD,59200.0,16600.0,False,0.0,14:21:05
23000.0,100,-350.0,0.0,SD,59200.0,16200.0,False,-50.0,14:21:05
23050.0,1000,-300.0,0.0,BU,59200.0,16100.0,False,0.0,14:21:05
23050.0,200,-300.0,0.0,BU,58200.0,16100.0,False,0.0,14:21:05
23050.0,300,-300.0,0.0,BU,58000.0,16100.0,False,0.0,14:21:05
23050.0,900,-300.0,0.0,SD,57700.0,16100.0,False,-50.0,14:19:18
23100.0,200,-250.0,0.0,BU,57700.0,15200.0,False,0.0,14:19:18
23100.0,400,-250.0,0.0,BU,57500.0,15200.0,False,0.0,14:12:46
23100.0,1000,-250.0,0.0,BU,57100.0,15200.0,False,0.0,14:12:21
23100.0,1000,-250.0,0.0,BU,56100.0,15200.0,False,0.0,14:07:37
23100.0,200,-250.0,0.0,SD,55100.0,15200.0,False,0.0,14:03:16
23100.0,2400,-250.0,0.0,SD,55100.0,15000.0,False,0.0,14:03:16
23100.0,500,-250.0,0.0,SD,55100.0,12600.0,False,0.0,14:02:33
23100.0,100,-250.0,0.0,SD,55100.0,12100.0,False,0.0,13:44:54
23100.0,300,-250.0,0.0,SD,55100.0,12000.0,False,50.0,13:44:54
23050.0,1800,-300.0,0.0,SD,55100.0,11700.0,False,0.0,11:18:25
23050.0,100,-300.0,0.0,SD,55100.0,9900.0,False,0.0,11:18:25
23050.0,500,-300.0,0.0,SD,55100.0,9800.0,False,0.0,11:18:25
23050.0,100,-300.0,0.0,SD,55100.0,9300.0,False,0.0,11:18:25
23050.0,1900,-300.0,0.0,BU,55100.0,9200.0,False,0.0,11:11:47
23050.0,2500,-300.0,0.0,BU,53200.0,9200.0,False,-250.0,11:11:19
23300.0,500,-50.0,0.0,BU,50700.0,9200.0,False,-50.0,10:59:48
23350.0,800,0.0,0.0,BU,50200.0,9200.0,False,0.0,10:35:07
23350.0,3500,0.0,0.0,SD,49400.0,9200.0,False,-50.0,10:31:21
23400.0,900,50.0,0.0,SD,49400.0,5700.0,False,50.0,10:18:29
23350.0,700,0.0,0.0,SD,49400.0,4800.0,False,0.0,10:18:29
23350.0,500,0.0,0.0,SD,49400.0,4100.0,False,0.0,10:18:29
23350.0,1200,0.0,0.0,SD,49400.0,3600.0,False,-100.0,10:18:29
23450.0,100,100.0,0.0,BU,49400.0,2400.0,False,0.0,10:18:20
23450.0,200,100.0,0.0,BU,49300.0,2400.0,False,50.0,10:02:59
23400.0,1000,50.0,0.0,SD,49100.0,2400.0,False,0.0,09:57:44
23400.0,2400,50.0,0.0,BU,49100.0,1400.0,False,0.0,09:54:05
23400.0,700,50.0,0.0,BU,46700.0,1400.0,False,0.0,09:54:05
23400.0,1000,50.0,0.0,BU,46000.0,1400.0,False,0.0,09:53:44
23400.0,300,50.0,0.0,BU,45000.0,1400.0,False,0.0,09:46:53
23400.0,200,50.0,0.0,SD,44700.0,1400.0,False,50.0,09:42:19
23350.0,500,0.0,0.0,SD,44700.0,1200.0,False,-300.0,09:40:31
23650.0,1000,300.0,0.0,BU,44700.0,700.0,False,0.0,09:24:33
23650.0,200,300.0,0.0,BU,43700.0,700.0,False,50.0,09:24:33
23600.0,3500,250.0,0.0,BU,43500.0,700.0,False,50.0,09:24:33
23550.0,300,200.0,0.0,BU,40000.0,700.0,False,0.0,09:24:33
23550.0,700,200.0,0.0,SD,39700.0,700.0,False,0.0,09:23:53
23550.0,400,200.0,0.0,BU,39700.0,0.0,False,50.0,09:23:05
23500.0,1300,150.0,0.0,BU,39300.0,0.0,False,50.0,09:23:05
23450.0,2000,100.0,0.0,BU,38000.0,0.0,False,-50.0,09:23:05
23500.0,2000,150.0,0.0,BU,36000.0,0.0,False,-150.0,09:21:58
23650.0,3000,300.0,0.0,BU,34000.0,0.0,False,0.0,09:20:58
23650.0,2300,300.0,0.0,BU,31000.0,0.0,False,50.0,09:20:48
23600.0,500,250.0,0.0,BU,28700.0,0.0,False,0.0,09:20:48
23600.0,200,250.0,0.0,BU,28200.0,0.0,False,0.0,09:20:48
23600.0,1800,250.0,0.0,BU,28000.0,0.0,False,0.0,09:20:40
23600.0,1200,250.0,0.0,BU,26200.0,0.0,False,0.0,09:20:40
23600.0,3000,250.0,0.0,BU,25000.0,0.0,False,0.0,09:19:59
23600.0,2000,250.0,0.0,BU,22000.0,0.0,False,0.0,09:19:32
23600.0,800,250.0,0.0,BU,20000.0,0.0,False,0.0,09:19:24
23600.0,100,250.0,0.0,BU,19200.0,0.0,False,0.0,09:19:24
23600.0,300,250.0,0.0,BU,19100.0,0.0,False,50.0,09:19:24
23550.0,1800,200.0,0.0,BU,18800.0,0.0,False,0.0,09:19:24
23550.0,2000,200.0,0.0,BU,17000.0,0.0,False,0.0,09:19:24
23550.0,4000,200.0,0.0,BU,15000.0,0.0,False,0.0,09:19:17
23550.0,900,200.0,0.0,BU,11000.0,0.0,False,50.0,09:19:10
23500.0,2600,150.0,0.0,BU,10100.0,0.0,False,0.0,09:19:10
23500.0,4000,150.0,0.0,BU,7500.0,0.0,False,0.0,09:19:03
23500.0,3500,150.0,0.0,BU,3500.0,0.0,False,150.0,09:18:57
23350.0,300,0.0,0.0,,0.0,0.0,False,0.0,09:15:00
