p,v,cp,rcp,a,ba,sa,hl,pcp,t
45000.0,44200,-450.0,0.0,,522400.0,611900.0,False,0.0,14:45:00
45000.0,1400,-450.0,0.0,BU,522400.0,611900.0,False,0.0,14:29:59
45000.0,1100,-450.0,0.0,BU,521000.0,611900.0,False,0.0,14:29:56
45000.0,200,-450.0,0.0,BU,519900.0,611900.0,False,50.0,14:29:52
44950.0,300,-500.0,0.0,BU,519700.0,611900.0,False,0.0,14:29:52
44950.0,800,-500.0,0.0,SD,519400.0,611900.0,False,0.0,14:29:47
44950.0,500,-500.0,0.0,SD,519400.0,611100.0,False,0.0,14:29:47
44950.0,400,-500.0,0.0,SD,519400.0,610600.0,False,-50.0,14:29:47
45000.0,200,-450.0,0.0,SD,519400.0,610200.0,False,0.0,14:29:38
45000.0,3500,-450.0,0.0,BU,519400.0,610000.0,False,0.0,14:29:38
45000.0,600,-450.0,0.0,BU,515900.0,610000.0,False,0.0,14:29:38
45000.0,100,-450.0,0.0,BU,515300.0,610000.0,False,0.0,14:29:33
45000.0,500,-450.0,0.0,BU,515200.0,610000.0,False,0.0,14:29:31
45000.0,100,-450.0,0.0,BU,514700.0,610000.0,False,0.0,14:29:31
45000.0,300,-450.0,0.0,BU,514600.0,610000.0,False,0.0,14:29:31
45000.0,400,-450.0,0.0,BU,514300.0,610000.0,False,0.0,14:29:31
45000.0,100,-450.0,0.0,SD,513900.0,610000.0,False,0.0,14:29:29
45000.0,1000,-450.0,0.0,SD,513900.0,609900.0,False,0.0,14:29:29
45000.0,1000,-450.0,0.0,SD,513900.0,608900.0,False,0.0,14:29:29
45000.0,500,-450.0,0.0,SD,513900.0,607900.0,False,0.0,14:29:29
45000.0,300,-450.0,0.0,SD,513900.0,607400.0,False,0.0,14:29:29
45000.0,1000,-450.0,0.0,SD,513900.0,607100.0,False,0.0,14:29:29
45000.0,100,-450.0,0.0,SD,513900.0,606100.0,False,0.0,14:29:29
45000.0,1000,-450.0,0.0,SD,513900.0,606000.0,False,0.0,14:29:29
45000.0,500,-450.0,0.0,SD,513900.0,605000.0,False,0.0,14:29:20
45000.0,2000,-450.0,0.0,BU,513900.0,604500.0,False,0.0,14:28:47
45000.0,1500,-450.0,0.0,BU,511900.0,604500.0,False,0.0,14:28:47
45000.0,100,-450.0,0.0,BU,510400.0,604500.0,False,0.0,14:28:46
45000.0,700,-450.0,0.0,BU,510300.0,604500.0,False,0.0,14:28:44
45000.0,500,-450.0,0.0,SD,509600.0,604500.0,False,0.0,14:28:40
45000.0,200,-450.0,0.0,SD,509600.0,604000.0,False,0.0,14:28:40
45000.0,1000,-450.0,0.0,SD,509600.0,603800.0,False,0.0,14:28:40
45000.0,2000,-450.0,0.0,SD,509600.0,602800.0,False,0.0,14:28:40
45000.0,1000,-450.0,0.0,SD,509600.0,600800.0,False,0.0,14:28:40
45000.0,100,-450.0,0.0,SD,509600.0,599800.0,False,0.0,14:28:40
45000.0,1000,-450.0,0.0,SD,509600.0,599700.0,False,0.0,14:28:40
