p,v,cp,rcp,a,ba,sa,hl,pcp,t
4700.0,100,100.0,0.0,BU,40400.0,71900.0,False,0.0,15:00:01
4700.0,1600,100.0,0.0,BU,40300.0,71900.0,False,100.0,14:46:37
4600.0,1000,0.0,0.0,BU,38700.0,71900.0,False,0.0,14:46:07
4600.0,500,0.0,0.0,BU,37700.0,71900.0,False,0.0,14:43:34
4600.0,500,0.0,0.0,BU,37200.0,71900.0,False,0.0,14:26:33
4600.0,1000,0.0,0.0,BU,36700.0,71900.0,False,0.0,14:23:11
4600.0,2000,0.0,0.0,BU,35700.0,71900.0,False,0.0,14:23:09
4600.0,400,0.0,0.0,SD,33700.0,71900.0,False,0.0,14:19:50
4600.0,1000,0.0,0.0,SD,33700.0,71500.0,False,0.0,14:18:35
4600.0,1500,0.0,0.0,SD,33700.0,70500.0,False,0.0,14:15:47
4600.0,1000,0.0,0.0,SD,33700.0,69000.0,False,0.0,14:11:03
4600.0,7900,0.0,0.0,SD,29600.0,67800.0,False,0.0,13:45:03
4600.0,800,0.0,0.0,SD,29600.0,59900.0,False,0.0,13:38:59
4600.0,100,0.0,0.0,SD,29600.0,59100.0,False,-100.0,13:37:48
4700.0,100,100.0,0.0,BU,29600.0,59000.0,False,100.0,13:23:43
4600.0,400,0.0,0.0,SD,29500.0,59000.0,False,-100.0,13:18:33
4700.0,100,100.0,0.0,BU,29500.0,58600.0,False,100.0,13:17:02
4600.0,2200,0.0,0.0,SD,29400.0,58600.0,False,-100.0,13:13:37
4700.0,10700,100.0,0.0,BU,29400.0,56400.0,False,100.0,11:28:29
4600.0,300,0.0,0.0,BU,18700.0,56400.0,False,0.0,11:24:01
4600.0,9100,0.0,0.0,SD,18400.0,56400.0,False,-100.0,11:21:11
4700.0,100,100.0,0.0,BU,18400.0,47300.0,False,100.0,11:16:24
4600.0,4500,0.0,0.0,SD,18300.0,47300.0,False,-100.0,11:10:39
4700.0,100,100.0,0.0,BU,18300.0,42800.0,False,100.0,11:08:46
4600.0,200,0.0,0.0,SD,18200.0,42800.0,False,0.0,11:08:38
4600.0,100,0.0,0.0,SD,18200.0,42600.0,False,0.0,11:08:23
4600.0,100,0.0,0.0,SD,18200.0,42500.0,False,0.0,10:50:42
4600.0,1500,0.0,0.0,SD,18200.0,42400.0,False,0.0,10:50:23
4600.0,100,0.0,0.0,SD,18200.0,40900.0,False,-100.0,10:49:33
4700.0,100,100.0,0.0,BU,18200.0,40800.0,False,100.0,10:32:39
4600.0,8000,0.0,0.0,SD,18100.0,40800.0,False,-100.0,10:31:38
4700.0,900,100.0,0.0,BU,18100.0,32800.0,False,0.0,10:31:21
4700.0,100,100.0,0.0,BU,17200.0,32800.0,False,100.0,10:25:14
4600.0,100,0.0,0.0,SD,17100.0,32800.0,False,-100.0,10:24:59
4700.0,500,100.0,0.0,BU,17100.0,32700.0,False,0.0,10:21:16
4700.0,3000,100.0,0.0,BU,16600.0,32700.0,False,0.0,10:09:51
4700.0,5100,100.0,0.0,BU,13600.0,32700.0,False,100.0,10:04:28
4600.0,600,0.0,0.0,BU,8500.0,32700.0,False,0.0,10:03:12
4600.0,6000,0.0,0.0,SD,7900.0,32700.0,False,-100.0,10:01:37
4700.0,100,100.0,0.0,BU,7900.0,26700.0,False,100.0,09:55:20
4600.0,6000,0.0,0.0,SD,7800.0,26700.0,False,-100.0,09:54:21
4700.0,100,100.0,0.0,BU,7800.0,20700.0,False,100.0,09:52:24
4600.0,5000,0.0,0.0,SD,7700.0,20700.0,False,-100.0,09:49:55
4700.0,100,100.0,0.0,BU,7700.0,15700.0,False,100.0,09:38:44
4600.0,400,0.0,0.0,SD,7600.0,15700.0,False,0.0,09:36:03
4600.0,15000,0.0,0.0,SD,7600.0,15300.0,False,-100.0,09:34:36
4700.0,100,100.0,0.0,BU,7600.0,300.0,False,100.0,09:16:57
4600.0,300,0.0,0.0,SD,7500.0,300.0,False,0.0,09:03:56
4600.0,500,0.0,0.0,BU,7500.0,0.0,False,0.0,09:01:10
4600.0,6000,0.0,0.0,BU,7000.0,0.0,False,0.0,09:01:01
4600.0,1000,0.0,0.0,BU,1000.0,0.0,False,0.0,09:00:12
