p,v,cp,rcp,a,ba,sa,hl,pcp,t
11100.0,239000,-300.0,0.0,,1701300.0,4088700.0,False,-150.0,14:45:00
11250.0,400,-150.0,0.0,BU,1701300.0,4088700.0,False,0.0,14:29:58
11250.0,1000,-150.0,0.0,BU,1700900.0,4088700.0,False,50.0,14:29:51
11200.0,200,-200.0,0.0,BU,1699900.0,4088700.0,False,0.0,14:29:41
11200.0,1000,-200.0,0.0,BU,1699700.0,4088700.0,False,0.0,14:29:41
11200.0,300,-200.0,0.0,BU,1698700.0,4088700.0,False,0.0,14:29:41
11200.0,1200,-200.0,0.0,BU,1698400.0,4088700.0,False,0.0,14:29:41
11200.0,100,-200.0,0.0,BU,1697200.0,4088700.0,False,0.0,14:29:40
11200.0,3600,-200.0,0.0,BU,1697100.0,4088700.0,False,0.0,14:29:40
11200.0,300,-200.0,0.0,BU,1693500.0,4088700.0,False,0.0,14:29:39
11200.0,1000,-200.0,0.0,BU,1693200.0,4088700.0,False,0.0,14:29:39
11200.0,200,-200.0,0.0,BU,1692200.0,4088700.0,False,0.0,14:29:33
11200.0,1000,-200.0,0.0,BU,1692000.0,4088700.0,False,0.0,14:29:33
11200.0,300,-200.0,0.0,BU,1691000.0,4088700.0,False,50.0,14:29:31
11150.0,1800,-250.0,0.0,SD,1690700.0,4088700.0,False,-50.0,14:29:26
11200.0,500,-200.0,0.0,BU,1690700.0,4086900.0,False,50.0,14:29:19
11150.0,9000,-250.0,0.0,SD,1690200.0,4086900.0,False,-50.0,14:29:18
11200.0,100,-200.0,0.0,BU,1690200.0,4077900.0,False,0.0,14:29:17
11200.0,300,-200.0,0.0,BU,1690100.0,4077900.0,False,0.0,14:29:03
11200.0,500,-200.0,0.0,BU,1689800.0,4077900.0,False,50.0,14:28:58
11150.0,8600,-250.0,0.0,SD,1689300.0,4077900.0,False,0.0,14:28:57
11150.0,100,-250.0,0.0,SD,1689300.0,4069300.0,False,0.0,14:28:57
