p,v,cp,rcp,a,ba,sa,hl,pcp,t
6800.0,83000,40.0,0.0,,2329300.0,1590600.0,False,0.0,14:45:00
6800.0,4400,40.0,0.0,BU,2329300.0,1590600.0,False,-130.0,14:29:36
6930.0,100,170.0,0.0,BU,2324900.0,1590600.0,False,130.0,14:29:36
6800.0,100,40.0,0.0,BU,2324800.0,1590600.0,False,0.0,14:29:36
6800.0,1800,40.0,0.0,BU,2324700.0,1590600.0,False,-10.0,14:29:30
6810.0,500,50.0,0.0,SD,2322900.0,1590600.0,False,0.0,14:29:30
6810.0,7300,50.0,0.0,SD,2322900.0,1590100.0,False,-120.0,14:29:30
6930.0,3800,170.0,0.0,BU,2322900.0,1582800.0,False,0.0,14:29:29
6930.0,1000,170.0,0.0,BU,2319100.0,1582800.0,False,0.0,14:29:29
6930.0,100,170.0,0.0,BU,2318100.0,1582800.0,False,10.0,14:29:29
6920.0,2000,160.0,0.0,BU,2318000.0,1582800.0,False,0.0,14:29:29
6920.0,5000,160.0,0.0,BU,2316000.0,1582800.0,False,0.0,14:29:29
6920.0,2000,160.0,0.0,BU,2311000.0,1582800.0,False,0.0,14:29:29
6920.0,800,160.0,0.0,BU,2309000.0,1582800.0,False,0.0,14:29:29
6920.0,1600,160.0,0.0,BU,2308200.0,1582800.0,False,0.0,14:29:29
6920.0,1400,160.0,0.0,BU,2306600.0,1582800.0,False,10.0,14:29:29
6910.0,2000,150.0,0.0,BU,2305200.0,1582800.0,False,10.0,14:29:29
6900.0,2000,140.0,0.0,BU,2303200.0,1582800.0,False,0.0,14:29:29
6900.0,3000,140.0,0.0,BU,2301200.0,1582800.0,False,0.0,14:29:29
6900.0,500,140.0,0.0,BU,2298200.0,1582800.0,False,0.0,14:29:29
6900.0,5000,140.0,0.0,BU,2297700.0,1582800.0,False,0.0,14:29:29
6900.0,3000,140.0,0.0,BU,2292700.0,1582800.0,False,0.0,14:29:29
6900.0,1000,140.0,0.0,BU,2289700.0,1582800.0,False,0.0,14:29:29
6900.0,2000,140.0,0.0,BU,2288700.0,1582800.0,False,0.0,14:29:29
6900.0,3900,140.0,0.0,BU,2286700.0,1582800.0,False,10.0,14:29:29
6890.0,2000,130.0,0.0,BU,2282800.0,1582800.0,False,10.0,14:29:29
6880.0,5100,120.0,0.0,BU,2280800.0,1582800.0,False,0.0,14:29:29
6880.0,900,120.0,0.0,BU,2275700.0,1582800.0,False,0.0,14:29:20
6880.0,500,120.0,0.0,BU,2274800.0,1582800.0,False,0.0,14:29:20
6880.0,8000,120.0,0.0,BU,2274300.0,1582800.0,False,0.0,14:29:20
6880.0,900,120.0,0.0,BU,2266300.0,1582800.0,False,10.0,14:29:20
6870.0,300,110.0,0.0,BU,2265400.0,1582800.0,False,0.0,14:29:20
6870.0,3900,110.0,0.0,BU,2265100.0,1582800.0,False,20.0,14:29:20
6850.0,4500,90.0,0.0,BU,2261200.0,1582800.0,False,30.0,14:29:20
6820.0,1000,60.0,0.0,BU,2256700.0,1582800.0,False,10.0,14:29:20
6810.0,9100,50.0,0.0,BU,2255700.0,1582800.0,False,0.0,14:29:16
6810.0,1000,50.0,0.0,BU,2246600.0,1582800.0,False,10.0,14:29:16
6800.0,600,40.0,0.0,BU,2245600.0,1582800.0,False,0.0,14:29:16
6800.0,500,40.0,0.0,BU,2245000.0,1582800.0,False,0.0,14:29:15
6800.0,2500,40.0,0.0,BU,2244500.0,1582800.0,False,0.0,14:29:15
6800.0,3000,40.0,0.0,BU,2242000.0,1582800.0,False,0.0,14:29:14
6800.0,1000,40.0,0.0,BU,2239000.0,1582800.0,False,10.0,14:29:09
6790.0,1200,30.0,0.0,SD,2238000.0,1582800.0,False,0.0,14:29:03
6790.0,500,30.0,0.0,BU,2238000.0,1581600.0,False,0.0,14:29:02
6790.0,1600,30.0,0.0,BU,2237500.0,1581600.0,False,0.0,14:29:02
6790.0,2900,30.0,0.0,BU,2235900.0,1581600.0,False,10.0,14:29:02
6780.0,200,20.0,0.0,BU,2233000.0,1581600.0,False,10.0,14:28:53
6770.0,2000,10.0,0.0,BU,2232800.0,1581600.0,False,0.0,14:28:39
6770.0,1000,10.0,0.0,BU,2230800.0,1581600.0,False,20.0,14:28:39
6750.0,2600,-10.0,0.0,SD,2229800.0,1581600.0,False,-10.0,14:28:30
6760.0,2400,0.0,0.0,SD,2229800.0,1579000.0,False,0.0,14:28:30
6760.0,100,0.0,0.0,SD,2229800.0,1576600.0,False,0.0,14:28:25
6760.0,300,0.0,0.0,SD,2229800.0,1576500.0,False,0.0,14:28:24
6760.0,7200,0.0,0.0,SD,2229800.0,1576200.0,False,0.0,14:28:22
6760.0,800,0.0,0.0,BU,2229800.0,1569000.0,False,0.0,14:28:13
6760.0,1200,0.0,0.0,BU,2229000.0,1569000.0,False,10.0,14:28:13
6750.0,11500,-10.0,0.0,SD,2227800.0,1569000.0,False,0.0,14:28:12
6750.0,500,-10.0,0.0,SD,2227800.0,1557500.0,False,0.0,14:28:12
6750.0,5000,-10.0,0.0,SD,2227800.0,1557000.0,False,0.0,14:28:12
6750.0,3000,-10.0,0.0,SD,2227800.0,1552000.0,False,0.0,14:28:12
6750.0,7000,-10.0,0.0,SD,2227800.0,1549000.0,False,30.0,14:27:47
6720.0,100,-40.0,0.0,SD,2227800.0,1542000.0,False,-30.0,14:27:28
6750.0,2000,-10.0,0.0,BU,2227800.0,1541900.0,False,0.0,14:27:26
6750.0,1000,-10.0,0.0,BU,2225800.0,1541900.0,False,0.0,14:27:13
6750.0,4000,-10.0,0.0,BU,2224800.0,1541900.0,False,0.0,14:27:13
6750.0,5000,-10.0,0.0,BU,2220800.0,1541900.0,False,0.0,14:27:13
6750.0,100,-10.0,0.0,BU,2215800.0,1541900.0,False,0.0,14:27:12
6750.0,500,-10.0,0.0,BU,2215700.0,1541900.0,False,0.0,14:27:05
6750.0,1000,-10.0,0.0,BU,2215200.0,1541900.0,False,30.0,14:26:36
6720.0,3000,-40.0,0.0,SD,2214200.0,1541900.0,False,0.0,14:26:33
6720.0,30400,-40.0,0.0,BU,2214200.0,1538900.0,True,0.0,14:26:22
6720.0,7000,-40.0,0.0,BU,2183800.0,1538900.0,False,0.0,14:26:18
6720.0,10000,-40.0,0.0,BU,2176800.0,1538900.0,False,0.0,14:26:11
6720.0,2600,-40.0,0.0,BU,2166800.0,1538900.0,False,20.0,14:25:59
6700.0,2400,-60.0,0.0,BU,2164200.0,1538900.0,False,0.0,14:25:59
6700.0,900,-60.0,0.0,BU,2161800.0,1538900.0,False,0.0,14:25:57
6700.0,300,-60.0,0.0,BU,2160900.0,1538900.0,False,0.0,14:25:54
6700.0,100,-60.0,0.0,BU,2160600.0,1538900.0,False,0.0,14:25:44
6700.0,300,-60.0,0.0,BU,2160500.0,1538900.0,False,100.0,14:25:43
6600.0,2000,-160.0,0.0,SD,2160200.0,1538900.0,False,-10.0,14:25:43
6610.0,3000,-150.0,0.0,BU,2160200.0,1536900.0,False,10.0,14:25:43
6600.0,200,-160.0,0.0,SD,2157200.0,1536900.0,False,-10.0,14:25:41
6610.0,300,-150.0,0.0,SD,2157200.0,1536700.0,False,0.0,14:25:41
6610.0,500,-150.0,0.0,SD,2157200.0,1536400.0,False,10.0,14:25:41
