p,v,cp,rcp,a,ba,sa,hl,pcp,t
14700.0,600,900.0,0.1,SD,5700.0,5600.0,False,0.0,13:37:28
14700.0,300,900.0,0.1,BU,5700.0,5000.0,False,100.0,13:26:24
14600.0,200,800.0,0.1,BU,5400.0,5000.0,False,100.0,13:23:49
14500.0,1100,700.0,0.1,BU,5200.0,5000.0,False,0.0,13:19:47
14500.0,1000,700.0,0.1,SD,4100.0,5000.0,False,0.0,13:18:13
14500.0,400,700.0,0.1,SD,4100.0,4000.0,False,0.0,13:12:04
14500.0,600,700.0,0.1,SD,4100.0,3600.0,False,0.0,13:11:28
14500.0,900,700.0,0.1,SD,4100.0,3000.0,False,0.0,13:11:00
14500.0,200,700.0,0.1,SD,4100.0,2100.0,False,0.0,11:29:43
14500.0,200,700.0,0.1,BU,4100.0,1900.0,False,0.0,11:29:34
14500.0,400,700.0,0.1,BU,3900.0,1900.0,False,0.0,11:25:12
14500.0,300,700.0,0.1,BU,3500.0,1900.0,False,0.0,11:23:10
14500.0,100,700.0,0.1,BU,3200.0,1900.0,False,0.0,11:19:46
14500.0,100,700.0,0.1,BU,3100.0,1900.0,False,0.0,11:19:10
14500.0,200,700.0,0.1,BU,3000.0,1900.0,False,500.0,11:18:31
14000.0,100,200.0,0.0,SD,2800.0,1900.0,False,100.0,11:01:25
13900.0,500,100.0,0.0,SD,2800.0,1800.0,False,0.0,10:43:05
13900.0,1500,100.0,0.0,BU,2800.0,1300.0,False,300.0,10:06:44
13600.0,500,-200.0,0.0,SD,1300.0,1300.0,False,0.0,09:04:44
13600.0,800,-200.0,0.0,SD,1300.0,800.0,False,-400.0,09:04:28
14000.0,300,200.0,0.0,BU,1300.0,0.0,False,0.0,09:03:54
14000.0,1000,200.0,0.0,BU,1000.0,0.0,False,0.0,09:03:46
