p,v,cp,rcp,a,ba,sa,hl,pcp,t
98000.0,218400,-900.0,0.0,,834100.0,1797000.0,False,-100.0,14:45:00
98100.0,100,-800.0,0.0,SD,834100.0,1797000.0,False,0.0,14:29:59
98100.0,2200,-800.0,0.0,SD,834100.0,1796900.0,True,0.0,14:29:55
98100.0,2000,-800.0,0.0,SD,834100.0,1794700.0,False,0.0,14:29:31
98100.0,100,-800.0,0.0,SD,834100.0,1792700.0,False,-100.0,14:29:31
98200.0,300,-700.0,0.0,BU,834100.0,1792600.0,False,100.0,14:29:31
98100.0,200,-800.0,0.0,SD,833800.0,1792600.0,False,0.0,14:29:11
98100.0,1600,-800.0,0.0,SD,833800.0,1792400.0,False,0.0,14:29:10
98100.0,100,-800.0,0.0,BU,833800.0,1790800.0,False,0.0,14:29:02
98100.0,100,-800.0,0.0,BU,833700.0,1790800.0,False,100.0,14:29:02
98000.0,1000,-900.0,0.0,SD,833600.0,1790800.0,False,0.0,14:28:57
98000.0,100,-900.0,0.0,SD,833600.0,1789800.0,False,0.0,14:28:39
98000.0,100,-900.0,0.0,BU,833600.0,1789700.0,False,0.0,14:28:34
98000.0,500,-900.0,0.0,BU,833500.0,1789700.0,False,0.0,14:28:34
98000.0,700,-900.0,0.0,BU,833000.0,1789700.0,False,0.0,14:28:34
98000.0,100,-900.0,0.0,BU,832300.0,1789700.0,False,0.0,14:28:34
98000.0,800,-900.0,0.0,BU,832200.0,1789700.0,False,0.0,14:28:34
98000.0,300,-900.0,0.0,BU,831400.0,1789700.0,False,100.0,14:28:34
97900.0,1000,-1000.0,0.0,SD,831100.0,1789700.0,False,-100.0,14:28:28
98000.0,300,-900.0,0.0,BU,831100.0,1788700.0,False,0.0,14:28:12
98000.0,100,-900.0,0.0,BU,830800.0,1788700.0,False,0.0,14:28:11
98000.0,100,-900.0,0.0,BU,830700.0,1788700.0,False,100.0,14:28:05
97900.0,1000,-1000.0,0.0,SD,830600.0,1788700.0,False,-100.0,14:28:02
98000.0,100,-900.0,0.0,BU,830600.0,1787700.0,False,0.0,14:27:57
98000.0,100,-900.0,0.0,BU,830500.0,1787700.0,False,0.0,14:27:57
98000.0,500,-900.0,0.0,BU,830400.0,1787700.0,False,0.0,14:27:53
98000.0,100,-900.0,0.0,BU,829900.0,1787700.0,False,100.0,14:27:53
97900.0,100,-1000.0,0.0,SD,829800.0,1787700.0,False,-100.0,14:27:45
98000.0,200,-900.0,0.0,BU,829800.0,1787600.0,False,200.0,14:27:37
97800.0,400,-1100.0,0.0,BU,829600.0,1787600.0,False,0.0,14:27:24
97800.0,600,-1100.0,0.0,BU,829200.0,1787600.0,False,0.0,14:27:13
97800.0,2200,-1100.0,0.0,BU,828600.0,1787600.0,True,100.0,14:26:56
97700.0,100,-1200.0,0.0,SD,826400.0,1787600.0,False,-100.0,14:26:40
97800.0,300,-1100.0,0.0,BU,826400.0,1787500.0,False,0.0,14:26:38
97800.0,500,-1100.0,0.0,BU,826100.0,1787500.0,False,100.0,14:26:37
97700.0,500,-1200.0,0.0,SD,825600.0,1787500.0,False,-100.0,14:26:35
97800.0,100,-1100.0,0.0,BU,825600.0,1787000.0,False,0.0,14:26:25
97800.0,100,-1100.0,0.0,BU,825500.0,1787000.0,False,100.0,14:26:21
97700.0,3000,-1200.0,0.0,SD,825400.0,1787000.0,True,0.0,14:26:08
97700.0,100,-1200.0,0.0,BU,825400.0,1784000.0,False,0.0,14:26:04
97700.0,500,-1200.0,0.0,BU,825300.0,1784000.0,False,0.0,14:26:04
97700.0,2000,-1200.0,0.0,BU,824800.0,1784000.0,False,0.0,14:26:04
97700.0,2000,-1200.0,0.0,BU,822800.0,1784000.0,False,0.0,14:26:04
97700.0,1000,-1200.0,0.0,BU,820800.0,1784000.0,False,0.0,14:26:02
97700.0,500,-1200.0,0.0,BU,819800.0,1784000.0,False,100.0,14:25:54
97600.0,1000,-1300.0,0.0,SD,819300.0,1784000.0,False,100.0,14:25:45
97500.0,200,-1400.0,0.0,SD,819300.0,1783000.0,False,0.0,14:25:21
97500.0,500,-1400.0,0.0,SD,819300.0,1782800.0,False,-200.0,14:25:18
97700.0,2500,-1200.0,0.0,BU,819300.0,1782300.0,True,0.0,14:25:17
97700.0,100,-1200.0,0.0,BU,816800.0,1782300.0,False,0.0,14:25:17
97700.0,2300,-1200.0,0.0,BU,816700.0,1782300.0,True,200.0,14:25:17
97500.0,200,-1400.0,0.0,SD,814400.0,1782300.0,False,0.0,14:25:01
97500.0,300,-1400.0,0.0,SD,814400.0,1782100.0,False,0.0,14:25:01
97500.0,2900,-1400.0,0.0,SD,814400.0,1781800.0,True,-100.0,14:25:00
97600.0,100,-1300.0,0.0,SD,814400.0,1778900.0,False,-100.0,14:25:00
97700.0,1000,-1200.0,0.0,BU,814400.0,1778800.0,False,0.0,14:24:56
97700.0,200,-1200.0,0.0,BU,813400.0,1778800.0,False,200.0,14:24:56
97500.0,300,-1400.0,0.0,SD,813200.0,1778800.0,False,0.0,14:24:32
97500.0,500,-1400.0,0.0,BU,813200.0,1778500.0,False,0.0,14:24:26
97500.0,500,-1400.0,0.0,SD,812700.0,1778500.0,False,0.0,14:24:22
97500.0,100,-1400.0,0.0,SD,812700.0,1778000.0,False,-200.0,14:24:22
97700.0,500,-1200.0,0.0,BU,812700.0,1777900.0,False,200.0,14:24:20
97500.0,100,-1400.0,0.0,SD,812200.0,1777900.0,False,0.0,14:24:07
97500.0,500,-1400.0,0.0,SD,812200.0,1777800.0,False,0.0,14:24:07
97500.0,500,-1400.0,0.0,SD,812200.0,1777300.0,False,0.0,14:24:07
97500.0,500,-1400.0,0.0,SD,812200.0,1776800.0,False,0.0,14:24:07
97500.0,100,-1400.0,0.0,SD,812200.0,1776300.0,False,0.0,14:24:07
97500.0,1000,-1400.0,0.0,SD,812200.0,1776200.0,False,0.0,14:24:07
97500.0,300,-1400.0,0.0,SD,812200.0,1775200.0,False,0.0,14:24:07
97500.0,200,-1400.0,0.0,SD,812200.0,1774900.0,False,0.0,14:23:58
97500.0,100,-1400.0,0.0,SD,812200.0,1774700.0,False,0.0,14:23:58
97500.0,100,-1400.0,0.0,SD,812200.0,1774600.0,False,0.0,14:23:58
97500.0,600,-1400.0,0.0,SD,812200.0,1774500.0,False,0.0,14:23:58
97500.0,100,-1400.0,0.0,SD,812200.0,1773900.0,False,0.0,14:23:57
97500.0,2000,-1400.0,0.0,SD,812200.0,1773800.0,False,0.0,14:23:56
97500.0,2000,-1400.0,0.0,SD,812200.0,1771800.0,False,0.0,14:23:44
97500.0,100,-1400.0,0.0,SD,812200.0,1769800.0,False,0.0,14:23:43
97500.0,2000,-1400.0,0.0,SD,812200.0,1769700.0,False,0.0,14:23:37
97500.0,100,-1400.0,0.0,SD,812200.0,1767700.0,False,0.0,14:23:24
97500.0,100,-1400.0,0.0,SD,812200.0,1767600.0,False,0.0,14:23:24
97500.0,2000,-1400.0,0.0,SD,812200.0,1767500.0,False,0.0,14:23:22
97500.0,500,-1400.0,0.0,SD,812200.0,1765500.0,False,0.0,14:23:20
97500.0,100,-1400.0,0.0,SD,812200.0,1765000.0,False,-200.0,14:23:16
97700.0,1000,-1200.0,0.0,BU,812200.0,1764900.0,False,0.0,14:23:15
97700.0,1000,-1200.0,0.0,BU,811200.0,1764900.0,False,200.0,14:23:15
97500.0,100,-1400.0,0.0,SD,810200.0,1764900.0,False,0.0,14:23:08
97500.0,200,-1400.0,0.0,SD,810200.0,1764800.0,False,0.0,14:23:04
97500.0,100,-1400.0,0.0,SD,810200.0,1764600.0,False,0.0,14:23:02
97500.0,200,-1400.0,0.0,SD,810200.0,1764500.0,False,0.0,14:22:59
97500.0,100,-1400.0,0.0,SD,810200.0,1764300.0,False,0.0,14:22:59
97500.0,300,-1400.0,0.0,BU,810200.0,1764200.0,False,0.0,14:22:58
97500.0,100,-1400.0,0.0,BU,809900.0,1764200.0,False,0.0,14:22:58
97500.0,300,-1400.0,0.0,BU,809800.0,1764200.0,False,100.0,14:22:58
97400.0,100,-1500.0,0.0,SD,809500.0,1764200.0,False,0.0,14:22:56
97400.0,500,-1500.0,0.0,SD,809500.0,1764100.0,False,0.0,14:22:56
97400.0,100,-1500.0,0.0,SD,809500.0,1763600.0,False,0.0,14:22:56
97400.0,200,-1500.0,0.0,SD,809500.0,1763500.0,False,0.0,14:22:56
97400.0,700,-1500.0,0.0,SD,809500.0,1763300.0,False,0.0,14:22:56
97400.0,300,-1500.0,0.0,SD,809500.0,1762600.0,False,0.0,14:22:54
97400.0,500,-1500.0,0.0,SD,809500.0,1762300.0,False,0.0,14:22:54
97400.0,2000,-1500.0,0.0,SD,809500.0,1761800.0,False,0.0,14:22:54
97400.0,200,-1500.0,0.0,SD,809500.0,1759800.0,False,0.0,14:22:54
97400.0,300,-1500.0,0.0,SD,809500.0,1759600.0,False,-100.0,14:22:54
97500.0,100,-1400.0,0.0,BU,809500.0,1759300.0,False,0.0,14:22:40
97500.0,100,-1400.0,0.0,SD,809400.0,1759300.0,False,0.0,14:22:38
97500.0,100,-1400.0,0.0,SD,809400.0,1759200.0,False,100.0,14:22:31
97400.0,100,-1500.0,0.0,SD,809400.0,1759100.0,False,0.0,14:22:29
97400.0,100,-1500.0,0.0,SD,809400.0,1759000.0,False,0.0,14:22:28
97400.0,100,-1500.0,0.0,SD,809400.0,1758900.0,False,0.0,14:22:28
97400.0,100,-1500.0,0.0,SD,809400.0,1758800.0,False,0.0,14:22:28
97400.0,1500,-1500.0,0.0,SD,809400.0,1758700.0,False,-100.0,14:22:28
97500.0,100,-1400.0,0.0,SD,809400.0,1757200.0,False,0.0,14:22:28
97500.0,100,-1400.0,0.0,SD,809400.0,1757100.0,False,-100.0,14:22:15
97600.0,500,-1300.0,0.0,SD,809400.0,1757000.0,False,100.0,14:22:10
97500.0,4200,-1400.0,0.0,BU,809400.0,1756500.0,True,-100.0,14:22:07
97600.0,800,-1300.0,0.0,SD,805200.0,1756500.0,False,0.0,14:22:05
97600.0,100,-1300.0,0.0,BU,805200.0,1755700.0,False,0.0,14:22:04
97600.0,500,-1300.0,0.0,BU,805100.0,1755700.0,False,0.0,14:22:04
97600.0,2200,-1300.0,0.0,BU,804600.0,1755700.0,True,0.0,14:22:04
97600.0,800,-1300.0,0.0,BU,802400.0,1755700.0,False,0.0,14:22:04
97600.0,100,-1300.0,0.0,BU,801600.0,1755700.0,False,0.0,14:22:04
97600.0,1000,-1300.0,0.0,BU,801500.0,1755700.0,False,100.0,14:22:04
97500.0,500,-1400.0,0.0,BU,800500.0,1755700.0,False,0.0,14:22:04
97500.0,100,-1400.0,0.0,BU,800000.0,1755700.0,False,0.0,14:22:04
97500.0,1000,-1400.0,0.0,BU,799900.0,1755700.0,False,0.0,14:22:04
97500.0,1400,-1400.0,0.0,BU,798900.0,1755700.0,False,0.0,14:22:04
97500.0,1000,-1400.0,0.0,BU,797500.0,1755700.0,False,100.0,14:22:02
97400.0,100,-1500.0,0.0,SD,796500.0,1755700.0,False,0.0,14:22:02
97400.0,200,-1500.0,0.0,SD,796500.0,1755600.0,False,0.0,14:22:02
97400.0,100,-1500.0,0.0,SD,796500.0,1755400.0,False,0.0,14:21:58
97400.0,200,-1500.0,0.0,SD,796500.0,1755300.0,False,0.0,14:21:58
97400.0,200,-1500.0,0.0,SD,796500.0,1755100.0,False,0.0,14:21:58
97400.0,400,-1500.0,0.0,SD,796500.0,1754900.0,False,0.0,14:21:58
97400.0,100,-1500.0,0.0,SD,796500.0,1754500.0,False,0.0,14:21:58
97400.0,100,-1500.0,0.0,SD,796500.0,1754400.0,False,-100.0,14:21:58
97500.0,500,-1400.0,0.0,BU,796500.0,1754300.0,False,0.0,14:21:54
97500.0,100,-1400.0,0.0,BU,796000.0,1754300.0,False,0.0,14:21:53
97500.0,100,-1400.0,0.0,BU,795900.0,1754300.0,False,0.0,14:21:51
97500.0,5000,-1400.0,0.0,SD,795800.0,1754300.0,True,0.0,14:21:50
97500.0,200,-1400.0,0.0,SD,795800.0,1749300.0,False,0.0,14:21:50
