p,v,cp,rcp,a,ba,sa,hl,pcp,t
84400.0,62500,-2100.0,0.0,,556300.0,682000.0,False,-900.0,14:45:00
85300.0,700,-1200.0,0.0,BU,556300.0,682000.0,False,0.0,14:29:53
85300.0,100,-1200.0,0.0,BU,555600.0,682000.0,False,300.0,14:29:41
85000.0,500,-1500.0,0.0,BU,555500.0,682000.0,False,0.0,14:29:37
85000.0,400,-1500.0,0.0,BU,555000.0,682000.0,False,0.0,14:29:35
85000.0,100,-1500.0,0.0,BU,554600.0,682000.0,False,0.0,14:29:35
85000.0,500,-1500.0,0.0,BU,554500.0,682000.0,False,0.0,14:29:34
85000.0,100,-1500.0,0.0,BU,554000.0,682000.0,False,0.0,14:29:31
85000.0,1300,-1500.0,0.0,BU,553900.0,682000.0,False,0.0,14:29:31
85000.0,600,-1500.0,0.0,BU,552600.0,682000.0,False,0.0,14:29:31
85000.0,200,-1500.0,0.0,BU,552000.0,682000.0,False,0.0,14:29:31
85000.0,700,-1500.0,0.0,BU,551800.0,682000.0,False,200.0,14:29:28
84800.0,300,-1700.0,0.0,BU,551100.0,682000.0,False,0.0,14:29:28
84800.0,100,-1700.0,0.0,BU,550800.0,682000.0,False,0.0,14:29:25
84800.0,100,-1700.0,0.0,BU,550700.0,682000.0,False,-200.0,14:29:23
85000.0,100,-1500.0,0.0,BU,550600.0,682000.0,False,0.0,14:29:18
85000.0,200,-1500.0,0.0,SD,550500.0,682000.0,False,0.0,14:29:13
85000.0,300,-1500.0,0.0,BU,550500.0,681800.0,False,0.0,14:29:12
85000.0,100,-1500.0,0.0,BU,550200.0,681800.0,False,0.0,14:29:12
85000.0,400,-1500.0,0.0,BU,550100.0,681800.0,False,0.0,14:29:12
85000.0,100,-1500.0,0.0,BU,549700.0,681800.0,False,0.0,14:29:11
85000.0,100,-1500.0,0.0,BU,549600.0,681800.0,False,0.0,14:29:05
85000.0,200,-1500.0,0.0,BU,549500.0,681800.0,False,0.0,14:28:58
85000.0,100,-1500.0,0.0,BU,549300.0,681800.0,False,0.0,14:28:56
85000.0,100,-1500.0,0.0,BU,549200.0,681800.0,False,-300.0,14:28:49
85300.0,100,-1200.0,0.0,BU,549100.0,681800.0,False,300.0,14:28:37
85000.0,300,-1500.0,0.0,BU,549000.0,681800.0,False,1000.0,14:28:37
84000.0,200,-2500.0,0.0,SD,548700.0,681800.0,False,0.0,14:28:36
84000.0,2000,-2500.0,0.0,SD,548700.0,681600.0,False,-100.0,14:28:30
84100.0,100,-2400.0,0.0,SD,548700.0,679600.0,False,0.0,14:28:30
84100.0,2000,-2400.0,0.0,SD,548700.0,679500.0,False,-900.0,14:28:30
85000.0,100,-1500.0,0.0,SD,548700.0,677500.0,False,0.0,14:28:30
85000.0,800,-1500.0,0.0,SD,548700.0,677400.0,False,0.0,14:28:30
85000.0,200,-1500.0,0.0,SD,548700.0,676600.0,False,0.0,14:28:28
85000.0,1000,-1500.0,0.0,SD,548700.0,676400.0,False,1000.0,14:28:10
84000.0,1000,-2500.0,0.0,SD,548700.0,675400.0,False,0.0,14:28:10
84000.0,300,-2500.0,0.0,SD,548700.0,674400.0,False,0.0,14:28:10
84000.0,100,-2500.0,0.0,SD,548700.0,674100.0,False,0.0,14:28:10
84000.0,1000,-2500.0,0.0,SD,548700.0,674000.0,False,0.0,14:28:10
84000.0,300,-2500.0,0.0,SD,548700.0,673000.0,False,0.0,14:28:10
