p,v,cp,rcp,a,ba,sa,hl,pcp,t
14600.0,44500,-150.0,0.0,,336500.0,503400.0,False,0.0,14:45:00
14600.0,4300,-150.0,0.0,BU,336500.0,503400.0,False,0.0,14:29:48
14600.0,4000,-150.0,0.0,SD,332200.0,503400.0,False,0.0,14:29:43
14600.0,1000,-150.0,0.0,SD,332200.0,499400.0,False,0.0,14:29:43
14600.0,200,-150.0,0.0,SD,332200.0,498400.0,False,0.0,14:29:43
14600.0,100,-150.0,0.0,SD,332200.0,498200.0,False,0.0,14:29:43
14600.0,100,-150.0,0.0,SD,332200.0,498100.0,False,0.0,14:29:43
14600.0,100,-150.0,0.0,SD,332200.0,498000.0,False,0.0,14:29:43
14600.0,1000,-150.0,0.0,SD,332200.0,497900.0,False,0.0,14:29:43
14600.0,3000,-150.0,0.0,SD,332200.0,496900.0,False,0.0,14:29:43
14600.0,1000,-150.0,0.0,SD,332200.0,493900.0,False,0.0,14:29:43
14600.0,500,-150.0,0.0,SD,332200.0,492900.0,False,0.0,14:29:43
14600.0,100,-150.0,0.0,SD,332200.0,492400.0,False,0.0,14:29:43
14600.0,200,-150.0,0.0,SD,332200.0,492300.0,False,0.0,14:29:43
14600.0,100,-150.0,0.0,SD,332200.0,492100.0,False,0.0,14:29:43
14600.0,100,-150.0,0.0,SD,332200.0,492000.0,False,0.0,14:29:43
14600.0,100,-150.0,0.0,SD,332200.0,491900.0,False,0.0,14:29:43
14600.0,300,-150.0,0.0,SD,332200.0,491800.0,False,0.0,14:29:43
14600.0,500,-150.0,0.0,SD,332200.0,491500.0,False,0.0,14:29:43
14600.0,300,-150.0,0.0,SD,332200.0,491000.0,False,-50.0,14:29:43
14650.0,500,-100.0,0.0,SD,332200.0,490700.0,False,0.0,14:29:43
14650.0,100,-100.0,0.0,BU,332200.0,490200.0,False,0.0,14:29:37
14650.0,400,-100.0,0.0,BU,332100.0,490200.0,False,0.0,14:29:36
14650.0,100,-100.0,0.0,BU,331700.0,490200.0,False,0.0,14:29:21
14650.0,4000,-100.0,0.0,BU,331600.0,490200.0,False,50.0,14:29:20
14600.0,200,-150.0,0.0,SD,327600.0,490200.0,False,-50.0,14:29:20
14650.0,3000,-100.0,0.0,BU,327600.0,490000.0,False,50.0,14:29:15
14600.0,500,-150.0,0.0,SD,324600.0,490000.0,False,0.0,14:29:11
14600.0,200,-150.0,0.0,SD,324600.0,489500.0,False,0.0,14:29:11
