p,v,cp,rcp,a,ba,sa,hl,pcp,t
38000.0,353100,-400.0,0.0,,1848500.0,1968200.0,False,-350.0,14:45:00
38350.0,4500,-50.0,0.0,SD,1848500.0,1968200.0,False,0.0,14:29:49
38350.0,100,-50.0,0.0,BU,1848500.0,1963700.0,False,0.0,14:29:48
38350.0,200,-50.0,0.0,BU,1848400.0,1963700.0,False,0.0,14:29:46
38350.0,100,-50.0,0.0,BU,1848200.0,1963700.0,False,0.0,14:29:45
38350.0,1000,-50.0,0.0,BU,1848100.0,1963700.0,False,0.0,14:29:44
38350.0,1000,-50.0,0.0,BU,1847100.0,1963700.0,False,0.0,14:29:40
38350.0,200,-50.0,0.0,BU,1846100.0,1963700.0,False,0.0,14:29:38
38350.0,1000,-50.0,0.0,BU,1845900.0,1963700.0,False,0.0,14:29:32
38350.0,1000,-50.0,0.0,BU,1844900.0,1963700.0,False,0.0,14:29:31
38350.0,10600,-50.0,0.0,BU,1843900.0,1963700.0,True,50.0,14:29:12
38300.0,400,-100.0,0.0,BU,1833300.0,1963700.0,False,100.0,14:29:12
38200.0,1000,-200.0,0.0,SD,1832900.0,1963700.0,False,-150.0,14:29:02
38350.0,200,-50.0,0.0,BU,1832900.0,1962700.0,False,0.0,14:29:02
38350.0,100,-50.0,0.0,BU,1832700.0,1962700.0,False,-50.0,14:29:00
38400.0,1300,0.0,0.0,BU,1832600.0,1962700.0,False,50.0,14:28:50
38350.0,200,-50.0,0.0,BU,1831300.0,1962700.0,False,0.0,14:28:50
38350.0,400,-50.0,0.0,BU,1831100.0,1962700.0,False,150.0,14:28:50
38200.0,400,-200.0,0.0,BU,1830700.0,1962700.0,False,0.0,14:28:50
38200.0,5000,-200.0,0.0,BU,1830300.0,1962700.0,False,0.0,14:28:49
38200.0,700,-200.0,0.0,BU,1825300.0,1962700.0,False,0.0,14:28:48
38200.0,500,-200.0,0.0,BU,1824600.0,1962700.0,False,0.0,14:28:46
38200.0,500,-200.0,0.0,BU,1824100.0,1962700.0,False,50.0,14:28:46
38150.0,1200,-250.0,0.0,SD,1823600.0,1962700.0,False,-50.0,14:28:44
38200.0,6500,-200.0,0.0,BU,1823600.0,1961500.0,True,0.0,14:28:44
38200.0,500,-200.0,0.0,BU,1817100.0,1961500.0,False,0.0,14:28:42
38200.0,500,-200.0,0.0,BU,1816600.0,1961500.0,False,50.0,14:28:41
38150.0,1500,-250.0,0.0,BU,1816100.0,1961500.0,False,0.0,14:28:36
38150.0,1500,-250.0,0.0,BU,1814600.0,1961500.0,False,0.0,14:28:34
38150.0,200,-250.0,0.0,BU,1813100.0,1961500.0,False,0.0,14:28:33
38150.0,100,-250.0,0.0,BU,1812900.0,1961500.0,False,0.0,14:28:32
38150.0,100,-250.0,0.0,BU,1812800.0,1961500.0,False,0.0,14:28:30
38150.0,1000,-250.0,0.0,BU,1812700.0,1961500.0,False,0.0,14:28:28
38150.0,100,-250.0,0.0,BU,1811700.0,1961500.0,False,0.0,14:28:27
38150.0,500,-250.0,0.0,SD,1811600.0,1961500.0,False,0.0,14:28:26
38150.0,2000,-250.0,0.0,SD,1811600.0,1961000.0,False,50.0,14:28:22
38100.0,100,-300.0,0.0,SD,1811600.0,1959000.0,False,0.0,14:28:17
38100.0,1200,-300.0,0.0,SD,1811600.0,1958900.0,False,-50.0,14:28:17
