p,v,cp,rcp,a,ba,sa,hl,pcp,t
31900.0,206500,450.0,0.0,,2088300.0,2536600.0,False,0.0,14:45:01
31900.0,4500,450.0,0.0,BU,2088300.0,2536600.0,False,0.0,14:29:41
31900.0,100,450.0,0.0,BU,2083800.0,2536600.0,False,0.0,14:29:38
31900.0,1000,450.0,0.0,BU,2083700.0,2536600.0,False,200.0,14:29:33
31700.0,500,250.0,0.0,SD,2082700.0,2536600.0,False,0.0,14:29:26
31700.0,4000,250.0,0.0,SD,2082700.0,2536100.0,False,-100.0,14:29:15
31800.0,1000,350.0,0.0,SD,2082700.0,2532100.0,False,-100.0,14:29:15
31900.0,3900,450.0,0.0,BU,2082700.0,2531100.0,False,0.0,14:29:12
31900.0,400,450.0,0.0,BU,2078800.0,2531100.0,False,0.0,14:29:12
31900.0,200,450.0,0.0,BU,2078400.0,2531100.0,False,0.0,14:29:12
31900.0,1100,450.0,0.0,BU,2078200.0,2531100.0,False,0.0,14:29:12
31900.0,2000,450.0,0.0,BU,2077100.0,2531100.0,False,0.0,14:29:12
31900.0,1000,450.0,0.0,BU,2075100.0,2531100.0,False,50.0,14:29:12
31850.0,1400,400.0,0.0,BU,2074100.0,2531100.0,False,200.0,14:29:12
31650.0,200,200.0,0.0,SD,2072700.0,2531100.0,False,-50.0,14:28:41
31700.0,300,250.0,0.0,SD,2072700.0,2530900.0,False,-150.0,14:28:41
31850.0,13600,400.0,0.0,BU,2072700.0,2530600.0,True,0.0,14:28:37
31850.0,1000,400.0,0.0,BU,2059100.0,2530600.0,False,50.0,14:28:37
31800.0,200,350.0,0.0,BU,2058100.0,2530600.0,False,0.0,14:28:37
31800.0,15000,350.0,0.0,BU,2057900.0,2530600.0,True,0.0,14:28:37
31800.0,100,350.0,0.0,BU,2042900.0,2530600.0,False,0.0,14:28:37
31800.0,100,350.0,0.0,BU,2042800.0,2530600.0,False,0.0,14:28:37
31800.0,1500,350.0,0.0,BU,2042700.0,2530600.0,False,0.0,14:28:37
31800.0,100,350.0,0.0,BU,2041200.0,2530600.0,False,0.0,14:28:37
31800.0,2000,350.0,0.0,BU,2041100.0,2530600.0,False,0.0,14:28:37
31800.0,30000,350.0,0.0,BU,2039100.0,2530600.0,True,0.0,14:28:37
31800.0,1000,350.0,0.0,BU,2009100.0,2530600.0,False,0.0,14:28:37
31800.0,400,350.0,0.0,BU,2008100.0,2530600.0,False,0.0,14:28:37
31800.0,4100,350.0,0.0,BU,2007700.0,2530600.0,False,50.0,14:28:37
31750.0,10000,300.0,0.0,BU,2003600.0,2530600.0,True,0.0,14:28:37
31750.0,900,300.0,0.0,BU,1993600.0,2530600.0,False,50.0,14:28:37
31700.0,200,250.0,0.0,SD,1992700.0,2530600.0,False,0.0,14:28:37
31700.0,300,250.0,0.0,SD,1992700.0,2530400.0,False,-50.0,14:28:37
31750.0,8500,300.0,0.0,BU,1992700.0,2530100.0,True,50.0,14:28:28
31700.0,1500,250.0,0.0,BU,1984200.0,2530100.0,False,50.0,14:28:28
31650.0,400,200.0,0.0,SD,1982700.0,2530100.0,False,0.0,14:28:25
31650.0,700,200.0,0.0,SD,1982700.0,2529700.0,False,0.0,14:28:25
31650.0,300,200.0,0.0,SD,1982700.0,2529000.0,False,0.0,14:28:25
31650.0,3600,200.0,0.0,SD,1982700.0,2528700.0,False,-50.0,14:28:25
31700.0,2000,250.0,0.0,BU,1982700.0,2525100.0,False,0.0,14:28:21
31700.0,100,250.0,0.0,BU,1980700.0,2525100.0,False,0.0,14:28:19
31700.0,2000,250.0,0.0,BU,1980600.0,2525100.0,False,0.0,14:28:18
31700.0,1300,250.0,0.0,BU,1978600.0,2525100.0,False,0.0,14:28:16
31700.0,200,250.0,0.0,BU,1977300.0,2525100.0,False,0.0,14:28:09
31700.0,800,250.0,0.0,BU,1977100.0,2525100.0,False,50.0,14:28:08
31650.0,300,200.0,0.0,SD,1976300.0,2525100.0,False,-50.0,14:28:08
31700.0,100,250.0,0.0,SD,1976300.0,2524800.0,False,0.0,14:28:00
31700.0,100,250.0,0.0,BU,1976300.0,2524700.0,False,0.0,14:27:59
31700.0,200,250.0,0.0,BU,1976200.0,2524700.0,False,0.0,14:27:59
31700.0,100,250.0,0.0,BU,1976000.0,2524700.0,False,50.0,14:27:59
31650.0,1000,200.0,0.0,SD,1975900.0,2524700.0,False,-50.0,14:27:51
31700.0,3000,250.0,0.0,BU,1975900.0,2523700.0,False,0.0,14:27:49
31700.0,200,250.0,0.0,BU,1972900.0,2523700.0,False,0.0,14:27:42
31700.0,3000,250.0,0.0,BU,1972700.0,2523700.0,False,50.0,14:27:38
31650.0,100,200.0,0.0,SD,1969700.0,2523700.0,False,0.0,14:27:37
31650.0,5000,200.0,0.0,SD,1969700.0,2523600.0,False,0.0,14:27:37
31650.0,1000,200.0,0.0,SD,1969700.0,2518600.0,False,0.0,14:27:37
31650.0,100,200.0,0.0,SD,1969700.0,2517600.0,False,0.0,14:27:37
31650.0,500,200.0,0.0,SD,1969700.0,2517500.0,False,0.0,14:27:37
31650.0,500,200.0,0.0,SD,1969700.0,2517000.0,False,0.0,14:27:37
31650.0,800,200.0,0.0,SD,1969700.0,2516500.0,False,-50.0,14:27:37
31700.0,1000,250.0,0.0,BU,1969700.0,2515700.0,False,0.0,14:27:36
31700.0,500,250.0,0.0,BU,1968700.0,2515700.0,False,0.0,14:27:34
