p,v,cp,rcp,a,ba,sa,hl,pcp,t
5660.0,4500,10.0,0.0,,100400.0,71400.0,False,0.0,14:45:01
5660.0,500,10.0,0.0,BU,100400.0,71400.0,False,10.0,14:27:59
5650.0,100,0.0,0.0,SD,99900.0,71400.0,False,0.0,14:22:32
5650.0,4600,0.0,0.0,SD,99900.0,71300.0,False,0.0,14:22:32
5650.0,1000,0.0,0.0,SD,99900.0,66700.0,False,0.0,14:22:32
5650.0,300,0.0,0.0,SD,99900.0,65700.0,False,-10.0,14:22:32
5660.0,1000,10.0,0.0,SD,99900.0,65400.0,False,0.0,14:21:25
5660.0,100,10.0,0.0,SD,99900.0,64400.0,False,-20.0,14:21:25
5680.0,200,30.0,0.0,BU,99900.0,64300.0,False,0.0,14:15:17
5680.0,500,30.0,0.0,BU,99700.0,64300.0,False,0.0,14:14:32
5680.0,1000,30.0,0.0,BU,99200.0,64300.0,False,0.0,14:14:32
5680.0,1300,30.0,0.0,BU,98200.0,64300.0,False,0.0,14:14:32
5680.0,100,30.0,0.0,BU,96900.0,64300.0,False,0.0,14:07:33
5680.0,3200,30.0,0.0,BU,96800.0,64300.0,False,0.0,14:06:42
5680.0,1000,30.0,0.0,SD,93600.0,64300.0,False,0.0,14:04:21
5680.0,100,30.0,0.0,SD,93600.0,63300.0,False,0.0,14:04:21
5680.0,4300,30.0,0.0,SD,93600.0,63200.0,False,0.0,14:04:21
5680.0,100,30.0,0.0,SD,93600.0,58900.0,False,0.0,14:03:41
5680.0,1800,30.0,0.0,SD,93600.0,58800.0,False,-40.0,14:03:30
5720.0,100,70.0,0.0,BU,93600.0,57000.0,False,10.0,13:59:52
5710.0,600,60.0,0.0,BU,93500.0,57000.0,False,-10.0,13:59:41
5720.0,100,70.0,0.0,BU,92900.0,57000.0,False,10.0,13:59:41
5710.0,100,60.0,0.0,BU,92800.0,57000.0,False,10.0,13:59:41
5700.0,100,50.0,0.0,BU,92700.0,57000.0,False,20.0,13:59:41
5680.0,13800,30.0,0.0,BU,92600.0,57000.0,False,0.0,13:55:34
5680.0,4000,30.0,0.0,BU,78800.0,57000.0,False,0.0,13:55:30
5680.0,30000,30.0,0.0,SD,74800.0,57000.0,False,-10.0,13:54:38
5690.0,1000,40.0,0.0,SD,74800.0,27000.0,False,0.0,13:54:38
5690.0,200,40.0,0.0,SD,74800.0,26000.0,False,-10.0,13:54:38
