p,v,cp,rcp,a,ba,sa,hl,pcp,t
30200.0,1800,-500.0,0.0,,30400.0,27000.0,False,100.0,14:45:01
30100.0,1200,-600.0,0.0,BU,30400.0,27000.0,False,0.0,14:29:44
30100.0,3000,-600.0,0.0,BU,29200.0,27000.0,False,100.0,14:28:35
30000.0,400,-700.0,0.0,SD,26200.0,27000.0,False,0.0,14:27:08
30000.0,18000,-700.0,0.0,SD,26200.0,26600.0,True,-100.0,14:25:19
30100.0,200,-600.0,0.0,BU,26200.0,8600.0,False,0.0,14:24:56
30100.0,1200,-600.0,0.0,BU,26000.0,8600.0,False,-100.0,14:24:34
30200.0,6700,-500.0,0.0,BU,24800.0,8600.0,True,-100.0,14:20:46
30300.0,1400,-400.0,0.0,BU,18100.0,8600.0,False,0.0,14:20:21
30300.0,1000,-400.0,0.0,SD,16700.0,8600.0,False,-300.0,14:19:55
30600.0,500,-100.0,0.0,BU,16700.0,7600.0,False,200.0,14:12:05
30400.0,2000,-300.0,0.0,SD,16200.0,7600.0,False,-200.0,14:10:39
30600.0,1600,-100.0,0.0,BU,15700.0,5600.0,False,-100.0,14:03:26
30700.0,700,0.0,0.0,BU,13300.0,5600.0,False,0.0,13:58:21
30700.0,500,0.0,0.0,BU,12600.0,5600.0,False,100.0,13:57:44
30600.0,1400,-100.0,0.0,SD,12100.0,5600.0,False,0.0,13:40:47
30600.0,500,-100.0,0.0,SD,12100.0,4200.0,False,-100.0,13:40:25
30700.0,100,0.0,0.0,BU,12100.0,3700.0,False,-100.0,13:14:46
30800.0,900,100.0,0.0,BU,12000.0,3700.0,False,100.0,13:09:05
30700.0,600,0.0,0.0,BU,11100.0,3700.0,False,0.0,13:01:04
30700.0,400,0.0,0.0,SD,10500.0,3700.0,False,0.0,13:00:05
30700.0,500,0.0,0.0,SD,10500.0,3300.0,False,0.0,11:12:39
30700.0,100,0.0,0.0,SD,10500.0,2800.0,False,100.0,10:52:14
30600.0,100,-100.0,0.0,BU,10500.0,2700.0,False,100.0,10:45:48
30500.0,600,-200.0,0.0,BU,10400.0,2700.0,False,0.0,10:40:11
30500.0,100,-200.0,0.0,BU,9800.0,2700.0,False,0.0,10:37:23
30500.0,100,-200.0,0.0,BU,9700.0,2700.0,False,0.0,10:37:01
30500.0,200,-200.0,0.0,SD,9600.0,2700.0,False,-100.0,10:29:33
30600.0,100,-100.0,0.0,BU,9600.0,2500.0,False,200.0,10:23:47
30400.0,300,-300.0,0.0,SD,9500.0,2500.0,False,-100.0,10:10:52
30500.0,1100,-200.0,0.0,SD,9500.0,2200.0,False,-100.0,10:06:03
30600.0,300,-100.0,0.0,BU,9500.0,1100.0,False,0.0,09:56:10
30600.0,2000,-100.0,0.0,BU,9200.0,1100.0,False,0.0,09:54:33
30600.0,200,-100.0,0.0,BU,7200.0,1100.0,False,100.0,09:53:45
30500.0,100,-200.0,0.0,BU,7000.0,1100.0,False,0.0,09:47:55
30500.0,1100,-200.0,0.0,BU,6900.0,1100.0,False,0.0,09:47:22
30500.0,300,-200.0,0.0,SD,5800.0,1100.0,False,0.0,09:31:47
30500.0,300,-200.0,0.0,BU,5800.0,800.0,False,0.0,09:31:37
30500.0,500,-200.0,0.0,BU,5500.0,800.0,False,0.0,09:31:28
30500.0,400,-200.0,0.0,BU,5000.0,800.0,False,0.0,09:30:46
30500.0,1200,-200.0,0.0,BU,4600.0,800.0,False,0.0,09:30:13
30500.0,800,-200.0,0.0,BU,3400.0,800.0,False,0.0,09:29:01
30500.0,200,-200.0,0.0,SD,2600.0,800.0,False,0.0,09:23:24
30500.0,500,-200.0,0.0,BU,2600.0,600.0,False,0.0,09:22:10
30500.0,1100,-200.0,0.0,BU,2100.0,600.0,False,-200.0,09:20:24
30700.0,1000,0.0,0.0,BU,1000.0,600.0,False,0.0,09:03:29
30700.0,500,0.0,0.0,SD,0.0,600.0,False,200.0,09:03:19
30500.0,100,-200.0,0.0,SD,0.0,100.0,False,0.0,09:01:43
