p,v,cp,rcp,a,ba,sa,hl,pcp,t
4070.0,103400,-10.0,0.0,,1358400.0,2913200.0,False,0.0,14:45:00
4070.0,3500,-10.0,0.0,SD,1358400.0,2913200.0,False,0.0,14:29:51
4070.0,3700,-10.0,0.0,SD,1358400.0,2909700.0,False,0.0,14:29:47
4070.0,6700,-10.0,0.0,BU,1358400.0,2906000.0,False,10.0,14:29:42
4060.0,35000,-20.0,0.0,SD,1351700.0,2906000.0,False,-10.0,14:29:42
4070.0,500,-10.0,0.0,SD,1351700.0,2871000.0,False,0.0,14:29:29
4070.0,300,-10.0,0.0,SD,1351700.0,2870500.0,False,0.0,14:29:29
4070.0,300,-10.0,0.0,SD,1351700.0,2870200.0,False,0.0,14:29:17
4070.0,1500,-10.0,0.0,SD,1351700.0,2869900.0,False,0.0,14:29:17
4070.0,100,-10.0,0.0,SD,1351700.0,2868400.0,False,0.0,14:29:17
4070.0,100,-10.0,0.0,SD,1351700.0,2868300.0,False,0.0,14:29:17
4070.0,100,-10.0,0.0,SD,1351700.0,2868200.0,False,-10.0,14:28:36
4080.0,500,0.0,0.0,BU,1351700.0,2868100.0,False,10.0,14:28:23
4070.0,1000,-10.0,0.0,SD,1351200.0,2868100.0,False,-10.0,14:27:43
4080.0,100,0.0,0.0,BU,1351200.0,2867100.0,False,0.0,14:27:42
4080.0,100,0.0,0.0,BU,1351100.0,2867100.0,False,10.0,14:27:34
4070.0,3800,-10.0,0.0,SD,1351000.0,2867100.0,False,0.0,14:27:29
4070.0,6200,-10.0,0.0,SD,1351000.0,2863300.0,False,-10.0,14:27:29
4080.0,2100,0.0,0.0,BU,1351000.0,2857100.0,False,10.0,14:27:03
4070.0,6000,-10.0,0.0,SD,1348900.0,2857100.0,False,0.0,14:26:58
4070.0,200,-10.0,0.0,SD,1348900.0,2851100.0,False,0.0,14:26:53
4070.0,6900,-10.0,0.0,BU,1348900.0,2850900.0,False,0.0,14:26:14
4070.0,1000,-10.0,0.0,BU,1342000.0,2850900.0,False,0.0,14:26:14
4070.0,600,-10.0,0.0,BU,1341000.0,2850900.0,False,0.0,14:26:14
4070.0,39100,-10.0,0.0,BU,1340400.0,2850900.0,False,10.0,14:26:14
4060.0,1000,-20.0,0.0,SD,1301300.0,2850900.0,False,0.0,14:26:02
