p,v,cp,rcp,a,ba,sa,hl,pcp,t
28400.0,1959100,-350.0,0.0,,21384500.0,25425900.0,False,-100.0,14:45:01
28500.0,1000,-250.0,0.0,,21384500.0,25425900.0,False,0.0,14:30:00
28500.0,4000,-250.0,0.0,BU,21384500.0,25425900.0,False,0.0,14:29:59
28500.0,2100,-250.0,0.0,BU,21380500.0,25425900.0,False,50.0,14:29:58
28450.0,1500,-300.0,0.0,SD,21378400.0,25425900.0,False,0.0,14:29:58
28450.0,300,-300.0,0.0,SD,21378400.0,25424400.0,False,0.0,14:29:58
28450.0,200,-300.0,0.0,SD,21378400.0,25424100.0,False,0.0,14:29:58
28450.0,500,-300.0,0.0,SD,21378400.0,25423900.0,False,0.0,14:29:58
28450.0,4000,-300.0,0.0,SD,21378400.0,25423400.0,False,0.0,14:29:58
28450.0,2000,-300.0,0.0,SD,21378400.0,25419400.0,False,0.0,14:29:58
28450.0,100,-300.0,0.0,SD,21378400.0,25417400.0,False,0.0,14:29:58
28450.0,1000,-300.0,0.0,SD,21378400.0,25417300.0,False,0.0,14:29:58
28450.0,400,-300.0,0.0,SD,21378400.0,25416300.0,False,-50.0,14:29:58
28500.0,100,-250.0,0.0,BU,21378400.0,25415900.0,False,0.0,14:29:57
28500.0,100,-250.0,0.0,BU,21378300.0,25415900.0,False,0.0,14:29:57
28500.0,500,-250.0,0.0,BU,21378200.0,25415900.0,False,0.0,14:29:56
28500.0,1000,-250.0,0.0,BU,21377700.0,25415900.0,False,0.0,14:29:56
28500.0,500,-250.0,0.0,BU,21376700.0,25415900.0,False,0.0,14:29:55
28500.0,500,-250.0,0.0,BU,21376200.0,25415900.0,False,0.0,14:29:55
28500.0,500,-250.0,0.0,BU,21375700.0,25415900.0,False,0.0,14:29:53
28500.0,100,-250.0,0.0,BU,21375200.0,25415900.0,False,0.0,14:29:50
28500.0,500,-250.0,0.0,BU,21375100.0,25415900.0,False,0.0,14:29:50
28500.0,10000,-250.0,0.0,BU,21374600.0,25415900.0,True,0.0,14:29:50
28500.0,100,-250.0,0.0,BU,21364600.0,25415900.0,False,0.0,14:29:49
28500.0,100,-250.0,0.0,BU,21364500.0,25415900.0,False,0.0,14:29:49
28500.0,1000,-250.0,0.0,BU,21364400.0,25415900.0,False,0.0,14:29:48
28500.0,2100,-250.0,0.0,BU,21363400.0,25415900.0,False,50.0,14:29:48
28450.0,100,-300.0,0.0,SD,21361300.0,25415900.0,False,0.0,14:29:47
28450.0,2000,-300.0,0.0,SD,21361300.0,25415800.0,False,0.0,14:29:47
28450.0,500,-300.0,0.0,SD,21361300.0,25413800.0,False,0.0,14:29:47
28450.0,400,-300.0,0.0,SD,21361300.0,25413300.0,False,0.0,14:29:47
28450.0,7000,-300.0,0.0,SD,21361300.0,25412900.0,False,-50.0,14:29:47
28500.0,1000,-250.0,0.0,BU,21361300.0,25405900.0,False,0.0,14:29:47
28500.0,400,-250.0,0.0,BU,21360300.0,25405900.0,False,50.0,14:29:45
