p,v,cp,rcp,a,ba,sa,hl,pcp,t
29000.0,1000,300.0,0.0,BU,23000.0,23100.0,False,-100.0,14:47:53
29100.0,1900,400.0,0.0,BU,22000.0,23100.0,False,200.0,14:27:21
28900.0,2000,200.0,0.0,SD,20100.0,23100.0,False,-100.0,14:25:48
29000.0,500,300.0,0.0,SD,20100.0,21100.0,False,0.0,14:24:19
29000.0,1000,300.0,0.0,SD,20100.0,20600.0,False,0.0,14:24:15
29000.0,1000,300.0,0.0,SD,20100.0,19600.0,False,0.0,14:23:52
29000.0,2000,300.0,0.0,SD,20100.0,18600.0,False,-100.0,14:23:40
29100.0,600,400.0,0.0,BU,20100.0,16600.0,False,0.0,14:22:07
29100.0,1000,400.0,0.0,SD,19500.0,16600.0,False,0.0,14:21:38
29100.0,100,400.0,0.0,SD,19500.0,15600.0,False,-100.0,14:21:00
29200.0,500,500.0,0.0,BU,19500.0,15500.0,False,0.0,14:18:38
29200.0,2000,500.0,0.0,BU,19000.0,15500.0,False,100.0,14:12:14
29100.0,1000,400.0,0.0,SD,17000.0,15500.0,False,0.0,14:05:13
29100.0,200,400.0,0.0,SD,17000.0,14500.0,False,-100.0,14:00:49
29200.0,500,500.0,0.0,BU,17000.0,14300.0,False,0.0,13:59:33
29200.0,2000,500.0,0.0,BU,16500.0,14300.0,False,0.0,13:39:45
29200.0,1000,500.0,0.0,BU,14500.0,14300.0,False,0.0,13:34:11
29200.0,100,500.0,0.0,BU,13500.0,14300.0,False,100.0,13:33:14
29100.0,100,400.0,0.0,SD,13400.0,14300.0,False,0.0,13:28:49
29100.0,800,400.0,0.0,SD,13400.0,14200.0,False,-100.0,13:21:15
29200.0,200,500.0,0.0,BU,13400.0,13400.0,False,0.0,13:20:39
29200.0,800,500.0,0.0,SD,13200.0,13400.0,False,0.0,13:20:34
29200.0,200,500.0,0.0,BU,13200.0,12600.0,False,0.0,13:20:33
29200.0,2000,500.0,0.0,SD,13000.0,12600.0,False,0.0,13:18:05
29200.0,900,500.0,0.0,SD,13000.0,10600.0,False,0.0,13:00:03
29200.0,500,500.0,0.0,BU,13000.0,9700.0,False,0.0,11:15:33
29200.0,1000,500.0,0.0,BU,12500.0,9700.0,False,100.0,11:06:38
29100.0,100,400.0,0.0,SD,11500.0,9700.0,False,-100.0,11:00:43
29200.0,400,500.0,0.0,BU,11500.0,9600.0,False,0.0,10:51:33
29200.0,700,500.0,0.0,BU,11100.0,9600.0,False,100.0,10:51:26
29100.0,200,400.0,0.0,SD,10400.0,9600.0,False,0.0,10:48:43
29100.0,3800,400.0,0.0,BU,10400.0,9400.0,False,0.0,10:48:08
29100.0,1000,400.0,0.0,SD,6600.0,9400.0,False,0.0,10:35:28
29100.0,1000,400.0,0.0,SD,6600.0,8400.0,False,-100.0,10:32:36
29200.0,1000,500.0,0.0,BU,6600.0,7400.0,False,0.0,10:22:48
29200.0,200,500.0,0.0,BU,5600.0,7400.0,False,0.0,10:22:14
29200.0,1000,500.0,0.0,BU,5400.0,7400.0,False,0.0,10:09:10
29200.0,1000,500.0,0.0,SD,4400.0,7400.0,False,0.0,10:08:24
29200.0,1000,500.0,0.0,SD,4400.0,6400.0,False,0.0,10:03:42
29200.0,400,500.0,0.0,SD,4400.0,5400.0,False,0.0,09:55:27
29200.0,1000,500.0,0.0,SD,4400.0,5000.0,False,0.0,09:47:01
29200.0,1000,500.0,0.0,SD,4400.0,4000.0,False,-100.0,09:43:16
29300.0,100,600.0,0.0,BU,4400.0,3000.0,False,0.0,09:30:36
29300.0,1500,600.0,0.0,SD,4300.0,3000.0,False,0.0,09:29:50
29300.0,1000,600.0,0.0,SD,4300.0,1500.0,False,0.0,09:27:30
29300.0,100,600.0,0.0,SD,4300.0,500.0,False,0.0,09:21:43
29300.0,100,600.0,0.0,SD,4300.0,400.0,False,0.0,09:21:12
29300.0,100,600.0,0.0,SD,4300.0,300.0,False,0.0,09:20:37
29300.0,100,600.0,0.0,SD,4300.0,200.0,False,0.0,09:20:21
29300.0,100,600.0,0.0,SD,4300.0,100.0,False,-100.0,09:15:25
29400.0,300,700.0,0.0,BU,4300.0,0.0,False,100.0,09:14:16
29300.0,100,600.0,0.0,BU,4000.0,0.0,False,100.0,09:12:52
29200.0,200,500.0,0.0,BU,3900.0,0.0,False,-100.0,09:12:35
29300.0,2100,600.0,0.0,BU,3700.0,0.0,False,100.0,09:10:33
29200.0,600,500.0,0.0,BU,1600.0,0.0,False,200.0,09:04:23
29000.0,1000,300.0,0.0,BU,1000.0,0.0,False,0.0,09:02:05
