p,v,cp,rcp,a,ba,sa,hl,pcp,t
6220.0,4300,-50.0,0.0,,73500.0,66500.0,False,0.0,14:45:00
6220.0,400,-50.0,0.0,SD,73500.0,66500.0,False,0.0,14:22:26
6220.0,7200,-50.0,0.0,SD,73500.0,66100.0,False,-10.0,14:22:26
6230.0,1100,-40.0,0.0,SD,73500.0,58900.0,False,0.0,14:22:26
6230.0,300,-40.0,0.0,SD,73500.0,57800.0,False,0.0,14:22:26
6230.0,700,-40.0,0.0,SD,73500.0,57500.0,False,-10.0,14:22:26
6240.0,300,-30.0,0.0,SD,73500.0,56800.0,False,0.0,14:22:26
6240.0,1500,-30.0,0.0,SD,73500.0,56500.0,False,0.0,14:20:23
6240.0,1600,-30.0,0.0,SD,73500.0,55000.0,False,0.0,14:20:23
6240.0,300,-30.0,0.0,SD,73500.0,53400.0,False,-10.0,14:20:23
6250.0,100,-20.0,0.0,SD,73500.0,53100.0,False,0.0,14:20:23
6250.0,1100,-20.0,0.0,SD,73500.0,53000.0,False,0.0,14:20:23
6250.0,300,-20.0,0.0,SD,73500.0,51900.0,False,-20.0,14:19:28
6270.0,1500,0.0,0.0,BU,73500.0,51600.0,False,20.0,14:10:07
6240.0,400,-30.0,0.0,BU,71000.0,51200.0,False,0.0,13:56:44
6240.0,100,-30.0,0.0,BU,70600.0,51200.0,False,0.0,13:56:26
6240.0,1000,-30.0,0.0,SD,70500.0,51200.0,False,0.0,13:56:26
6260.0,1500,-10.0,0.0,BU,61400.0,46100.0,False,10.0,13:48:56
6250.0,100,-20.0,0.0,SD,59900.0,46100.0,False,0.0,13:48:32
6250.0,100,-20.0,0.0,SD,59900.0,46000.0,False,10.0,13:48:17
6240.0,200,-30.0,0.0,SD,59900.0,45900.0,False,0.0,13:36:02
6240.0,100,-30.0,0.0,SD,59900.0,45700.0,False,0.0,13:36:02
6240.0,900,-30.0,0.0,SD,59900.0,45600.0,False,-10.0,13:33:30
6250.0,1500,-20.0,0.0,SD,59900.0,44700.0,False,0.0,13:33:30
6250.0,200,-20.0,0.0,SD,59900.0,43200.0,False,0.0,13:33:30
6250.0,300,-20.0,0.0,SD,59900.0,43000.0,False,0.0,13:33:30
6250.0,900,-20.0,0.0,SD,59900.0,42700.0,False,-10.0,13:33:30
6260.0,100,-10.0,0.0,BU,59900.0,41800.0,False,0.0,13:31:47
6260.0,1000,-10.0,0.0,SD,59800.0,41800.0,False,0.0,13:31:20
6260.0,100,-10.0,0.0,SD,59800.0,40800.0,False,10.0,13:31:20
6250.0,100,-20.0,0.0,SD,59800.0,40700.0,False,0.0,13:21:46
6250.0,1000,-20.0,0.0,SD,59800.0,40600.0,False,0.0,13:20:34
6250.0,2000,-20.0,0.0,SD,59800.0,39600.0,False,0.0,13:20:34
6250.0,1000,-20.0,0.0,SD,59800.0,37600.0,False,0.0,13:20:34
6250.0,1000,-20.0,0.0,SD,59800.0,36600.0,False,0.0,13:20:34
6250.0,200,-20.0,0.0,SD,59800.0,35600.0,False,0.0,13:20:28
6250.0,700,-20.0,0.0,SD,59800.0,35400.0,False,-10.0,13:20:17
6260.0,1000,-10.0,0.0,BU,59800.0,34700.0,False,0.0,13:20:17
6260.0,1200,-10.0,0.0,BU,58800.0,34700.0,False,0.0,13:20:17
6260.0,300,-10.0,0.0,SD,57600.0,34700.0,False,-10.0,13:17:22
6270.0,100,0.0,0.0,SD,57600.0,34400.0,False,0.0,13:17:22
6270.0,500,0.0,0.0,SD,57600.0,34300.0,False,0.0,13:17:22
6270.0,500,0.0,0.0,SD,57600.0,33800.0,False,0.0,13:17:22
6270.0,100,0.0,0.0,SD,57600.0,33300.0,False,-10.0,13:17:22
6280.0,100,10.0,0.0,BU,57600.0,33200.0,False,10.0,13:15:59
6270.0,400,0.0,0.0,SD,57500.0,33200.0,False,0.0,13:13:17
6270.0,100,0.0,0.0,SD,57500.0,32800.0,False,0.0,13:13:17
6270.0,200,0.0,0.0,SD,57500.0,32700.0,False,0.0,13:05:39
6270.0,100,0.0,0.0,SD,57500.0,32500.0,False,0.0,13:05:39
6270.0,1300,0.0,0.0,SD,57500.0,32400.0,False,-10.0,13:00:07
6280.0,1500,10.0,0.0,SD,57500.0,31100.0,False,0.0,13:00:07
6280.0,700,10.0,0.0,SD,57500.0,29600.0,False,-10.0,13:00:07
6290.0,1300,20.0,0.0,SD,57500.0,28900.0,False,-10.0,13:00:01
6300.0,900,30.0,0.0,BU,57500.0,27600.0,False,10.0,11:29:40
6290.0,300,20.0,0.0,BU,56600.0,27600.0,False,0.0,11:29:10
6290.0,1400,20.0,0.0,BU,56300.0,27600.0,False,10.0,11:29:10
6280.0,300,10.0,0.0,SD,54900.0,27600.0,False,0.0,11:26:46
6280.0,1500,10.0,0.0,SD,54900.0,27300.0,False,-10.0,11:26:46
6290.0,1200,20.0,0.0,BU,54900.0,25800.0,False,10.0,11:26:40
6280.0,100,10.0,0.0,SD,53700.0,25800.0,False,0.0,11:19:57
6280.0,200,10.0,0.0,SD,53700.0,25700.0,False,-10.0,11:19:57
6290.0,300,20.0,0.0,BU,53700.0,25500.0,False,0.0,11:16:25
6290.0,1100,20.0,0.0,BU,53400.0,25500.0,False,0.0,11:10:06
6290.0,200,20.0,0.0,BU,52300.0,25500.0,False,0.0,11:08:59
6290.0,200,20.0,0.0,BU,52100.0,25500.0,False,10.0,11:06:40
6280.0,300,10.0,0.0,SD,51900.0,25500.0,False,-10.0,11:04:48
6290.0,2000,20.0,0.0,BU,51900.0,25200.0,False,0.0,10:59:03
6290.0,1200,20.0,0.0,BU,49900.0,25200.0,False,10.0,10:52:15
6280.0,1500,10.0,0.0,BU,48700.0,25200.0,False,0.0,10:51:33
6280.0,500,10.0,0.0,BU,47200.0,25200.0,False,10.0,10:50:39
6270.0,200,0.0,0.0,SD,46700.0,25200.0,False,0.0,10:48:52
6270.0,100,0.0,0.0,SD,46700.0,25000.0,False,-10.0,10:48:52
6280.0,100,10.0,0.0,BU,46700.0,24900.0,False,0.0,10:45:28
6280.0,600,10.0,0.0,BU,46600.0,24900.0,False,0.0,10:40:51
6280.0,100,10.0,0.0,BU,46000.0,24900.0,False,10.0,10:40:51
6270.0,200,0.0,0.0,SD,45900.0,24900.0,False,-10.0,10:34:36
6280.0,200,10.0,0.0,BU,45900.0,24700.0,False,10.0,10:34:35
6270.0,300,0.0,0.0,SD,45700.0,24700.0,False,-10.0,10:30:45
6280.0,700,10.0,0.0,BU,45700.0,24400.0,False,0.0,10:29:20
6280.0,1000,10.0,0.0,BU,45000.0,24400.0,False,0.0,10:29:19
6280.0,900,10.0,0.0,BU,44000.0,24400.0,False,10.0,10:21:24
6270.0,300,0.0,0.0,SD,43100.0,24400.0,False,0.0,10:20:59
6270.0,200,0.0,0.0,SD,43100.0,24100.0,False,-10.0,10:19:39
6280.0,1200,10.0,0.0,BU,43100.0,23900.0,False,0.0,10:17:45
6280.0,700,10.0,0.0,BU,41900.0,23900.0,False,0.0,10:13:45
6280.0,2000,10.0,0.0,BU,41200.0,23900.0,False,0.0,10:11:52
6280.0,200,10.0,0.0,SD,39200.0,23900.0,False,0.0,10:09:35
6280.0,200,10.0,0.0,SD,39200.0,23700.0,False,0.0,10:09:35
6280.0,1900,10.0,0.0,SD,39200.0,23500.0,False,-10.0,10:09:35
6290.0,500,20.0,0.0,SD,39200.0,21600.0,False,0.0,10:09:35
6290.0,200,20.0,0.0,SD,39200.0,21100.0,False,0.0,10:09:35
6290.0,1800,20.0,0.0,SD,39200.0,20900.0,False,-10.0,10:09:35
6300.0,900,30.0,0.0,BU,39200.0,19100.0,False,10.0,10:05:57
6290.0,200,20.0,0.0,SD,38300.0,19100.0,False,0.0,10:04:46
6290.0,100,20.0,0.0,SD,38300.0,18900.0,False,-10.0,10:04:46
6300.0,1100,30.0,0.0,BU,38300.0,18800.0,False,10.0,10:03:01
6290.0,2900,20.0,0.0,SD,37200.0,18800.0,False,0.0,10:02:28
6290.0,100,20.0,0.0,SD,37200.0,15900.0,False,0.0,10:02:28
6290.0,1200,20.0,0.0,SD,37200.0,15800.0,False,-10.0,09:57:26
6300.0,300,30.0,0.0,BU,37200.0,14600.0,False,10.0,09:52:36
6290.0,100,20.0,0.0,SD,36900.0,14600.0,False,0.0,09:52:32
6290.0,500,20.0,0.0,SD,36900.0,14500.0,False,10.0,09:52:21
6280.0,100,10.0,0.0,SD,36900.0,14000.0,False,-10.0,09:49:36
6290.0,100,20.0,0.0,BU,36900.0,13900.0,False,0.0,09:49:16
6290.0,1900,20.0,0.0,BU,36800.0,13900.0,False,0.0,09:46:42
6290.0,200,20.0,0.0,BU,34900.0,13900.0,False,0.0,09:40:47
6290.0,100,20.0,0.0,BU,34700.0,13900.0,False,0.0,09:40:41
6290.0,300,20.0,0.0,BU,34600.0,13900.0,False,0.0,09:40:29
6290.0,500,20.0,0.0,BU,34300.0,13900.0,False,0.0,09:38:27
6290.0,2000,20.0,0.0,BU,33800.0,13900.0,False,0.0,09:36:10
6290.0,1500,20.0,0.0,SD,31800.0,13900.0,False,0.0,09:35:03
6290.0,500,20.0,0.0,SD,31800.0,12400.0,False,0.0,09:35:03
6290.0,300,20.0,0.0,SD,31800.0,11900.0,False,-10.0,09:34:27
6300.0,1300,30.0,0.0,BU,31800.0,11600.0,False,10.0,09:33:44
6290.0,3200,20.0,0.0,BU,30500.0,11600.0,False,0.0,09:32:36
6290.0,500,20.0,0.0,BU,27300.0,11600.0,False,0.0,09:31:40
6290.0,2300,20.0,0.0,BU,26800.0,11600.0,False,0.0,09:31:00
6290.0,200,20.0,0.0,BU,24500.0,11600.0,False,0.0,09:30:27
6290.0,1500,20.0,0.0,BU,24300.0,11600.0,False,0.0,09:29:50
6290.0,100,20.0,0.0,BU,22800.0,11600.0,False,0.0,09:29:33
6290.0,2200,20.0,0.0,BU,22700.0,11600.0,False,0.0,09:29:18
6290.0,1400,20.0,0.0,BU,20500.0,11600.0,False,0.0,09:29:18
6290.0,1500,20.0,0.0,BU,19100.0,11600.0,False,20.0,09:28:56
6270.0,400,0.0,0.0,SD,17600.0,11600.0,False,-10.0,09:28:31
6280.0,1300,10.0,0.0,BU,17600.0,11200.0,False,10.0,09:28:31
6270.0,300,0.0,0.0,SD,16300.0,11200.0,False,0.0,09:28:31
6270.0,1500,0.0,0.0,SD,16300.0,10900.0,False,-10.0,09:28:31
