p,v,cp,rcp,a,ba,sa,hl,pcp,t
12900.0,43100,-150.0,0.0,,427200.0,733900.0,False,50.0,14:45:02
12850.0,5000,-200.0,0.0,SD,427200.0,733900.0,False,0.0,14:29:47
12850.0,2200,-200.0,0.0,SD,427200.0,728900.0,False,0.0,14:29:38
12850.0,200,-200.0,0.0,SD,427200.0,726700.0,False,0.0,14:29:22
12850.0,100,-200.0,0.0,SD,427200.0,726500.0,False,0.0,14:28:59
12850.0,2400,-200.0,0.0,SD,427200.0,726400.0,False,0.0,14:28:52
12850.0,2700,-200.0,0.0,SD,427200.0,724000.0,False,0.0,14:28:50
12850.0,3800,-200.0,0.0,SD,427200.0,721300.0,False,0.0,14:28:37
12850.0,1000,-200.0,0.0,SD,427200.0,717500.0,False,0.0,14:28:17
12850.0,1500,-200.0,0.0,SD,427200.0,716500.0,False,50.0,14:28:09
12800.0,300,-250.0,0.0,SD,427200.0,715000.0,False,0.0,14:28:07
12800.0,1000,-250.0,0.0,SD,427200.0,714700.0,False,0.0,14:28:07
12800.0,200,-250.0,0.0,SD,427200.0,713700.0,False,0.0,14:28:07
12800.0,500,-250.0,0.0,SD,427200.0,713500.0,False,-50.0,14:28:07
12850.0,500,-200.0,0.0,BU,427200.0,713000.0,False,0.0,14:28:03
12850.0,1000,-200.0,0.0,BU,426700.0,713000.0,False,0.0,14:28:01
12850.0,200,-200.0,0.0,BU,425700.0,713000.0,False,0.0,14:28:00
12850.0,100,-200.0,0.0,BU,425500.0,713000.0,False,0.0,14:27:56
12850.0,700,-200.0,0.0,BU,425400.0,713000.0,False,-50.0,14:27:49
12900.0,5000,-150.0,0.0,BU,424700.0,713000.0,False,100.0,14:27:38
12800.0,2000,-250.0,0.0,SD,419700.0,713000.0,False,0.0,14:27:37
12800.0,1500,-250.0,0.0,SD,419700.0,711000.0,False,0.0,14:27:37
12800.0,100,-250.0,0.0,SD,419700.0,709500.0,False,-50.0,14:27:37
12850.0,200,-200.0,0.0,SD,419700.0,709400.0,False,0.0,14:27:37
12850.0,100,-200.0,0.0,SD,419700.0,709200.0,False,0.0,14:27:37
12850.0,400,-200.0,0.0,SD,419700.0,709100.0,False,0.0,14:27:37
12850.0,1000,-200.0,0.0,SD,419700.0,708700.0,False,0.0,14:27:37
12850.0,200,-200.0,0.0,SD,419700.0,707700.0,False,0.0,14:27:37
12850.0,2500,-200.0,0.0,SD,419700.0,707500.0,False,0.0,14:27:23
12850.0,2300,-200.0,0.0,BU,419700.0,705000.0,False,0.0,14:27:11
12850.0,200,-200.0,0.0,BU,417400.0,705000.0,False,0.0,14:27:11
12850.0,700,-200.0,0.0,BU,417200.0,705000.0,False,0.0,14:27:09
12850.0,100,-200.0,0.0,BU,416500.0,705000.0,False,0.0,14:27:04
12850.0,400,-200.0,0.0,BU,416400.0,705000.0,False,0.0,14:27:04
12850.0,200,-200.0,0.0,BU,416000.0,705000.0,False,0.0,14:26:53
12850.0,1100,-200.0,0.0,BU,415800.0,705000.0,False,0.0,14:26:49
12850.0,900,-200.0,0.0,BU,414700.0,705000.0,False,0.0,14:26:49
12850.0,1000,-200.0,0.0,BU,413800.0,705000.0,False,0.0,14:26:44
12850.0,100,-200.0,0.0,SD,412800.0,705000.0,False,0.0,14:26:42
12850.0,100,-200.0,0.0,SD,412800.0,704900.0,False,0.0,14:26:42
12850.0,1900,-200.0,0.0,SD,412800.0,704800.0,False,0.0,14:26:42
12850.0,100,-200.0,0.0,SD,412800.0,702900.0,False,0.0,14:26:27
12850.0,400,-200.0,0.0,SD,412800.0,702800.0,False,0.0,14:26:27
12850.0,100,-200.0,0.0,SD,412800.0,702400.0,False,0.0,14:26:05
12850.0,500,-200.0,0.0,BU,412800.0,702300.0,False,0.0,14:25:37
12850.0,100,-200.0,0.0,BU,412300.0,702300.0,False,0.0,14:25:32
12850.0,3000,-200.0,0.0,BU,412200.0,702300.0,False,0.0,14:25:31
12850.0,100,-200.0,0.0,BU,409200.0,702300.0,False,0.0,14:25:29
12850.0,1300,-200.0,0.0,SD,409100.0,702300.0,False,0.0,14:25:28
12850.0,700,-200.0,0.0,BU,409100.0,701000.0,False,0.0,14:25:23
12850.0,100,-200.0,0.0,BU,408400.0,701000.0,False,0.0,14:25:07
12850.0,1000,-200.0,0.0,SD,408300.0,701000.0,False,0.0,14:25:06
12850.0,200,-200.0,0.0,SD,408300.0,700000.0,False,-50.0,14:25:06
12900.0,4700,-150.0,0.0,BU,408300.0,699800.0,False,0.0,14:24:46
12900.0,7400,-150.0,0.0,BU,403600.0,699800.0,False,0.0,14:24:46
12900.0,300,-150.0,0.0,BU,396200.0,699800.0,False,0.0,14:24:46
12900.0,1900,-150.0,0.0,BU,395900.0,699800.0,False,0.0,14:24:46
