p,v,cp,rcp,a,ba,sa,hl,pcp,t
36900.0,3100,-100.0,0.0,,14800.0,1600.0,False,-200.0,14:45:02
37100.0,1000,100.0,0.0,BU,14800.0,1600.0,False,0.0,14:10:04
37100.0,200,100.0,0.0,BU,13800.0,1600.0,False,0.0,14:05:25
37100.0,200,100.0,0.0,BU,13600.0,1600.0,False,100.0,13:54:12
37000.0,100,0.0,0.0,BU,13400.0,1600.0,False,0.0,13:49:15
37000.0,100,0.0,0.0,BU,13300.0,1600.0,False,0.0,13:48:28
37000.0,400,0.0,0.0,BU,13200.0,1600.0,False,0.0,13:48:09
37000.0,5000,0.0,0.0,BU,12800.0,1600.0,False,0.0,13:46:27
37000.0,100,0.0,0.0,BU,7800.0,1600.0,False,0.0,13:44:49
37000.0,200,0.0,0.0,BU,7700.0,1600.0,False,0.0,13:44:47
37000.0,1400,0.0,0.0,BU,7500.0,1600.0,False,0.0,13:34:10
37000.0,100,0.0,0.0,BU,6100.0,1600.0,False,0.0,13:32:16
37000.0,200,0.0,0.0,BU,6000.0,1600.0,False,0.0,13:32:14
37000.0,2000,0.0,0.0,BU,5800.0,1600.0,False,0.0,13:29:51
37000.0,300,0.0,0.0,BU,3800.0,1600.0,False,0.0,13:26:05
37000.0,1000,0.0,0.0,BU,3500.0,1600.0,False,0.0,13:24:54
37000.0,500,0.0,0.0,SD,2500.0,1600.0,False,-100.0,13:20:15
37100.0,100,100.0,0.0,BU,2500.0,1100.0,False,100.0,13:19:06
37000.0,300,0.0,0.0,SD,2400.0,1100.0,False,0.0,13:17:25
37000.0,200,0.0,0.0,SD,2400.0,800.0,False,-100.0,13:15:52
37100.0,100,100.0,0.0,BU,2400.0,600.0,False,100.0,13:10:03
37000.0,200,0.0,0.0,BU,2300.0,600.0,False,0.0,13:05:40
37000.0,200,0.0,0.0,BU,2100.0,600.0,False,0.0,13:05:12
37000.0,200,0.0,0.0,BU,1900.0,600.0,False,-200.0,13:04:23
37200.0,1400,200.0,0.0,BU,1700.0,600.0,False,0.0,09:34:30
37200.0,100,200.0,0.0,SD,300.0,600.0,False,0.0,09:33:20
37200.0,500,200.0,0.0,SD,300.0,500.0,False,100.0,09:30:41
37100.0,300,100.0,0.0,BU,300.0,0.0,False,0.0,09:25:01
