p,v,cp,rcp,a,ba,sa,hl,pcp,t
11100.0,500,-100.0,0.0,BU,4600.0,26800.0,False,0.0,14:26:55
11100.0,100,-100.0,0.0,BU,4100.0,26800.0,False,50.0,14:16:03
11050.0,100,-150.0,0.0,SD,4000.0,26800.0,False,0.0,14:11:13
11050.0,100,-150.0,0.0,SD,4000.0,26700.0,False,0.0,14:03:22
11050.0,1000,-150.0,0.0,SD,4000.0,26600.0,False,0.0,14:03:22
11050.0,200,-150.0,0.0,SD,4000.0,25600.0,False,0.0,14:03:22
11050.0,700,-150.0,0.0,SD,4000.0,25400.0,False,0.0,13:54:20
11050.0,2100,-150.0,0.0,SD,4000.0,24700.0,False,0.0,13:48:27
11050.0,1000,-150.0,0.0,SD,4000.0,22600.0,False,0.0,13:48:27
11050.0,1100,-150.0,0.0,SD,4000.0,21600.0,False,0.0,13:48:27
11050.0,900,-150.0,0.0,SD,4000.0,20500.0,False,0.0,13:40:17
11050.0,2000,-150.0,0.0,SD,4000.0,19600.0,False,0.0,13:40:17
11050.0,100,-150.0,0.0,SD,4000.0,17600.0,False,0.0,13:40:17
11050.0,100,-150.0,0.0,BU,4000.0,17500.0,False,0.0,13:28:01
11050.0,300,-150.0,0.0,BU,3900.0,17500.0,False,0.0,13:27:20
11050.0,200,-150.0,0.0,BU,3600.0,17500.0,False,0.0,13:27:08
11050.0,100,-150.0,0.0,BU,3400.0,17500.0,False,0.0,13:26:37
11050.0,500,-150.0,0.0,BU,3300.0,17500.0,False,-50.0,13:25:55
11100.0,1000,-100.0,0.0,BU,2800.0,17500.0,False,0.0,13:18:18
11100.0,100,-100.0,0.0,BU,1800.0,17500.0,False,0.0,11:27:05
11100.0,100,-100.0,0.0,BU,1700.0,17500.0,False,0.0,11:24:52
11100.0,100,-100.0,0.0,BU,1600.0,17500.0,False,100.0,11:24:23
11000.0,100,-200.0,0.0,SD,1500.0,17500.0,False,0.0,11:15:34
11000.0,200,-200.0,0.0,SD,1500.0,17400.0,False,0.0,10:48:11
11000.0,400,-200.0,0.0,SD,1500.0,17200.0,False,0.0,10:44:49
11000.0,2000,-200.0,0.0,SD,1500.0,16800.0,False,0.0,10:44:49
11000.0,100,-200.0,0.0,SD,1500.0,14800.0,False,0.0,10:44:49
11000.0,1000,-200.0,0.0,SD,1500.0,14700.0,False,-50.0,10:44:49
11050.0,300,-150.0,0.0,SD,1500.0,13700.0,False,0.0,10:44:49
11050.0,200,-150.0,0.0,SD,1500.0,13400.0,False,-50.0,10:44:49
11100.0,1000,-100.0,0.0,SD,1500.0,13200.0,False,0.0,10:44:49
11100.0,1700,-100.0,0.0,SD,1500.0,12200.0,False,0.0,10:44:49
11100.0,1000,-100.0,0.0,SD,1500.0,10500.0,False,0.0,10:39:19
11100.0,1400,-100.0,0.0,SD,1500.0,9500.0,False,0.0,10:23:11
11100.0,500,-100.0,0.0,SD,1500.0,8100.0,False,0.0,10:21:01
11100.0,400,-100.0,0.0,SD,1500.0,7600.0,False,-50.0,10:20:42
11150.0,100,-50.0,0.0,BU,1500.0,7200.0,False,50.0,10:20:42
11100.0,1400,-100.0,0.0,SD,1400.0,7200.0,False,50.0,10:08:29
11050.0,500,-150.0,0.0,BU,1400.0,5800.0,False,0.0,10:05:42
11050.0,200,-150.0,0.0,SD,900.0,5800.0,False,0.0,10:05:19
11050.0,200,-150.0,0.0,SD,900.0,5600.0,False,0.0,10:05:19
11050.0,500,-150.0,0.0,SD,900.0,5400.0,False,-50.0,10:05:19
11100.0,200,-100.0,0.0,SD,900.0,4900.0,False,0.0,10:04:41
11100.0,300,-100.0,0.0,SD,900.0,4700.0,False,-50.0,10:04:41
11150.0,500,-50.0,0.0,SD,900.0,4400.0,False,0.0,10:04:22
11150.0,100,-50.0,0.0,SD,900.0,3900.0,False,0.0,10:04:22
11150.0,800,-50.0,0.0,SD,900.0,3800.0,False,-50.0,10:04:22
11200.0,100,0.0,0.0,SD,900.0,3000.0,False,0.0,10:02:54
11200.0,900,0.0,0.0,SD,900.0,2900.0,False,0.0,09:54:21
11200.0,100,0.0,0.0,BU,900.0,2000.0,False,0.0,09:51:20
11200.0,1400,0.0,0.0,SD,800.0,2000.0,False,-50.0,09:43:16
11250.0,200,50.0,0.0,SD,800.0,600.0,False,0.0,09:36:27
11250.0,200,50.0,0.0,BU,800.0,400.0,False,50.0,09:35:18
11200.0,500,0.0,0.0,BU,600.0,400.0,False,0.0,09:35:18
11200.0,100,0.0,0.0,BU,100.0,400.0,False,50.0,09:35:18
11150.0,200,-50.0,0.0,SD,0.0,400.0,False,0.0,09:27:50
11150.0,200,-50.0,0.0,SD,0.0,200.0,False,0.0,09:27:50
