p,v,cp,rcp,a,ba,sa,hl,pcp,t
34550.0,421000,-450.0,0.0,,4077700.0,7688600.0,False,-50.0,14:45:01
34600.0,2000,-400.0,0.0,SD,4077700.0,7688600.0,False,0.0,14:29:57
34600.0,600,-400.0,0.0,SD,4077700.0,7686600.0,False,-50.0,14:29:57
34650.0,900,-350.0,0.0,SD,4077700.0,7686000.0,False,0.0,14:29:57
34650.0,500,-350.0,0.0,SD,4077700.0,7685100.0,False,0.0,14:29:57
34650.0,500,-350.0,0.0,SD,4077700.0,7684600.0,False,0.0,14:29:57
34650.0,500,-350.0,0.0,SD,4077700.0,7684100.0,False,0.0,14:29:57
34650.0,500,-350.0,0.0,SD,4077700.0,7683600.0,False,0.0,14:29:54
34650.0,700,-350.0,0.0,SD,4077700.0,7683100.0,False,0.0,14:29:54
34650.0,1000,-350.0,0.0,SD,4077700.0,7682400.0,False,0.0,14:29:50
34650.0,300,-350.0,0.0,SD,4077700.0,7681400.0,False,0.0,14:29:50
34650.0,1000,-350.0,0.0,SD,4077700.0,7681100.0,False,0.0,14:29:50
34650.0,500,-350.0,0.0,SD,4077700.0,7680100.0,False,0.0,14:29:50
34650.0,1000,-350.0,0.0,SD,4077700.0,7679600.0,False,0.0,14:29:50
34650.0,200,-350.0,0.0,SD,4077700.0,7678600.0,False,0.0,14:29:50
34650.0,300,-350.0,0.0,SD,4077700.0,7678400.0,False,0.0,14:29:50
34650.0,700,-350.0,0.0,SD,4077700.0,7678100.0,False,0.0,14:29:50
34650.0,200,-350.0,0.0,SD,4077700.0,7677400.0,False,0.0,14:29:45
34650.0,200,-350.0,0.0,SD,4077700.0,7677200.0,False,-50.0,14:29:44
34700.0,500,-300.0,0.0,BU,4077700.0,7677000.0,False,50.0,14:29:43
34650.0,1000,-350.0,0.0,SD,4077200.0,7677000.0,False,0.0,14:29:35
34650.0,900,-350.0,0.0,SD,4077200.0,7676000.0,False,0.0,14:29:34
34650.0,500,-350.0,0.0,SD,4077200.0,7675100.0,False,0.0,14:29:34
34650.0,600,-350.0,0.0,SD,4077200.0,7674600.0,False,-50.0,14:29:34
34700.0,2500,-300.0,0.0,BU,4077200.0,7674000.0,False,0.0,14:29:32
34700.0,500,-300.0,0.0,BU,4074700.0,7674000.0,False,50.0,14:29:32
34650.0,400,-350.0,0.0,SD,4074200.0,7674000.0,False,-50.0,14:29:30
34700.0,2000,-300.0,0.0,BU,4074200.0,7673600.0,False,50.0,14:29:26
34650.0,1000,-350.0,0.0,SD,4072200.0,7673600.0,False,50.0,14:29:23
34600.0,3200,-400.0,0.0,BU,4072200.0,7672600.0,False,0.0,14:29:22
34600.0,200,-400.0,0.0,BU,4069000.0,7672600.0,False,0.0,14:29:18
34600.0,2500,-400.0,0.0,SD,4068800.0,7672600.0,False,0.0,14:29:16
34600.0,1400,-400.0,0.0,SD,4068800.0,7670100.0,False,0.0,14:29:16
34600.0,500,-400.0,0.0,SD,4068800.0,7668700.0,False,0.0,14:29:16
34600.0,1000,-400.0,0.0,SD,4068800.0,7668200.0,False,0.0,14:29:16
34600.0,500,-400.0,0.0,SD,4068800.0,7667200.0,False,0.0,14:29:16
34600.0,100,-400.0,0.0,SD,4068800.0,7666700.0,False,0.0,14:29:16
34600.0,500,-400.0,0.0,SD,4068800.0,7666600.0,False,0.0,14:29:16
34600.0,100,-400.0,0.0,SD,4068800.0,7666100.0,False,0.0,14:29:16
