p,v,cp,rcp,a,ba,sa,hl,pcp,t
35300.0,102400,100.0,0.0,,895900.0,987400.0,False,-150.0,14:45:00
35450.0,200,250.0,0.0,SD,895900.0,987400.0,False,-50.0,14:29:26
35500.0,300,300.0,0.0,BU,895900.0,987200.0,False,50.0,14:29:26
35450.0,100,250.0,0.0,SD,895600.0,987200.0,False,-50.0,14:28:58
35500.0,5000,300.0,0.0,SD,895600.0,987100.0,False,0.0,14:28:51
35500.0,1700,300.0,0.0,SD,895600.0,982100.0,False,0.0,14:28:51
35500.0,100,300.0,0.0,SD,895600.0,980400.0,False,0.0,14:28:43
35500.0,5300,300.0,0.0,SD,895600.0,980300.0,False,0.0,14:28:31
35500.0,500,300.0,0.0,SD,895600.0,975000.0,False,0.0,14:28:31
35500.0,4200,300.0,0.0,SD,895600.0,974500.0,False,-300.0,14:28:31
35800.0,1600,600.0,0.0,BU,895600.0,970300.0,False,0.0,14:28:27
35800.0,5700,600.0,0.0,BU,894000.0,970300.0,True,0.0,14:28:27
35800.0,2000,600.0,0.0,BU,888300.0,970300.0,False,0.0,14:28:27
35800.0,300,600.0,0.0,BU,886300.0,970300.0,False,0.0,14:28:27
35800.0,100,600.0,0.0,BU,886000.0,970300.0,False,50.0,14:28:27
35750.0,5000,550.0,0.0,BU,885900.0,970300.0,False,50.0,14:28:27
35700.0,100,500.0,0.0,BU,880900.0,970300.0,False,200.0,14:28:27
35500.0,100,300.0,0.0,BU,880800.0,970300.0,False,0.0,14:28:18
35500.0,200,300.0,0.0,BU,880700.0,970300.0,False,0.0,14:28:18
35500.0,100,300.0,0.0,BU,880500.0,970300.0,False,0.0,14:28:00
35500.0,300,300.0,0.0,BU,880400.0,970300.0,False,0.0,14:28:00
35500.0,200,300.0,0.0,BU,880100.0,970300.0,False,0.0,14:27:43
35500.0,100,300.0,0.0,BU,879900.0,970300.0,False,100.0,14:27:43
35400.0,100,200.0,0.0,SD,879800.0,970300.0,False,-100.0,14:27:39
35500.0,700,300.0,0.0,BU,879800.0,970200.0,False,0.0,14:27:38
35500.0,600,300.0,0.0,BU,879100.0,970200.0,False,0.0,14:27:38
35500.0,1700,300.0,0.0,BU,878500.0,970200.0,False,100.0,14:27:38
35400.0,100,200.0,0.0,SD,876800.0,970200.0,False,-100.0,14:26:40
35500.0,900,300.0,0.0,BU,876800.0,970100.0,False,200.0,14:26:38
35300.0,200,100.0,0.0,SD,875900.0,970100.0,False,0.0,14:25:17
35300.0,200,100.0,0.0,SD,875900.0,969900.0,False,-500.0,14:24:59
35800.0,800,600.0,0.0,BU,875900.0,969700.0,False,0.0,14:24:55
35800.0,3500,600.0,0.0,BU,875100.0,969700.0,False,0.0,14:24:55
35800.0,200,600.0,0.0,BU,871600.0,969700.0,False,0.0,14:24:55
35800.0,100,600.0,0.0,BU,871400.0,969700.0,False,0.0,14:24:55
35800.0,100,600.0,0.0,BU,871300.0,969700.0,False,0.0,14:24:55
35800.0,200,600.0,0.0,BU,871200.0,969700.0,False,500.0,14:24:55
35300.0,300,100.0,0.0,SD,871000.0,969700.0,False,0.0,14:24:55
35300.0,500,100.0,0.0,SD,871000.0,969400.0,False,0.0,14:24:55
35300.0,1000,100.0,0.0,SD,871000.0,968900.0,False,0.0,14:24:55
35300.0,2800,100.0,0.0,SD,871000.0,967900.0,False,0.0,14:24:55
35300.0,200,100.0,0.0,SD,871000.0,965100.0,False,-500.0,14:24:55
35800.0,300,600.0,0.0,BU,871000.0,964900.0,False,0.0,14:24:54
35800.0,1700,600.0,0.0,BU,870700.0,964900.0,False,0.0,14:24:54
35800.0,300,600.0,0.0,BU,869000.0,964900.0,False,0.0,14:24:54
35800.0,200,600.0,0.0,BU,868700.0,964900.0,False,0.0,14:24:54
35800.0,1000,600.0,0.0,BU,868500.0,964900.0,False,100.0,14:24:54
35700.0,100,500.0,0.0,BU,867500.0,964900.0,False,200.0,14:24:54
35500.0,1000,300.0,0.0,BU,867400.0,964900.0,False,200.0,14:24:54
35300.0,700,100.0,0.0,SD,866400.0,964900.0,False,0.0,14:24:41
