p,v,cp,rcp,a,ba,sa,hl,pcp,t
14000.0,100,700.0,0.1,BU,134000.0,73400.0,False,0.0,14:59:28
14000.0,100,700.0,0.1,BU,133900.0,73400.0,False,0.0,14:56:14
14000.0,700,700.0,0.1,BU,133800.0,73400.0,False,0.0,14:55:54
14000.0,200,700.0,0.1,BU,133100.0,73400.0,False,0.0,14:51:27
14000.0,200,700.0,0.1,BU,132900.0,73400.0,False,100.0,14:47:47
13900.0,4700,600.0,0.0,SD,132700.0,73400.0,False,0.0,14:46:01
13900.0,1200,600.0,0.0,BU,132700.0,68700.0,False,0.0,14:45:02
13900.0,500,600.0,0.0,BU,131500.0,68700.0,False,-100.0,14:43:22
14000.0,200,700.0,0.1,BU,131000.0,68700.0,False,100.0,14:35:57
13900.0,800,600.0,0.0,BU,130800.0,68700.0,False,0.0,14:35:34
13900.0,200,600.0,0.0,BU,130000.0,68700.0,False,200.0,14:34:23
13700.0,500,400.0,0.0,SD,129800.0,68700.0,False,-100.0,14:29:59
13800.0,1000,500.0,0.0,BU,129800.0,68200.0,False,0.0,14:29:55
13800.0,200,500.0,0.0,BU,128800.0,68200.0,False,0.0,14:29:25
13800.0,600,500.0,0.0,BU,128600.0,68200.0,False,0.0,14:28:21
13800.0,200,500.0,0.0,BU,128000.0,68200.0,False,0.0,14:27:53
13800.0,100,500.0,0.0,BU,127800.0,68200.0,False,0.0,14:27:49
13800.0,200,500.0,0.0,BU,127700.0,68200.0,False,0.0,14:27:17
13800.0,100,500.0,0.0,BU,127500.0,68200.0,False,0.0,14:26:54
13800.0,2000,500.0,0.0,BU,127400.0,68200.0,False,0.0,14:26:36
13800.0,1800,500.0,0.0,BU,125400.0,68200.0,False,-100.0,14:23:25
13900.0,500,600.0,0.0,BU,123600.0,68200.0,False,0.0,14:23:16
13900.0,700,600.0,0.0,SD,123100.0,68200.0,False,0.0,14:22:18
13900.0,300,600.0,0.0,SD,123100.0,67500.0,False,0.0,14:18:20
13900.0,300,600.0,0.0,SD,123100.0,67200.0,False,-300.0,14:17:41
14200.0,4900,900.0,0.1,BU,123100.0,66900.0,False,100.0,14:09:25
14100.0,3500,800.0,0.1,BU,118200.0,66900.0,False,0.0,14:09:20
14100.0,100,800.0,0.1,BU,114700.0,66900.0,False,0.0,14:08:49
14100.0,200,800.0,0.1,BU,114600.0,66900.0,False,300.0,14:07:51
13800.0,400,500.0,0.0,SD,114400.0,66900.0,False,-300.0,14:07:16
14100.0,100,800.0,0.1,BU,114400.0,66500.0,False,200.0,14:04:17
13900.0,100,600.0,0.0,BU,114300.0,66500.0,False,-300.0,14:03:49
14200.0,5000,900.0,0.1,BU,114200.0,66500.0,False,300.0,14:02:49
13900.0,200,600.0,0.0,SD,109200.0,66500.0,False,-300.0,14:02:18
14200.0,9000,900.0,0.1,BU,109200.0,66300.0,False,100.0,14:01:09
14100.0,4000,800.0,0.1,BU,100200.0,66300.0,False,-100.0,14:01:00
14200.0,500,900.0,0.1,BU,96200.0,66300.0,False,100.0,13:58:39
14100.0,1000,800.0,0.1,BU,95700.0,66300.0,False,-100.0,13:58:31
14200.0,400,900.0,0.1,BU,94700.0,66300.0,False,0.0,13:57:12
14200.0,500,900.0,0.1,BU,94300.0,66300.0,False,100.0,13:56:17
14100.0,2000,800.0,0.1,BU,93800.0,66300.0,False,-100.0,13:55:49
14200.0,200,900.0,0.1,BU,91800.0,66300.0,False,200.0,13:51:06
14000.0,100,700.0,0.1,BU,91600.0,66300.0,False,0.0,13:47:24
14000.0,1900,700.0,0.1,BU,91500.0,66300.0,False,-200.0,13:47:16
14200.0,100,900.0,0.1,BU,89600.0,66300.0,False,200.0,13:45:46
14000.0,200,700.0,0.1,SD,89500.0,66300.0,False,0.0,13:45:36
14000.0,3300,700.0,0.1,BU,89500.0,66100.0,False,0.0,13:43:08
14000.0,300,700.0,0.1,BU,86200.0,66100.0,False,-100.0,13:42:37
14100.0,100,800.0,0.1,BU,85900.0,66100.0,False,-100.0,13:40:16
14200.0,100,900.0,0.1,BU,85800.0,66100.0,False,200.0,13:39:43
14000.0,4800,700.0,0.1,BU,85700.0,66100.0,False,0.0,13:39:31
14000.0,200,700.0,0.1,BU,80900.0,66100.0,False,200.0,13:38:12
13800.0,600,500.0,0.0,SD,80700.0,66100.0,False,-500.0,13:37:17
14300.0,200,1000.0,0.1,BU,80700.0,65500.0,False,300.0,13:17:09
14000.0,9800,700.0,0.1,BU,80500.0,65500.0,False,0.0,13:16:51
14000.0,100,700.0,0.1,BU,70700.0,65500.0,False,100.0,13:16:20
13900.0,500,600.0,0.0,BU,70600.0,65500.0,False,0.0,13:15:51
13900.0,3900,600.0,0.0,BU,70100.0,65500.0,False,0.0,13:15:38
13900.0,100,600.0,0.0,BU,66200.0,65500.0,False,400.0,13:13:07
13500.0,5000,200.0,0.0,SD,66100.0,65500.0,False,-400.0,13:11:32
13900.0,100,600.0,0.0,SD,66100.0,60500.0,False,-100.0,13:11:09
14000.0,3600,700.0,0.1,BU,66100.0,60400.0,False,-400.0,13:09:39
14400.0,100,1100.0,0.1,BU,62500.0,60400.0,False,100.0,13:02:27
14300.0,100,1000.0,0.1,BU,62400.0,60400.0,False,0.0,13:02:17
14300.0,600,1000.0,0.1,BU,62300.0,60400.0,False,100.0,13:02:02
14200.0,300,900.0,0.1,BU,61700.0,60400.0,False,100.0,13:01:55
14100.0,2100,800.0,0.1,BU,61400.0,60400.0,False,100.0,13:01:47
14000.0,400,700.0,0.1,SD,59300.0,60400.0,False,-100.0,13:00:37
14100.0,200,800.0,0.1,BU,59300.0,60000.0,False,0.0,13:00:06
14100.0,5000,800.0,0.1,SD,59100.0,60000.0,False,-300.0,13:00:03
14400.0,100,1100.0,0.1,BU,59100.0,55000.0,False,100.0,11:14:16
14300.0,500,1000.0,0.1,BU,59000.0,55000.0,False,-100.0,11:13:41
14400.0,100,1100.0,0.1,BU,58500.0,55000.0,False,0.0,11:04:38
14400.0,200,1100.0,0.1,BU,58400.0,55000.0,False,100.0,10:57:18
14300.0,700,1000.0,0.1,BU,58200.0,55000.0,False,0.0,10:57:13
14300.0,700,1000.0,0.1,BU,57500.0,55000.0,False,0.0,10:54:46
14300.0,2000,1000.0,0.1,BU,56800.0,55000.0,False,-100.0,10:51:49
14400.0,100,1100.0,0.1,BU,54800.0,55000.0,False,100.0,10:43:02
14300.0,500,1000.0,0.1,BU,54700.0,55000.0,False,-100.0,10:39:52
14400.0,100,1100.0,0.1,BU,54200.0,55000.0,False,0.0,10:32:11
14400.0,100,1100.0,0.1,BU,54100.0,55000.0,False,100.0,10:30:31
14300.0,2200,1000.0,0.1,BU,54000.0,55000.0,False,0.0,10:30:27
14300.0,100,1000.0,0.1,BU,51800.0,55000.0,False,100.0,10:28:08
14200.0,8000,900.0,0.1,BU,51700.0,55000.0,False,0.0,10:26:39
14200.0,100,900.0,0.1,BU,43700.0,55000.0,False,100.0,10:13:29
14100.0,500,800.0,0.1,SD,43600.0,55000.0,False,0.0,10:11:38
14100.0,500,800.0,0.1,SD,43600.0,54500.0,False,-100.0,10:08:52
14200.0,100,900.0,0.1,BU,43600.0,54000.0,False,100.0,10:06:20
14100.0,1000,800.0,0.1,BU,43500.0,54000.0,False,0.0,10:05:28
14100.0,100,800.0,0.1,BU,42500.0,54000.0,False,100.0,10:02:16
14000.0,500,700.0,0.1,SD,42400.0,54000.0,False,-100.0,10:02:15
14100.0,400,800.0,0.1,BU,42400.0,53500.0,False,-100.0,10:01:35
14200.0,300,900.0,0.1,BU,42000.0,53500.0,False,0.0,09:45:05
14200.0,1000,900.0,0.1,BU,41700.0,53500.0,False,0.0,09:44:07
14200.0,500,900.0,0.1,BU,40700.0,53500.0,False,0.0,09:42:57
14200.0,500,900.0,0.1,BU,40200.0,53500.0,False,0.0,09:42:12
14200.0,4000,900.0,0.1,BU,39700.0,53500.0,False,0.0,09:39:28
14200.0,100,900.0,0.1,BU,35700.0,53500.0,False,200.0,09:34:24
14000.0,6000,700.0,0.1,SD,35600.0,53500.0,False,-300.0,09:32:52
14300.0,2700,1000.0,0.1,BU,35600.0,47500.0,False,-100.0,09:31:28
14400.0,1000,1100.0,0.1,BU,26200.0,45700.0,False,0.0,09:15:28
