p,v,cp,rcp,a,ba,sa,hl,pcp,t
3740.0,700,-30.0,0.0,,51500.0,116900.0,False,10.0,14:45:02
3730.0,500,-40.0,0.0,SD,51500.0,116900.0,False,0.0,14:29:41
3730.0,100,-40.0,0.0,SD,51500.0,116400.0,False,-10.0,14:29:41
3740.0,1100,-30.0,0.0,SD,51500.0,116300.0,False,0.0,14:27:43
3740.0,15300,-30.0,0.0,SD,51500.0,115200.0,False,-10.0,14:26:57
3750.0,200,-20.0,0.0,BU,51500.0,99900.0,False,0.0,14:19:39
3750.0,200,-20.0,0.0,BU,51300.0,99900.0,False,0.0,14:19:39
3750.0,500,-20.0,0.0,BU,51100.0,99900.0,False,0.0,14:18:55
3750.0,100,-20.0,0.0,SD,50600.0,99900.0,False,-10.0,14:18:25
3760.0,100,-10.0,0.0,BU,50600.0,99800.0,False,10.0,14:17:55
3750.0,500,-20.0,0.0,SD,50500.0,99800.0,False,0.0,14:17:31
3750.0,500,-20.0,0.0,SD,50500.0,99300.0,False,10.0,14:17:31
3740.0,1000,-30.0,0.0,SD,50500.0,98800.0,False,0.0,14:12:45
3740.0,2600,-30.0,0.0,SD,50500.0,97800.0,False,0.0,14:11:58
3740.0,500,-30.0,0.0,SD,50500.0,95200.0,False,0.0,14:11:58
3740.0,400,-30.0,0.0,SD,50500.0,94700.0,False,0.0,14:11:58
3740.0,100,-30.0,0.0,SD,50500.0,94300.0,False,0.0,14:11:52
3740.0,200,-30.0,0.0,SD,50500.0,94200.0,False,0.0,14:11:52
3740.0,500,-30.0,0.0,SD,50500.0,94000.0,False,0.0,14:11:52
3740.0,200,-30.0,0.0,SD,50500.0,93500.0,False,-10.0,14:11:52
3750.0,100,-20.0,0.0,BU,50500.0,93300.0,False,0.0,14:11:41
3760.0,200,-10.0,0.0,BU,50400.0,91300.0,False,20.0,13:56:05
3740.0,100,-30.0,0.0,SD,50200.0,91300.0,False,0.0,13:55:56
3740.0,600,-30.0,0.0,SD,50200.0,91200.0,False,0.0,13:55:56
3740.0,400,-30.0,0.0,SD,50200.0,90600.0,False,0.0,13:55:41
3740.0,500,-30.0,0.0,SD,50200.0,90200.0,False,0.0,13:55:41
3740.0,100,-30.0,0.0,SD,50200.0,89700.0,False,0.0,13:55:41
3750.0,200,-20.0,0.0,BU,50200.0,88600.0,False,-10.0,13:48:21
3760.0,1200,-10.0,0.0,BU,50000.0,88600.0,False,0.0,13:31:08
3760.0,3500,-10.0,0.0,BU,48800.0,88600.0,False,0.0,13:31:08
3760.0,1300,-10.0,0.0,BU,45300.0,88600.0,False,0.0,13:31:08
3760.0,500,-10.0,0.0,BU,44000.0,88600.0,False,10.0,13:31:08
3750.0,300,-20.0,0.0,BU,43500.0,88600.0,False,0.0,13:31:08
3750.0,200,-20.0,0.0,BU,43200.0,88600.0,False,0.0,13:31:08
3750.0,500,-20.0,0.0,BU,43000.0,88600.0,False,0.0,13:30:29
3750.0,6200,-20.0,0.0,BU,42500.0,88600.0,False,0.0,13:30:29
3750.0,1000,-20.0,0.0,BU,36300.0,88600.0,False,10.0,13:30:29
3740.0,300,-30.0,0.0,BU,35300.0,88600.0,False,0.0,13:30:29
3740.0,100,-30.0,0.0,BU,35000.0,88600.0,False,10.0,13:29:40
3730.0,300,-40.0,0.0,BU,34900.0,88600.0,False,0.0,13:29:40
3730.0,100,-40.0,0.0,BU,34600.0,88600.0,False,10.0,13:28:31
3720.0,100,-50.0,0.0,BU,34500.0,88600.0,False,0.0,13:27:08
3720.0,5000,-50.0,0.0,BU,34400.0,88600.0,False,0.0,13:26:53
3720.0,500,-50.0,0.0,BU,29400.0,88600.0,False,0.0,13:25:51
3720.0,200,-50.0,0.0,BU,28900.0,88600.0,False,0.0,13:25:51
3720.0,200,-50.0,0.0,SD,28700.0,88600.0,False,0.0,13:24:07
3720.0,600,-50.0,0.0,SD,28700.0,88400.0,False,-10.0,13:23:45
3730.0,400,-40.0,0.0,SD,28700.0,87800.0,False,-10.0,13:23:45
3740.0,100,-30.0,0.0,BU,28700.0,87400.0,False,0.0,13:13:44
3740.0,100,-30.0,0.0,BU,28600.0,87400.0,False,10.0,13:01:01
3730.0,500,-40.0,0.0,BU,28500.0,87400.0,False,30.0,13:00:34
3700.0,500,-70.0,0.0,SD,28000.0,87400.0,False,0.0,13:00:34
3700.0,200,-70.0,0.0,SD,28000.0,86900.0,False,-10.0,13:00:00
3710.0,200,-60.0,0.0,SD,28000.0,86700.0,False,0.0,13:00:00
3710.0,200,-60.0,0.0,SD,28000.0,86500.0,False,0.0,13:00:00
3710.0,600,-60.0,0.0,SD,28000.0,86300.0,False,-10.0,13:00:00
3720.0,500,-50.0,0.0,SD,28000.0,85700.0,False,0.0,13:00:00
3720.0,100,-50.0,0.0,SD,28000.0,85200.0,False,-10.0,13:00:00
3730.0,100,-40.0,0.0,SD,28000.0,85100.0,False,0.0,13:00:00
3730.0,100,-40.0,0.0,SD,28000.0,85000.0,False,-10.0,13:00:00
3740.0,200,-30.0,0.0,BU,28000.0,84900.0,False,0.0,11:28:01
3740.0,100,-30.0,0.0,BU,27800.0,84900.0,False,0.0,11:23:01
3740.0,100,-30.0,0.0,BU,27700.0,84900.0,False,0.0,11:22:31
3740.0,100,-30.0,0.0,BU,27600.0,84900.0,False,30.0,11:16:10
3710.0,400,-60.0,0.0,SD,27500.0,84900.0,False,0.0,11:12:58
3710.0,200,-60.0,0.0,SD,27500.0,84500.0,False,0.0,11:12:58
3710.0,200,-60.0,0.0,SD,27500.0,84300.0,False,0.0,11:12:58
3710.0,1000,-60.0,0.0,SD,27500.0,84100.0,False,-20.0,11:12:58
