p,v,cp,rcp,a,ba,sa,hl,pcp,t
6700.0,24700,50.0,0.0,,260500.0,270400.0,False,0.0,14:45:01
6700.0,100,50.0,0.0,BU,260500.0,270400.0,False,30.0,14:29:13
6670.0,600,20.0,0.0,SD,260400.0,270400.0,False,0.0,14:27:52
6670.0,100,20.0,0.0,BU,260400.0,269800.0,False,0.0,14:27:33
6670.0,100,20.0,0.0,BU,260300.0,269800.0,False,0.0,14:27:33
6670.0,200,20.0,0.0,BU,260200.0,269800.0,False,70.0,14:26:19
6600.0,4000,-50.0,0.0,BU,260000.0,269800.0,False,0.0,14:26:15
6600.0,200,-50.0,0.0,BU,256000.0,269800.0,False,0.0,14:26:12
6600.0,2300,-50.0,0.0,BU,255800.0,269800.0,False,0.0,14:26:05
6600.0,100,-50.0,0.0,BU,253500.0,269800.0,False,0.0,14:26:02
6600.0,500,-50.0,0.0,BU,253400.0,269800.0,False,0.0,14:26:00
6600.0,1000,-50.0,0.0,BU,252900.0,269800.0,False,0.0,14:25:54
6600.0,100,-50.0,0.0,BU,251900.0,269800.0,False,0.0,14:25:38
6600.0,1000,-50.0,0.0,BU,251800.0,269800.0,False,0.0,14:24:56
6600.0,700,-50.0,0.0,SD,250800.0,269800.0,False,0.0,14:24:52
6600.0,100,-50.0,0.0,SD,250800.0,269100.0,False,0.0,14:24:52
6600.0,100,-50.0,0.0,BU,250800.0,269000.0,False,0.0,14:24:35
6600.0,200,-50.0,0.0,BU,250700.0,269000.0,False,0.0,14:24:31
6600.0,200,-50.0,0.0,BU,250500.0,269000.0,False,0.0,14:24:26
6600.0,300,-50.0,0.0,BU,250300.0,269000.0,False,0.0,14:24:26
6600.0,1000,-50.0,0.0,BU,250000.0,269000.0,False,0.0,14:24:26
6600.0,500,-50.0,0.0,BU,249000.0,269000.0,False,0.0,14:24:22
6600.0,200,-50.0,0.0,BU,248500.0,269000.0,False,0.0,14:24:18
6600.0,500,-50.0,0.0,BU,248300.0,269000.0,False,0.0,14:24:06
6600.0,100,-50.0,0.0,BU,247800.0,269000.0,False,0.0,14:23:48
6600.0,100,-50.0,0.0,BU,247700.0,269000.0,False,0.0,14:23:45
6600.0,1000,-50.0,0.0,BU,247600.0,269000.0,False,0.0,14:23:41
6600.0,100,-50.0,0.0,BU,246600.0,269000.0,False,0.0,14:23:33
6600.0,200,-50.0,0.0,BU,246500.0,269000.0,False,0.0,14:23:30
6600.0,100,-50.0,0.0,BU,246300.0,269000.0,False,0.0,14:23:30
6600.0,100,-50.0,0.0,BU,246200.0,269000.0,False,0.0,14:23:30
6600.0,200,-50.0,0.0,BU,246100.0,269000.0,False,0.0,14:23:30
6600.0,200,-50.0,0.0,BU,245900.0,269000.0,False,-10.0,14:23:30
6610.0,100,-40.0,0.0,BU,245700.0,269000.0,False,10.0,14:23:30
6600.0,100,-50.0,0.0,SD,245600.0,269000.0,False,0.0,14:22:22
6600.0,10000,-50.0,0.0,SD,245600.0,268900.0,False,-10.0,14:22:22
6610.0,3000,-40.0,0.0,SD,245600.0,258900.0,False,0.0,14:22:22
6610.0,100,-40.0,0.0,SD,245600.0,255900.0,False,0.0,14:22:22
6610.0,200,-40.0,0.0,SD,245600.0,255800.0,False,0.0,14:22:22
6610.0,200,-40.0,0.0,SD,245600.0,255600.0,False,0.0,14:22:22
6610.0,1000,-40.0,0.0,SD,245600.0,255400.0,False,-10.0,14:22:22
6620.0,200,-30.0,0.0,SD,245600.0,254400.0,False,-10.0,14:22:22
6630.0,200,-20.0,0.0,SD,245600.0,254200.0,False,-20.0,14:22:22
6650.0,500,0.0,0.0,BU,245600.0,254000.0,False,0.0,14:21:18
6650.0,100,0.0,0.0,SD,245100.0,254000.0,False,0.0,14:20:45
6650.0,800,0.0,0.0,SD,245100.0,253900.0,False,-20.0,14:20:45
6670.0,500,20.0,0.0,BU,245100.0,253100.0,False,20.0,14:20:11
6650.0,700,0.0,0.0,SD,244600.0,253100.0,False,0.0,14:20:08
6650.0,500,0.0,0.0,SD,244600.0,252400.0,False,0.0,14:20:08
6650.0,500,0.0,0.0,SD,244600.0,251900.0,False,0.0,14:20:08
6650.0,2000,0.0,0.0,SD,244600.0,251400.0,False,0.0,14:20:08
6650.0,500,0.0,0.0,SD,244600.0,249400.0,False,0.0,14:20:08
6650.0,2000,0.0,0.0,SD,244600.0,248900.0,False,0.0,14:20:08
6650.0,1000,0.0,0.0,SD,244600.0,246900.0,False,0.0,14:20:08
6650.0,2000,0.0,0.0,SD,244600.0,245900.0,False,0.0,14:20:08
6650.0,100,0.0,0.0,SD,244600.0,243900.0,False,0.0,14:20:08
6650.0,100,0.0,0.0,SD,244600.0,243800.0,False,0.0,14:20:08
6650.0,200,0.0,0.0,SD,244600.0,243700.0,False,0.0,14:20:08
6650.0,100,0.0,0.0,SD,244600.0,243500.0,False,0.0,14:20:08
6650.0,100,0.0,0.0,SD,244600.0,243400.0,False,0.0,14:20:08
6650.0,100,0.0,0.0,SD,244600.0,243300.0,False,0.0,14:20:08
6650.0,10000,0.0,0.0,SD,244600.0,243200.0,False,-10.0,14:20:08
6660.0,1000,10.0,0.0,SD,244600.0,233200.0,False,0.0,14:20:08
6660.0,100,10.0,0.0,SD,244600.0,232200.0,False,0.0,14:20:08
