p,v,cp,rcp,a,ba,sa,hl,pcp,t
5080.0,125400,-100.0,0.0,,2135500.0,4383500.0,False,-10.0,14:45:01
5090.0,100,-90.0,0.0,BU,2135500.0,4383500.0,False,10.0,14:29:56
5080.0,900,-100.0,0.0,BU,2135400.0,4383500.0,False,0.0,14:29:56
5080.0,100,-100.0,0.0,SD,2134500.0,4383500.0,False,0.0,14:29:53
5080.0,300,-100.0,0.0,SD,2134500.0,4383400.0,False,-10.0,14:29:47
5090.0,400,-90.0,0.0,BU,2134500.0,4383100.0,False,0.0,14:29:46
5090.0,100,-90.0,0.0,BU,2134100.0,4383100.0,False,0.0,14:29:41
5090.0,100,-90.0,0.0,BU,2134000.0,4383100.0,False,0.0,14:29:41
5090.0,200,-90.0,0.0,BU,2133900.0,4383100.0,False,30.0,14:29:40
5060.0,1200,-120.0,0.0,SD,2133700.0,4383100.0,False,-20.0,14:29:38
5080.0,900,-100.0,0.0,BU,2133700.0,4381900.0,False,0.0,14:29:38
5080.0,100,-100.0,0.0,BU,2132800.0,4381900.0,False,0.0,14:29:31
5080.0,400,-100.0,0.0,BU,2132700.0,4381900.0,False,0.0,14:29:29
5080.0,600,-100.0,0.0,BU,2132300.0,4381900.0,False,0.0,14:29:29
5080.0,100,-100.0,0.0,BU,2131700.0,4381900.0,False,20.0,14:29:26
5060.0,300,-120.0,0.0,SD,2131600.0,4381900.0,False,0.0,14:29:24
5060.0,3300,-120.0,0.0,SD,2131600.0,4381600.0,False,0.0,14:29:23
5060.0,100,-120.0,0.0,SD,2131600.0,4378300.0,False,-10.0,14:29:23
5070.0,400,-110.0,0.0,SD,2131600.0,4378200.0,False,-10.0,14:29:23
5080.0,1300,-100.0,0.0,BU,2131600.0,4377800.0,False,0.0,14:29:17
5080.0,3600,-100.0,0.0,BU,2130300.0,4377800.0,False,0.0,14:29:17
5080.0,500,-100.0,0.0,BU,2126700.0,4377800.0,False,10.0,14:29:17
5070.0,2600,-110.0,0.0,BU,2126200.0,4377800.0,False,20.0,14:29:17
5050.0,7700,-130.0,0.0,SD,2123600.0,4377800.0,False,-10.0,14:29:14
5060.0,1000,-120.0,0.0,SD,2123600.0,4370100.0,False,0.0,14:29:14
5060.0,10000,-120.0,0.0,SD,2123600.0,4369100.0,False,0.0,14:29:14
5060.0,1400,-120.0,0.0,SD,2123600.0,4359100.0,False,-10.0,14:29:14
5070.0,2000,-110.0,0.0,BU,2123600.0,4357700.0,False,10.0,14:29:13
5060.0,7800,-120.0,0.0,BU,2121600.0,4357700.0,False,0.0,14:29:10
5060.0,800,-120.0,0.0,BU,2113800.0,4357700.0,False,10.0,14:29:10
5050.0,2400,-130.0,0.0,SD,2113000.0,4357700.0,False,0.0,14:29:08
5050.0,100,-130.0,0.0,SD,2113000.0,4355300.0,False,0.0,14:29:08
5050.0,500,-130.0,0.0,SD,2113000.0,4355200.0,False,0.0,14:29:08
5050.0,2400,-130.0,0.0,SD,2113000.0,4354700.0,False,-10.0,14:29:08
5060.0,1000,-120.0,0.0,BU,2113000.0,4352300.0,False,0.0,14:29:07
5060.0,400,-120.0,0.0,BU,2112000.0,4352300.0,False,0.0,14:29:06
5060.0,1000,-120.0,0.0,BU,2111600.0,4352300.0,False,0.0,14:29:00
5060.0,200,-120.0,0.0,BU,2110600.0,4352300.0,False,10.0,14:28:57
