p,v,cp,rcp,a,ba,sa,hl,pcp,t
29400.0,2400,-250.0,0.0,,70300.0,133200.0,False,0.0,14:45:00
29400.0,300,-250.0,0.0,BU,70300.0,133200.0,False,0.0,14:29:51
29400.0,100,-250.0,0.0,BU,70000.0,133200.0,False,0.0,14:29:17
29400.0,1900,-250.0,0.0,BU,69900.0,133200.0,False,100.0,14:29:17
29300.0,500,-350.0,0.0,BU,68000.0,133200.0,False,0.0,14:28:50
29300.0,400,-350.0,0.0,BU,67500.0,133200.0,False,0.0,14:28:50
29300.0,1300,-350.0,0.0,BU,67100.0,133200.0,False,50.0,14:27:30
29250.0,700,-400.0,0.0,BU,65800.0,133200.0,False,0.0,14:27:30
29250.0,100,-400.0,0.0,BU,65100.0,133200.0,False,150.0,14:27:22
29100.0,300,-550.0,0.0,SD,65000.0,133200.0,False,50.0,14:27:01
29050.0,500,-600.0,0.0,SD,65000.0,132900.0,False,-50.0,14:26:34
29100.0,5000,-550.0,0.0,SD,65000.0,132400.0,False,0.0,14:26:34
29100.0,100,-550.0,0.0,SD,65000.0,127400.0,False,0.0,14:26:34
29100.0,100,-550.0,0.0,SD,65000.0,127300.0,False,0.0,14:26:34
29100.0,300,-550.0,0.0,SD,65000.0,127200.0,False,0.0,14:26:34
29100.0,200,-550.0,0.0,SD,65000.0,126900.0,False,0.0,14:26:34
29100.0,200,-550.0,0.0,SD,65000.0,126700.0,False,0.0,14:26:34
29100.0,200,-550.0,0.0,SD,65000.0,126500.0,False,0.0,14:26:34
29100.0,100,-550.0,0.0,SD,65000.0,126300.0,False,-100.0,14:26:34
29200.0,3000,-450.0,0.0,SD,65000.0,126200.0,False,0.0,14:26:34
29200.0,300,-450.0,0.0,SD,65000.0,123200.0,False,-100.0,14:26:34
29300.0,300,-350.0,0.0,BU,65000.0,122900.0,False,0.0,14:25:54
29300.0,2000,-350.0,0.0,SD,64700.0,122900.0,False,0.0,14:24:43
29300.0,3000,-350.0,0.0,SD,64700.0,120900.0,False,0.0,14:24:43
29300.0,1200,-350.0,0.0,SD,64700.0,117900.0,False,-100.0,14:24:40
29400.0,500,-250.0,0.0,BU,64700.0,116700.0,False,100.0,14:24:12
29300.0,100,-350.0,0.0,SD,64200.0,116700.0,False,0.0,14:24:01
29300.0,700,-350.0,0.0,SD,64200.0,116600.0,False,0.0,14:24:01
29300.0,800,-350.0,0.0,BU,64200.0,115900.0,False,0.0,14:23:49
29300.0,600,-350.0,0.0,BU,63400.0,115900.0,False,0.0,14:23:49
29300.0,600,-350.0,0.0,BU,62800.0,115900.0,False,100.0,14:23:49
29200.0,200,-450.0,0.0,SD,62200.0,115900.0,False,0.0,14:23:47
