p,v,cp,rcp,a,ba,sa,hl,pcp,t
5500.0,36200,0.0,0.0,,706800.0,518200.0,False,0.0,14:45:01
5500.0,4800,0.0,0.0,,706800.0,518200.0,False,-100.0,14:45:00
5600.0,100,100.0,0.0,BU,706800.0,518200.0,False,0.0,14:29:50
5600.0,100,100.0,0.0,BU,706700.0,518200.0,False,100.0,14:29:25
5500.0,500,0.0,0.0,SD,706600.0,518200.0,False,0.0,14:28:32
5500.0,50000,0.0,0.0,SD,706600.0,517700.0,True,0.0,14:28:06
5500.0,200,0.0,0.0,SD,706600.0,467700.0,False,0.0,14:27:16
5500.0,1000,0.0,0.0,SD,706600.0,467500.0,False,0.0,14:26:53
5500.0,1000,0.0,0.0,SD,706600.0,466500.0,False,0.0,14:26:46
5500.0,2700,0.0,0.0,SD,706600.0,465500.0,False,0.0,14:25:41
5500.0,10000,0.0,0.0,SD,706600.0,462800.0,False,0.0,14:20:37
5500.0,100,0.0,0.0,SD,706600.0,452800.0,False,-100.0,14:19:21
5600.0,11100,100.0,0.0,BU,706600.0,452700.0,False,100.0,14:18:54
5500.0,1000,0.0,0.0,SD,695500.0,452700.0,False,-100.0,14:18:00
5600.0,700,100.0,0.0,BU,695500.0,451700.0,False,0.0,14:16:44
5600.0,12000,100.0,0.0,BU,694800.0,451700.0,False,0.0,14:16:43
5600.0,100,100.0,0.0,BU,682800.0,451700.0,False,0.0,14:13:46
5600.0,800,100.0,0.0,BU,682700.0,451700.0,False,100.0,14:13:28
5500.0,500,0.0,0.0,SD,681900.0,451700.0,False,-100.0,14:12:04
5600.0,200,100.0,0.0,BU,681900.0,451200.0,False,0.0,14:11:25
5600.0,2000,100.0,0.0,BU,681700.0,451200.0,False,0.0,14:10:44
5600.0,100,100.0,0.0,BU,679700.0,451200.0,False,0.0,14:09:55
5600.0,500,100.0,0.0,BU,679600.0,451200.0,False,0.0,14:09:25
5600.0,3600,100.0,0.0,SD,664300.0,421200.0,False,0.0,14:03:13
5600.0,12800,100.0,0.0,SD,664300.0,417600.0,False,0.0,14:03:12
5600.0,500,100.0,0.0,SD,664300.0,404800.0,False,0.0,14:03:00
5600.0,200,100.0,0.0,SD,664300.0,404300.0,False,0.0,14:01:53
5600.0,1100,100.0,0.0,SD,664300.0,401600.0,False,0.0,13:58:28
5600.0,1000,100.0,0.0,SD,664300.0,400500.0,False,0.0,13:57:23
5600.0,1000,100.0,0.0,SD,664300.0,399500.0,False,0.0,13:57:21
5600.0,4000,100.0,0.0,SD,664300.0,398500.0,False,0.0,13:56:49
5600.0,20000,100.0,0.0,SD,664300.0,394500.0,False,0.0,13:56:12
5600.0,15000,100.0,0.0,SD,664300.0,374500.0,False,0.0,13:55:35
5600.0,400,100.0,0.0,SD,664300.0,359500.0,False,0.0,13:55:29
5600.0,4300,100.0,0.0,SD,664300.0,359100.0,False,0.0,13:54:57
5600.0,1000,100.0,0.0,SD,664300.0,354800.0,False,0.0,13:54:35
5600.0,3000,100.0,0.0,BU,657800.0,339200.0,False,0.0,13:48:44
5600.0,4900,100.0,0.0,SD,654800.0,339200.0,False,0.0,13:48:38
5600.0,300,100.0,0.0,SD,654800.0,334300.0,False,0.0,13:46:35
5600.0,700,100.0,0.0,BU,654800.0,334000.0,False,0.0,13:46:30
5600.0,9300,100.0,0.0,SD,654100.0,334000.0,False,0.0,13:45:43
5600.0,100,100.0,0.0,BU,654100.0,324700.0,False,0.0,13:45:25
5600.0,1000,100.0,0.0,BU,654000.0,324700.0,False,0.0,13:45:17
5600.0,1200,100.0,0.0,BU,653000.0,324700.0,False,0.0,13:44:31
5600.0,6000,100.0,0.0,BU,651800.0,324700.0,False,100.0,13:44:18
5500.0,300,0.0,0.0,SD,645800.0,324700.0,False,-100.0,13:44:17
5600.0,6500,100.0,0.0,BU,645800.0,324400.0,False,0.0,13:44:15
5600.0,20000,100.0,0.0,BU,639300.0,324400.0,False,0.0,13:43:51
5600.0,20000,100.0,0.0,BU,619300.0,324400.0,False,0.0,13:43:33
5600.0,800,100.0,0.0,BU,599300.0,324400.0,False,0.0,13:43:31
5600.0,3500,100.0,0.0,BU,598500.0,324400.0,False,0.0,13:43:29
5600.0,800,100.0,0.0,BU,595000.0,324400.0,False,0.0,13:42:55
5600.0,400,100.0,0.0,BU,594200.0,324400.0,False,0.0,13:41:42
5600.0,22000,100.0,0.0,BU,593800.0,324400.0,False,0.0,13:41:38
5600.0,2000,100.0,0.0,BU,571800.0,324400.0,False,0.0,13:41:34
5600.0,100,100.0,0.0,BU,569800.0,324400.0,False,0.0,13:35:44
5600.0,12500,100.0,0.0,BU,569700.0,324400.0,False,0.0,13:31:23
5600.0,5000,100.0,0.0,BU,557200.0,324400.0,False,0.0,13:29:29
5600.0,100,100.0,0.0,BU,552200.0,324400.0,False,0.0,13:29:26
5600.0,100,100.0,0.0,BU,552100.0,324400.0,False,0.0,13:27:16
5600.0,1400,100.0,0.0,BU,552000.0,324400.0,False,0.0,13:20:02
5600.0,400,100.0,0.0,SD,550600.0,324400.0,False,0.0,13:19:37
5600.0,300,100.0,0.0,SD,550600.0,324000.0,False,0.0,13:19:15
5600.0,500,100.0,0.0,SD,550600.0,323700.0,False,0.0,13:19:13
5600.0,100,100.0,0.0,SD,550600.0,323200.0,False,0.0,13:18:24
5600.0,1200,100.0,0.0,SD,550600.0,323100.0,False,0.0,13:17:27
5600.0,200,100.0,0.0,SD,550600.0,321900.0,False,0.0,13:17:08
5600.0,500,100.0,0.0,BU,550600.0,321700.0,False,0.0,13:16:57
5600.0,1000,100.0,0.0,BU,550100.0,321700.0,False,0.0,13:16:14
5600.0,2800,100.0,0.0,BU,549100.0,321700.0,False,0.0,13:15:40
5600.0,31200,100.0,0.0,SD,546300.0,321700.0,False,0.0,13:14:45
5600.0,1700,100.0,0.0,BU,546300.0,290500.0,False,0.0,13:14:07
5600.0,300,100.0,0.0,BU,544600.0,290500.0,False,0.0,13:13:51
5600.0,400,100.0,0.0,BU,544300.0,290500.0,False,0.0,13:13:34
5600.0,2000,100.0,0.0,BU,543900.0,290500.0,False,0.0,13:12:54
5600.0,1000,100.0,0.0,BU,541900.0,290500.0,False,0.0,13:09:58
5600.0,300,100.0,0.0,BU,540900.0,290500.0,False,0.0,13:07:08
5600.0,100,100.0,0.0,BU,540600.0,290500.0,False,0.0,13:04:08
5600.0,5000,100.0,0.0,BU,540500.0,290500.0,False,0.0,13:03:38
5600.0,300,100.0,0.0,BU,535500.0,290500.0,False,0.0,13:02:01
5600.0,12000,100.0,0.0,BU,535200.0,290500.0,False,0.0,13:01:57
5600.0,500,100.0,0.0,BU,523200.0,290500.0,False,0.0,13:01:10
5600.0,3000,100.0,0.0,BU,522700.0,290500.0,False,0.0,13:00:11
5600.0,6100,100.0,0.0,BU,519700.0,290500.0,False,0.0,13:00:08
5600.0,700,100.0,0.0,BU,513600.0,290500.0,False,0.0,13:00:04
5600.0,500,100.0,0.0,SD,512900.0,290500.0,False,0.0,11:25:24
5600.0,3500,100.0,0.0,BU,512900.0,290000.0,False,0.0,11:24:44
5600.0,1000,100.0,0.0,BU,509400.0,290000.0,False,0.0,11:24:11
5600.0,5000,100.0,0.0,BU,508400.0,290000.0,False,0.0,11:23:44
5600.0,2000,100.0,0.0,BU,503400.0,290000.0,False,100.0,11:22:45
5500.0,100,0.0,0.0,SD,501400.0,290000.0,False,-100.0,11:22:35
5600.0,900,100.0,0.0,BU,501400.0,289900.0,False,0.0,11:21:46
5600.0,500,100.0,0.0,BU,500500.0,289900.0,False,0.0,11:21:25
5600.0,2000,100.0,0.0,BU,500000.0,289900.0,False,0.0,11:20:36
5600.0,2000,100.0,0.0,BU,498000.0,289900.0,False,0.0,11:19:24
5600.0,20800,100.0,0.0,SD,496000.0,289900.0,False,0.0,11:16:18
5600.0,3000,100.0,0.0,SD,496000.0,269100.0,False,-100.0,11:15:28
5700.0,1000,200.0,0.0,BU,496000.0,266100.0,False,100.0,11:12:14
5600.0,20000,100.0,0.0,SD,495000.0,266100.0,False,0.0,11:11:53
5600.0,3000,100.0,0.0,SD,495000.0,246100.0,False,0.0,11:08:40
5600.0,5000,100.0,0.0,BU,540500.0,290500.0,False,0.0,13:03:38
5600.0,300,100.0,0.0,BU,535500.0,290500.0,False,0.0,13:02:01
5600.0,12000,100.0,0.0,BU,535200.0,290500.0,False,0.0,13:01:57
5600.0,500,100.0,0.0,BU,523200.0,290500.0,False,0.0,13:01:10
5600.0,3000,100.0,0.0,BU,522700.0,290500.0,False,0.0,13:00:11
5600.0,6100,100.0,0.0,BU,519700.0,290500.0,False,0.0,13:00:08
