p,v,cp,rcp,a,ba,sa,hl,pcp,t
13350.0,48100,-50.0,0.0,,362900.0,656900.0,False,0.0,14:45:01
13350.0,1300,-50.0,0.0,BU,362900.0,656900.0,False,50.0,14:29:42
13300.0,200,-100.0,0.0,SD,361600.0,656900.0,False,-50.0,14:29:10
13350.0,2000,-50.0,0.0,SD,361600.0,656700.0,False,0.0,14:28:51
13350.0,3000,-50.0,0.0,SD,361600.0,654700.0,False,0.0,14:28:51
13350.0,500,-50.0,0.0,SD,361600.0,651700.0,False,0.0,14:28:51
13350.0,3200,-50.0,0.0,SD,361600.0,651200.0,False,-50.0,14:28:51
13400.0,700,0.0,0.0,BU,361600.0,648000.0,False,0.0,14:28:41
13400.0,100,0.0,0.0,BU,360900.0,648000.0,False,0.0,14:28:41
13400.0,500,0.0,0.0,BU,360800.0,648000.0,False,0.0,14:28:39
13400.0,300,0.0,0.0,BU,360300.0,648000.0,False,0.0,14:28:26
13400.0,3100,0.0,0.0,BU,360000.0,648000.0,False,0.0,14:28:20
13400.0,200,0.0,0.0,BU,356900.0,648000.0,False,0.0,14:28:17
13400.0,1000,0.0,0.0,BU,356700.0,648000.0,False,50.0,14:27:25
13350.0,500,-50.0,0.0,BU,355700.0,648000.0,False,0.0,14:27:21
13350.0,500,-50.0,0.0,BU,355200.0,648000.0,False,0.0,14:27:19
13350.0,100,-50.0,0.0,BU,354700.0,648000.0,False,0.0,14:27:15
13350.0,200,-50.0,0.0,BU,354600.0,648000.0,False,50.0,14:26:23
13300.0,200,-100.0,0.0,SD,354400.0,648000.0,False,0.0,14:26:10
13300.0,100,-100.0,0.0,SD,354400.0,647800.0,False,0.0,14:26:10
13300.0,1000,-100.0,0.0,SD,354400.0,647700.0,False,0.0,14:26:10
13300.0,200,-100.0,0.0,SD,354400.0,646700.0,False,-50.0,14:26:10
13350.0,4100,-50.0,0.0,BU,354400.0,646500.0,False,50.0,14:26:05
13300.0,100,-100.0,0.0,SD,350300.0,646500.0,False,0.0,14:26:00
13300.0,400,-100.0,0.0,SD,350300.0,646400.0,False,0.0,14:26:00
13300.0,100,-100.0,0.0,SD,350300.0,646000.0,False,0.0,14:25:24
13300.0,100,-100.0,0.0,SD,350300.0,645900.0,False,0.0,14:25:24
13300.0,200,-100.0,0.0,SD,350300.0,645800.0,False,0.0,14:24:51
13300.0,100,-100.0,0.0,SD,350300.0,645600.0,False,0.0,14:24:46
13300.0,9800,-100.0,0.0,SD,350300.0,645500.0,False,0.0,14:24:46
13300.0,100,-100.0,0.0,SD,350300.0,635700.0,False,-50.0,14:24:46
13350.0,1000,-50.0,0.0,SD,350300.0,635600.0,False,0.0,14:24:26
13350.0,500,-50.0,0.0,SD,350300.0,634600.0,False,0.0,14:24:26
13350.0,200,-50.0,0.0,SD,350300.0,634100.0,False,0.0,14:24:26
13350.0,1000,-50.0,0.0,SD,350300.0,633900.0,False,0.0,14:24:26
13350.0,300,-50.0,0.0,SD,350300.0,632900.0,False,0.0,14:24:26
13350.0,100,-50.0,0.0,SD,350300.0,632600.0,False,0.0,14:24:26
13350.0,1000,-50.0,0.0,SD,350300.0,632500.0,False,0.0,14:24:26
13350.0,5000,-50.0,0.0,SD,350300.0,631500.0,False,0.0,14:24:26
13350.0,100,-50.0,0.0,SD,350300.0,626500.0,False,0.0,14:24:26
13350.0,100,-50.0,0.0,SD,350300.0,626400.0,False,0.0,14:24:26
13350.0,400,-50.0,0.0,SD,350300.0,626300.0,False,0.0,14:24:26
13350.0,500,-50.0,0.0,SD,350300.0,625900.0,False,0.0,14:24:25
13350.0,1000,-50.0,0.0,SD,350300.0,625400.0,False,0.0,14:24:25
13350.0,100,-50.0,0.0,SD,350300.0,624400.0,False,0.0,14:24:25
13350.0,2000,-50.0,0.0,SD,350300.0,624300.0,False,0.0,14:24:25
13350.0,400,-50.0,0.0,SD,350300.0,622300.0,False,0.0,14:24:25
13350.0,100,-50.0,0.0,SD,350300.0,621900.0,False,0.0,14:24:22
13350.0,500,-50.0,0.0,SD,350300.0,621800.0,False,0.0,14:24:09
13350.0,500,-50.0,0.0,SD,350300.0,621300.0,False,0.0,14:24:07
13350.0,500,-50.0,0.0,SD,350300.0,620800.0,False,0.0,14:24:05
13350.0,500,-50.0,0.0,SD,350300.0,620300.0,False,0.0,14:24:05
13350.0,200,-50.0,0.0,SD,350300.0,619800.0,False,0.0,14:23:53
13350.0,300,-50.0,0.0,SD,350300.0,619600.0,False,0.0,14:23:51
13350.0,1100,-50.0,0.0,SD,350300.0,619300.0,False,0.0,14:23:51
13350.0,100,-50.0,0.0,SD,350300.0,618200.0,False,0.0,14:23:39
13350.0,100,-50.0,0.0,SD,350300.0,618100.0,False,0.0,14:23:35
13350.0,300,-50.0,0.0,SD,350300.0,618000.0,False,0.0,14:23:34
13350.0,1000,-50.0,0.0,SD,350300.0,617700.0,False,0.0,14:23:18
13350.0,400,-50.0,0.0,SD,350300.0,616700.0,False,0.0,14:23:10
13350.0,100,-50.0,0.0,SD,350300.0,616300.0,False,0.0,14:23:10
13350.0,200,-50.0,0.0,SD,350300.0,616200.0,False,0.0,14:23:03
13350.0,100,-50.0,0.0,SD,350300.0,616000.0,False,0.0,14:23:03
13350.0,200,-50.0,0.0,SD,350300.0,615900.0,False,0.0,14:23:03
13350.0,800,-50.0,0.0,SD,350300.0,615700.0,False,0.0,14:22:51
13350.0,400,-50.0,0.0,SD,350300.0,614900.0,False,0.0,14:22:51
13350.0,800,-50.0,0.0,SD,350300.0,614500.0,False,0.0,14:22:51
13350.0,200,-50.0,0.0,SD,350300.0,613700.0,False,0.0,14:22:51
13350.0,4000,-50.0,0.0,SD,350300.0,613500.0,False,0.0,14:22:15
13350.0,1500,-50.0,0.0,SD,350300.0,609500.0,False,0.0,14:22:15
13350.0,1000,-50.0,0.0,SD,350300.0,608000.0,False,0.0,14:22:15
13350.0,600,-50.0,0.0,SD,350300.0,607000.0,False,0.0,14:22:15
13350.0,3000,-50.0,0.0,SD,350300.0,606400.0,False,0.0,14:22:15
13350.0,600,-50.0,0.0,SD,350300.0,603400.0,False,0.0,14:22:15
13350.0,2000,-50.0,0.0,SD,350300.0,602800.0,False,0.0,14:22:15
13350.0,100,-50.0,0.0,SD,350300.0,600800.0,False,-50.0,14:22:15
13400.0,4800,0.0,0.0,SD,350300.0,600700.0,False,0.0,14:21:47
13400.0,200,0.0,0.0,SD,350300.0,595900.0,False,0.0,14:21:46
13400.0,3800,0.0,0.0,SD,350300.0,595700.0,False,0.0,14:21:46
13400.0,1000,0.0,0.0,SD,350300.0,591900.0,False,0.0,14:21:46
13400.0,12500,0.0,0.0,SD,350300.0,590900.0,False,0.0,14:21:44
13400.0,1000,0.0,0.0,SD,350300.0,578400.0,False,0.0,14:21:44
13400.0,300,0.0,0.0,SD,350300.0,577400.0,False,0.0,14:21:44
13400.0,1000,0.0,0.0,SD,350300.0,577100.0,False,0.0,14:21:44
13400.0,2000,0.0,0.0,SD,350300.0,576100.0,False,0.0,14:21:44
13400.0,300,0.0,0.0,SD,350300.0,574100.0,False,0.0,14:21:44
13400.0,1000,0.0,0.0,SD,350300.0,573800.0,False,0.0,14:21:44
13400.0,1900,0.0,0.0,SD,350300.0,572800.0,False,0.0,14:21:44
13400.0,1300,0.0,0.0,SD,350300.0,570900.0,False,0.0,14:21:41
13400.0,1800,0.0,0.0,SD,350300.0,569600.0,False,0.0,14:21:38
13400.0,100,0.0,0.0,SD,350300.0,567800.0,False,0.0,14:21:38
13400.0,300,0.0,0.0,SD,350300.0,567700.0,False,0.0,14:21:38
13400.0,800,0.0,0.0,SD,350300.0,567400.0,False,0.0,14:21:38
13400.0,200,0.0,0.0,SD,350300.0,566600.0,False,0.0,14:21:37
13400.0,100,0.0,0.0,SD,350300.0,566400.0,False,0.0,14:21:37
13400.0,200,0.0,0.0,SD,350300.0,566300.0,False,0.0,14:21:37
13400.0,500,0.0,0.0,SD,350300.0,566100.0,False,0.0,14:21:37
13400.0,500,0.0,0.0,SD,350300.0,565600.0,False,0.0,14:21:37
13400.0,400,0.0,0.0,SD,350300.0,565100.0,False,0.0,14:21:37
13400.0,1000,0.0,0.0,SD,350300.0,564700.0,False,0.0,14:21:37
13400.0,100,0.0,0.0,SD,350300.0,563700.0,False,0.0,14:21:37
13400.0,500,0.0,0.0,SD,350300.0,563600.0,False,0.0,14:21:35
