p,v,cp,rcp,a,ba,sa,hl,pcp,t
5500.0,63000,-100.0,0.0,,234800.0,1484500.0,False,-100.0,14:45:02
5600.0,100,0.0,0.0,BU,234800.0,1484500.0,False,100.0,14:29:54
5500.0,200,-100.0,0.0,SD,234700.0,1484500.0,False,100.0,14:29:50
5400.0,80000,-200.0,0.0,SD,234700.0,1484300.0,True,-100.0,14:29:30
5500.0,10000,-100.0,0.0,SD,234700.0,1404300.0,False,0.0,14:29:29
5500.0,1100,-100.0,0.0,SD,234700.0,1394300.0,False,0.0,14:29:18
5500.0,15700,-100.0,0.0,BU,234700.0,1393200.0,False,0.0,14:29:12
5500.0,1000,-100.0,0.0,BU,219000.0,1393200.0,False,0.0,14:29:10
5500.0,300,-100.0,0.0,BU,218000.0,1393200.0,False,0.0,14:29:05
5500.0,20000,-100.0,0.0,BU,217700.0,1393200.0,False,0.0,14:29:03
5500.0,10000,-100.0,0.0,BU,197700.0,1393200.0,False,0.0,14:28:53
5500.0,1000,-100.0,0.0,BU,187700.0,1393200.0,False,0.0,14:28:42
5500.0,13000,-100.0,0.0,BU,186700.0,1393200.0,False,0.0,14:28:04
5500.0,100,-100.0,0.0,BU,173700.0,1393200.0,False,0.0,14:25:51
5500.0,500,-100.0,0.0,BU,173600.0,1393200.0,False,100.0,14:25:36
5400.0,30000,-200.0,0.0,SD,173100.0,1393200.0,False,0.0,14:25:33
5400.0,10000,-200.0,0.0,SD,173100.0,1363200.0,False,-100.0,14:25:14
5500.0,100,-100.0,0.0,BU,173100.0,1353200.0,False,100.0,14:24:41
5400.0,1300,-200.0,0.0,SD,173000.0,1353200.0,False,0.0,14:24:17
5400.0,9000,-200.0,0.0,SD,173000.0,1351900.0,False,-100.0,14:23:11
5500.0,200,-100.0,0.0,BU,173000.0,1342900.0,False,100.0,14:22:35
5400.0,3800,-200.0,0.0,SD,172800.0,1342900.0,False,0.0,14:22:19
5400.0,20900,-200.0,0.0,SD,172800.0,1339100.0,False,-100.0,14:20:19
5500.0,7500,-100.0,0.0,BU,172800.0,1318200.0,False,0.0,14:19:44
5500.0,8400,-100.0,0.0,SD,165300.0,1318200.0,False,0.0,14:19:34
5500.0,5000,-100.0,0.0,SD,165300.0,1309800.0,False,0.0,14:19:32
5500.0,2000,-100.0,0.0,SD,165300.0,1304800.0,False,0.0,14:19:23
5500.0,3000,-100.0,0.0,SD,165300.0,1302800.0,False,0.0,14:19:07
5500.0,2500,-100.0,0.0,SD,165300.0,1299800.0,False,0.0,14:18:59
5500.0,20000,-100.0,0.0,SD,165300.0,1297300.0,False,0.0,14:18:50
5500.0,3000,-100.0,0.0,SD,165300.0,1277300.0,False,0.0,14:18:44
5500.0,5000,-100.0,0.0,SD,165300.0,1274300.0,False,0.0,14:18:37
5500.0,20000,-100.0,0.0,SD,165300.0,1269300.0,False,0.0,14:18:23
5500.0,1000,-100.0,0.0,SD,165300.0,1249300.0,False,0.0,14:17:57
5500.0,5000,-100.0,0.0,SD,165300.0,1248300.0,False,0.0,14:17:49
5500.0,8000,-100.0,0.0,SD,165300.0,1243300.0,False,0.0,14:17:44
5500.0,50000,-100.0,0.0,SD,165300.0,1235300.0,True,0.0,14:17:35
5500.0,128300,-100.0,0.0,SD,165300.0,1185300.0,True,0.0,14:17:32
5500.0,200,-100.0,0.0,SD,165300.0,1057000.0,False,0.0,14:16:40
