p,v,cp,rcp,a,ba,sa,hl,pcp,t
23000.0,100,-100.0,0.0,,2010600.0,2801700.0,False,0.0,14:50:46
23000.0,165000,-100.0,0.0,,2010600.0,2801700.0,False,-500.0,14:45:01
23500.0,4000,400.0,0.0,BU,2010600.0,2801700.0,False,0.0,14:29:57
23500.0,5000,400.0,0.0,BU,2006600.0,2801700.0,False,100.0,14:29:53
23400.0,5200,300.0,0.0,SD,2001600.0,2801700.0,False,0.0,14:29:45
23400.0,5000,300.0,0.0,SD,2001600.0,2796500.0,False,0.0,14:29:37
23400.0,1000,300.0,0.0,SD,2001600.0,2791500.0,False,0.0,14:29:16
23400.0,900,300.0,0.0,SD,2001600.0,2790500.0,False,0.0,14:29:14
23400.0,100,300.0,0.0,BU,2001600.0,2789600.0,False,0.0,14:29:13
23400.0,2000,300.0,0.0,BU,2001500.0,2789600.0,False,0.0,14:29:10
23400.0,7900,300.0,0.0,BU,1999500.0,2789600.0,False,100.0,14:29:04
23300.0,200,200.0,0.0,SD,1991600.0,2789600.0,False,-100.0,14:29:00
23400.0,200,300.0,0.0,BU,1991600.0,2789400.0,False,0.0,14:28:51
23400.0,1000,300.0,0.0,BU,1991400.0,2789400.0,False,0.0,14:28:47
23400.0,200,300.0,0.0,BU,1990400.0,2789400.0,False,100.0,14:28:46
23300.0,4800,200.0,0.0,BU,1990200.0,2789400.0,False,0.0,14:28:34
23300.0,300,200.0,0.0,BU,1985400.0,2789400.0,False,0.0,14:28:32
23300.0,100,200.0,0.0,BU,1985100.0,2789400.0,False,0.0,14:28:25
23300.0,100,200.0,0.0,BU,1985000.0,2789400.0,False,0.0,14:28:16
23300.0,900,200.0,0.0,BU,1984900.0,2789400.0,False,100.0,14:28:13
23200.0,100,100.0,0.0,SD,1984000.0,2789400.0,False,-100.0,14:28:10
23300.0,500,200.0,0.0,BU,1984000.0,2789300.0,False,0.0,14:27:50
23300.0,5000,200.0,0.0,BU,1983500.0,2789300.0,False,100.0,14:27:49
23200.0,9300,100.0,0.0,SD,1978500.0,2789300.0,True,-100.0,14:27:48
23300.0,4000,200.0,0.0,BU,1978500.0,2780000.0,False,100.0,14:27:42
23200.0,2300,100.0,0.0,SD,1974500.0,2780000.0,False,100.0,14:27:29
23100.0,9300,0.0,0.0,SD,1974500.0,2777700.0,True,0.0,14:26:58
23100.0,7600,0.0,0.0,BU,1974500.0,2768400.0,False,0.0,14:26:56
23100.0,3000,0.0,0.0,BU,1966900.0,2768400.0,False,0.0,14:26:55
23100.0,400,0.0,0.0,BU,1963900.0,2768400.0,False,0.0,14:26:54
23100.0,4000,0.0,0.0,BU,1963500.0,2768400.0,False,100.0,14:26:46
23000.0,600,-100.0,0.0,SD,1959500.0,2768400.0,False,0.0,14:26:41
23000.0,4800,-100.0,0.0,SD,1959500.0,2767800.0,False,0.0,14:26:34
23000.0,4200,-100.0,0.0,BU,1959500.0,2763000.0,False,0.0,14:26:33
23000.0,1000,-100.0,0.0,BU,1955300.0,2763000.0,False,100.0,14:26:30
22900.0,1000,-200.0,0.0,SD,1954300.0,2763000.0,False,-100.0,14:26:25
23000.0,400,-100.0,0.0,BU,1954300.0,2762000.0,False,100.0,14:26:24
22900.0,200,-200.0,0.0,SD,1953900.0,2762000.0,False,0.0,14:26:23
22900.0,17400,-200.0,0.0,SD,1953900.0,2761800.0,True,0.0,14:26:21
22900.0,1000,-200.0,0.0,SD,1953900.0,2744400.0,False,-100.0,14:26:14
23000.0,600,-100.0,0.0,BU,1953900.0,2743400.0,False,100.0,14:26:13
22900.0,100,-200.0,0.0,SD,1953300.0,2743400.0,False,0.0,14:25:56
22900.0,1500,-200.0,0.0,SD,1953300.0,2743300.0,False,0.0,14:25:54
22900.0,2000,-200.0,0.0,SD,1953300.0,2741800.0,False,100.0,14:25:52
22800.0,10000,-300.0,0.0,SD,1953300.0,2739800.0,True,-100.0,14:25:50
22900.0,100,-200.0,0.0,BU,1953300.0,2729800.0,False,0.0,14:25:49
22900.0,2000,-200.0,0.0,BU,1953200.0,2729800.0,False,0.0,14:25:46
22900.0,100,-200.0,0.0,BU,1951200.0,2729800.0,False,100.0,14:25:45
22800.0,10300,-300.0,0.0,SD,1951100.0,2729800.0,True,0.0,14:25:42
22800.0,6000,-300.0,0.0,SD,1951100.0,2719500.0,False,-100.0,14:25:33
22900.0,1000,-200.0,0.0,BU,1951100.0,2713500.0,False,100.0,14:25:30
22800.0,1000,-300.0,0.0,SD,1950100.0,2713500.0,False,0.0,14:25:27
22800.0,1000,-300.0,0.0,SD,1950100.0,2712500.0,False,-100.0,14:25:25
22900.0,500,-200.0,0.0,BU,1950100.0,2711500.0,False,0.0,14:25:18
22900.0,300,-200.0,0.0,BU,1949600.0,2711500.0,False,100.0,14:25:14
22800.0,2000,-300.0,0.0,SD,1949300.0,2711500.0,False,-100.0,14:25:12
22900.0,200,-200.0,0.0,BU,1949300.0,2709500.0,False,100.0,14:25:08
22800.0,1800,-300.0,0.0,SD,1949100.0,2709500.0,False,-100.0,14:24:59
22900.0,2700,-200.0,0.0,BU,1949100.0,2707700.0,False,0.0,14:24:58
22900.0,4000,-200.0,0.0,SD,1946400.0,2707700.0,False,0.0,14:24:57
22900.0,3000,-200.0,0.0,SD,1946400.0,2703700.0,False,0.0,14:24:49
22900.0,2000,-200.0,0.0,SD,1946400.0,2700700.0,False,0.0,14:24:43
22900.0,100,-200.0,0.0,SD,1946400.0,2698700.0,False,0.0,14:24:39
22900.0,2300,-200.0,0.0,SD,1946400.0,2698600.0,False,0.0,14:24:36
22900.0,500,-200.0,0.0,SD,1946400.0,2696300.0,False,100.0,14:24:28
22800.0,5000,-300.0,0.0,SD,1946400.0,2695800.0,False,-100.0,14:24:25
22900.0,1400,-200.0,0.0,BU,1946400.0,2690800.0,False,100.0,14:24:19
22800.0,100,-300.0,0.0,SD,1945000.0,2690800.0,False,0.0,14:24:16
22800.0,500,-300.0,0.0,SD,1945000.0,2690700.0,False,100.0,14:24:13
22700.0,300,-400.0,0.0,SD,1945000.0,2690200.0,False,0.0,14:24:06
22700.0,5000,-400.0,0.0,SD,1945000.0,2689900.0,False,-100.0,14:24:04
22800.0,8500,-300.0,0.0,BU,1945000.0,2684900.0,False,100.0,14:24:00
22700.0,1100,-400.0,0.0,SD,1936500.0,2684900.0,False,0.0,14:23:59
22700.0,100,-400.0,0.0,BU,1936500.0,2683800.0,False,0.0,14:23:56
22700.0,400,-400.0,0.0,BU,1936400.0,2683800.0,False,0.0,14:23:55
22700.0,100,-400.0,0.0,BU,1936000.0,2683800.0,False,0.0,14:23:53
22700.0,1000,-400.0,0.0,BU,1935900.0,2683800.0,False,200.0,14:23:52
22500.0,20100,-600.0,0.0,SD,1934900.0,2683800.0,True,-200.0,14:23:51
22700.0,13000,-400.0,0.0,BU,1934900.0,2663700.0,True,0.0,14:23:47
22700.0,500,-400.0,0.0,BU,1921900.0,2663700.0,False,-100.0,14:23:44
22800.0,40000,-300.0,0.0,BU,1921400.0,2663700.0,True,100.0,14:23:35
22700.0,300,-400.0,0.0,SD,1881400.0,2663700.0,False,0.0,14:23:33
22700.0,200,-400.0,0.0,SD,1881400.0,2663400.0,False,0.0,14:23:32
22700.0,1000,-400.0,0.0,SD,1881400.0,2663200.0,False,0.0,14:23:29
22700.0,1000,-400.0,0.0,SD,1881400.0,2662200.0,False,0.0,14:23:24
22700.0,2000,-400.0,0.0,SD,1881400.0,2661200.0,False,0.0,14:23:22
22700.0,17500,-400.0,0.0,SD,1881400.0,2659200.0,True,0.0,14:23:19
22700.0,600,-400.0,0.0,BU,1881400.0,2641700.0,False,300.0,14:23:18
22400.0,30000,-700.0,0.0,SD,1880800.0,2641700.0,True,-300.0,14:23:17
22700.0,200,-400.0,0.0,BU,1880800.0,2611700.0,False,0.0,14:23:15
22700.0,6700,-400.0,0.0,BU,1880600.0,2611700.0,False,200.0,14:23:14
22500.0,20000,-600.0,0.0,SD,1873900.0,2611700.0,True,-200.0,14:23:13
22700.0,1000,-400.0,0.0,BU,1873900.0,2591700.0,False,0.0,14:23:11
22700.0,6000,-400.0,0.0,BU,1872900.0,2591700.0,False,0.0,14:23:09
22700.0,11600,-400.0,0.0,BU,1866900.0,2591700.0,True,0.0,14:23:05
22700.0,10000,-400.0,0.0,SD,1855300.0,2591700.0,True,0.0,14:23:04
22700.0,300,-400.0,0.0,SD,1855300.0,2581700.0,False,-100.0,14:23:01
22800.0,400,-300.0,0.0,BU,1855300.0,2581400.0,False,0.0,14:22:58
22800.0,3000,-300.0,0.0,BU,1854900.0,2581400.0,False,100.0,14:22:56
22700.0,10000,-400.0,0.0,SD,1851900.0,2581400.0,True,-100.0,14:22:53
22800.0,700,-300.0,0.0,BU,1851900.0,2571400.0,False,0.0,14:22:51
22800.0,100,-300.0,0.0,BU,1851200.0,2571400.0,False,0.0,14:22:47
22800.0,200,-300.0,0.0,BU,1851100.0,2571400.0,False,0.0,14:22:46
22800.0,500,-300.0,0.0,BU,1850900.0,2571400.0,False,0.0,14:22:44
22800.0,200,-300.0,0.0,BU,1850400.0,2571400.0,False,0.0,14:22:42
22800.0,200,-300.0,0.0,BU,1850200.0,2571400.0,False,0.0,14:22:40
22800.0,1000,-300.0,0.0,BU,1850000.0,2571400.0,False,0.0,14:22:38
22800.0,40100,-300.0,0.0,BU,1849000.0,2571400.0,True,0.0,14:22:36
22800.0,1000,-300.0,0.0,BU,1808900.0,2571400.0,False,0.0,14:22:32
22800.0,1700,-300.0,0.0,BU,1807900.0,2571400.0,False,0.0,14:22:30
22800.0,1000,-300.0,0.0,BU,1806200.0,2571400.0,False,0.0,14:22:29
22800.0,3500,-300.0,0.0,SD,1805200.0,2571400.0,False,0.0,14:22:27
22800.0,100,-300.0,0.0,SD,1805200.0,2567900.0,False,0.0,14:22:24
22800.0,1400,-300.0,0.0,SD,1805200.0,2567800.0,False,0.0,14:22:23
22800.0,5000,-300.0,0.0,BU,1805200.0,2566400.0,False,0.0,14:22:19
22800.0,100,-300.0,0.0,BU,1800200.0,2566400.0,False,0.0,14:22:18
22800.0,1000,-300.0,0.0,BU,1800100.0,2566400.0,False,0.0,14:22:14
22800.0,2800,-300.0,0.0,BU,1799100.0,2566400.0,False,0.0,14:22:12
22800.0,10000,-300.0,0.0,SD,1796300.0,2566400.0,True,-100.0,14:22:07
22900.0,100,-200.0,0.0,SD,1796300.0,2556400.0,False,0.0,14:22:01
22900.0,1100,-200.0,0.0,SD,1796300.0,2556300.0,False,100.0,14:21:58
22800.0,1000,-300.0,0.0,SD,1796300.0,2555200.0,False,0.0,14:21:50
22800.0,500,-300.0,0.0,SD,1796300.0,2554200.0,False,0.0,14:21:49
22800.0,500,-300.0,0.0,BU,1796300.0,2553700.0,False,100.0,14:21:44
22700.0,400,-400.0,0.0,SD,1795800.0,2553700.0,False,-100.0,14:21:43
22800.0,1300,-300.0,0.0,BU,1795800.0,2553300.0,False,0.0,14:21:41
22800.0,1500,-300.0,0.0,BU,1794500.0,2553300.0,False,0.0,14:21:40
22800.0,4700,-300.0,0.0,BU,1793000.0,2553300.0,False,-100.0,14:21:37
22900.0,2000,-200.0,0.0,BU,1788300.0,2553300.0,False,100.0,14:21:33
22800.0,38800,-300.0,0.0,SD,1786300.0,2553300.0,True,-100.0,14:21:31
22900.0,11200,-200.0,0.0,SD,1786300.0,2514500.0,True,0.0,14:21:14
22900.0,100,-200.0,0.0,SD,1786300.0,2503300.0,False,-100.0,14:21:06
23000.0,100,-100.0,0.0,BU,1786300.0,2503200.0,False,100.0,14:21:01
