p,v,cp,rcp,a,ba,sa,hl,pcp,t
80100.0,46700,-900.0,0.0,,565800.0,991300.0,False,-200.0,14:45:00
80300.0,100,-700.0,0.0,SD,565800.0,991300.0,False,-700.0,14:29:24
81000.0,100,0.0,0.0,BU,565800.0,991200.0,False,500.0,14:29:23
80500.0,100,-500.0,0.0,BU,565700.0,991200.0,False,400.0,14:29:06
80100.0,100,-900.0,0.0,SD,565600.0,991200.0,False,0.0,14:28:15
80100.0,700,-900.0,0.0,SD,565600.0,991100.0,False,-100.0,14:28:15
80200.0,200,-800.0,0.0,BU,565600.0,990400.0,False,-800.0,14:28:15
81000.0,2000,0.0,0.0,BU,565400.0,990400.0,False,0.0,14:28:05
81000.0,200,0.0,0.0,BU,563400.0,990400.0,False,0.0,14:28:05
81000.0,100,0.0,0.0,BU,563200.0,990400.0,False,0.0,14:28:05
81000.0,300,0.0,0.0,BU,563100.0,990400.0,False,0.0,14:28:05
81000.0,2200,0.0,0.0,BU,562800.0,990400.0,False,0.0,14:28:05
81000.0,1100,0.0,0.0,BU,560600.0,990400.0,False,100.0,14:28:05
80900.0,200,-100.0,0.0,BU,559500.0,990400.0,False,0.0,14:28:05
80900.0,300,-100.0,0.0,BU,559300.0,990400.0,False,100.0,14:28:05
80800.0,100,-200.0,0.0,BU,559000.0,990400.0,False,0.0,14:28:05
80800.0,500,-200.0,0.0,BU,558900.0,990400.0,False,0.0,14:28:05
80800.0,1000,-200.0,0.0,BU,558400.0,990400.0,False,100.0,14:28:05
80700.0,600,-300.0,0.0,BU,557400.0,990400.0,False,300.0,14:28:05
80400.0,1000,-600.0,0.0,BU,556800.0,990400.0,False,100.0,14:28:05
80300.0,400,-700.0,0.0,BU,555800.0,990400.0,False,200.0,14:28:05
80100.0,1000,-900.0,0.0,SD,555400.0,990400.0,False,0.0,14:28:00
80100.0,300,-900.0,0.0,SD,555400.0,989400.0,False,0.0,14:28:00
80100.0,100,-900.0,0.0,SD,555400.0,989100.0,False,0.0,14:28:00
80100.0,2500,-900.0,0.0,SD,555400.0,989000.0,True,0.0,14:28:00
80100.0,500,-900.0,0.0,SD,555400.0,986500.0,False,0.0,14:28:00
80100.0,100,-900.0,0.0,SD,555400.0,986000.0,False,0.0,14:28:00
80100.0,100,-900.0,0.0,SD,555400.0,985900.0,False,0.0,14:28:00
80100.0,100,-900.0,0.0,SD,555400.0,985800.0,False,0.0,14:28:00
80100.0,300,-900.0,0.0,SD,555400.0,985700.0,False,-200.0,14:28:00
80300.0,400,-700.0,0.0,BU,555400.0,985400.0,False,0.0,14:28:00
80300.0,600,-700.0,0.0,BU,555000.0,985400.0,False,200.0,14:28:00
80100.0,700,-900.0,0.0,BU,554400.0,985400.0,False,0.0,14:27:45
80100.0,500,-900.0,0.0,BU,553700.0,985400.0,False,0.0,14:27:38
80100.0,100,-900.0,0.0,BU,553200.0,985400.0,False,0.0,14:27:38
80100.0,100,-900.0,0.0,BU,553100.0,985400.0,False,0.0,14:27:38
80100.0,300,-900.0,0.0,SD,553000.0,985400.0,False,0.0,14:27:29
