p,v,cp,rcp,a,ba,sa,hl,pcp,t
23500.0,63300,500.0,0.0,,248500.0,733400.0,False,-50.0,14:45:02
23550.0,200,550.0,0.0,BU,248500.0,733400.0,False,50.0,14:29:53
23500.0,500,500.0,0.0,SD,248300.0,733400.0,False,0.0,14:29:45
23500.0,4400,500.0,0.0,SD,248300.0,732900.0,False,0.0,14:28:49
23500.0,1000,500.0,0.0,SD,248300.0,728500.0,False,0.0,14:28:39
23500.0,7500,500.0,0.0,SD,248300.0,727500.0,False,0.0,14:28:18
23500.0,200,500.0,0.0,SD,248300.0,720000.0,False,0.0,14:27:09
23500.0,3000,500.0,0.0,SD,248300.0,719800.0,False,0.0,14:27:09
23500.0,14500,500.0,0.0,SD,248300.0,716800.0,True,0.0,14:26:54
23500.0,10000,500.0,0.0,SD,248300.0,702300.0,True,-50.0,14:26:54
23550.0,100,550.0,0.0,BU,248300.0,692300.0,False,0.0,14:26:01
23550.0,400,550.0,0.0,BU,248200.0,692300.0,False,50.0,14:26:01
23500.0,20000,500.0,0.0,SD,247800.0,692300.0,True,0.0,14:25:38
23500.0,4000,500.0,0.0,SD,247800.0,672300.0,False,0.0,14:25:35
23500.0,1600,500.0,0.0,SD,247800.0,668300.0,False,0.0,14:25:33
23500.0,100,500.0,0.0,SD,247800.0,666700.0,False,0.0,14:25:26
23500.0,1000,500.0,0.0,SD,247800.0,666600.0,False,0.0,14:24:49
23500.0,1000,500.0,0.0,SD,247800.0,665600.0,False,0.0,14:24:37
23500.0,2000,500.0,0.0,SD,247800.0,664600.0,False,0.0,14:24:15
23500.0,2000,500.0,0.0,SD,247800.0,662600.0,False,0.0,14:24:01
23500.0,6000,500.0,0.0,SD,247800.0,660600.0,False,-50.0,14:23:54
23550.0,1000,550.0,0.0,BU,247800.0,654600.0,False,50.0,14:23:48
23500.0,4400,500.0,0.0,SD,246800.0,654600.0,False,0.0,14:23:46
23500.0,500,500.0,0.0,SD,246800.0,650200.0,False,0.0,14:23:31
23500.0,20200,500.0,0.0,SD,246800.0,649700.0,True,0.0,14:23:19
23500.0,2000,500.0,0.0,SD,246800.0,629500.0,False,0.0,14:23:15
23500.0,1000,500.0,0.0,SD,246800.0,627500.0,False,0.0,14:23:11
23500.0,900,500.0,0.0,SD,246800.0,626500.0,False,0.0,14:23:09
23500.0,700,500.0,0.0,SD,246800.0,625600.0,False,0.0,14:23:09
23500.0,3800,500.0,0.0,SD,246800.0,624900.0,False,0.0,14:23:07
23500.0,25000,500.0,0.0,SD,246800.0,621100.0,True,0.0,14:23:05
23500.0,17700,500.0,0.0,SD,246800.0,596100.0,True,0.0,14:23:02
