p,v,cp,rcp,a,ba,sa,hl,pcp,t
11700.0,3000,0.0,0.0,,108100.0,241800.0,False,100.0,14:45:02
11600.0,500,-100.0,0.0,SD,108100.0,241800.0,False,0.0,14:26:19
11600.0,4000,-100.0,0.0,SD,108100.0,241300.0,False,0.0,14:25:41
11600.0,3000,-100.0,0.0,SD,108100.0,237300.0,False,0.0,14:25:16
11600.0,1000,-100.0,0.0,SD,108100.0,234300.0,False,0.0,14:25:05
11600.0,5000,-100.0,0.0,SD,108100.0,233300.0,False,0.0,14:20:46
11600.0,3000,-100.0,0.0,SD,108100.0,228300.0,False,0.0,14:20:24
11600.0,20000,-100.0,0.0,SD,108100.0,225300.0,True,0.0,14:19:37
11600.0,700,-100.0,0.0,SD,108100.0,205300.0,False,0.0,14:19:26
11600.0,200,-100.0,0.0,SD,108100.0,204600.0,False,-100.0,14:18:22
11700.0,100,0.0,0.0,SD,108100.0,204400.0,False,0.0,14:18:16
11700.0,3300,0.0,0.0,SD,108100.0,204300.0,False,0.0,14:16:22
11700.0,400,0.0,0.0,SD,108100.0,201000.0,False,0.0,14:15:51
11700.0,2000,0.0,0.0,BU,108100.0,200600.0,False,100.0,14:15:47
11600.0,2500,-100.0,0.0,SD,106100.0,200600.0,False,-100.0,14:15:46
11700.0,2900,0.0,0.0,BU,106100.0,198100.0,False,100.0,14:15:30
11600.0,100,-100.0,0.0,SD,103200.0,198100.0,False,-100.0,14:14:27
11700.0,2400,0.0,0.0,BU,103200.0,198000.0,False,0.0,14:13:14
11700.0,1000,0.0,0.0,BU,100800.0,198000.0,False,100.0,14:12:52
11600.0,6000,-100.0,0.0,SD,99800.0,198000.0,False,0.0,14:12:20
11600.0,2000,-100.0,0.0,SD,99800.0,192000.0,False,-100.0,14:10:10
11700.0,7300,0.0,0.0,SD,99800.0,190000.0,False,0.0,14:06:26
11700.0,20000,0.0,0.0,SD,99800.0,182700.0,True,0.0,14:05:55
11700.0,600,0.0,0.0,SD,99800.0,162700.0,False,0.0,14:05:26
11700.0,500,0.0,0.0,SD,99800.0,162100.0,False,0.0,14:05:14
11700.0,15300,0.0,0.0,SD,99800.0,161600.0,False,0.0,14:05:10
11700.0,5000,0.0,0.0,SD,99800.0,146300.0,False,0.0,14:05:05
11700.0,1000,0.0,0.0,SD,99800.0,141300.0,False,0.0,14:04:58
11700.0,1500,0.0,0.0,SD,99800.0,140300.0,False,0.0,14:03:42
11700.0,400,0.0,0.0,SD,99800.0,138800.0,False,0.0,14:02:00
11700.0,1000,0.0,0.0,SD,99800.0,138400.0,False,0.0,14:01:54
11700.0,300,0.0,0.0,SD,99800.0,137400.0,False,0.0,13:57:50
11700.0,1500,0.0,0.0,SD,99800.0,137100.0,False,0.0,13:57:29
11700.0,100,0.0,0.0,SD,99800.0,135600.0,False,-100.0,13:57:14
11800.0,1000,100.0,0.0,BU,99800.0,135500.0,False,100.0,13:49:37
11700.0,3000,0.0,0.0,SD,98800.0,135500.0,False,0.0,13:47:29
11700.0,2500,0.0,0.0,SD,98800.0,132500.0,False,0.0,13:46:11
11700.0,3000,0.0,0.0,SD,98800.0,130000.0,False,0.0,13:45:56
11700.0,100,0.0,0.0,SD,98800.0,127000.0,False,0.0,13:39:17
11700.0,12000,0.0,0.0,BU,98800.0,126900.0,False,100.0,13:38:43
11600.0,6900,-100.0,0.0,SD,86800.0,126900.0,False,0.0,13:38:37
11600.0,2000,-100.0,0.0,SD,86800.0,120000.0,False,0.0,13:37:43
11600.0,100,-100.0,0.0,SD,86800.0,118000.0,False,-100.0,13:35:56
11700.0,100,0.0,0.0,BU,86800.0,117900.0,False,100.0,13:32:24
11600.0,100,-100.0,0.0,SD,86700.0,117900.0,False,-100.0,13:32:02
11700.0,10000,0.0,0.0,BU,86700.0,117800.0,False,0.0,13:31:50
11700.0,1200,0.0,0.0,BU,76700.0,117800.0,False,0.0,13:31:30
11700.0,1800,0.0,0.0,BU,75500.0,117800.0,False,0.0,13:30:40
11700.0,100,0.0,0.0,SD,73700.0,117800.0,False,0.0,13:27:54
11700.0,13100,0.0,0.0,SD,73700.0,117700.0,False,0.0,13:27:10
11700.0,7400,0.0,0.0,SD,73700.0,104600.0,False,0.0,13:24:26
11700.0,20000,0.0,0.0,SD,73700.0,97200.0,True,0.0,13:23:55
11700.0,1000,0.0,0.0,SD,73700.0,77200.0,False,0.0,13:20:29
11700.0,1000,0.0,0.0,SD,73700.0,76200.0,False,0.0,13:18:49
11700.0,100,0.0,0.0,SD,73700.0,75200.0,False,0.0,13:13:45
11700.0,100,0.0,0.0,SD,73700.0,75100.0,False,0.0,13:13:11
11700.0,200,0.0,0.0,SD,73700.0,75000.0,False,-100.0,13:04:50
11800.0,200,100.0,0.0,BU,73700.0,74800.0,False,100.0,13:04:11
11700.0,4400,0.0,0.0,SD,73500.0,74800.0,False,0.0,13:02:24
11700.0,400,0.0,0.0,SD,73500.0,70400.0,False,0.0,13:00:18
11700.0,2000,0.0,0.0,SD,73500.0,70000.0,False,0.0,13:00:06
11700.0,200,0.0,0.0,SD,73500.0,68000.0,False,0.0,13:00:05
11700.0,2100,0.0,0.0,SD,73500.0,67800.0,False,-100.0,13:00:04
11800.0,200,100.0,0.0,BU,73500.0,65700.0,False,0.0,11:27:15
11800.0,10000,100.0,0.0,BU,73300.0,65700.0,False,0.0,11:25:29
11800.0,100,100.0,0.0,BU,63300.0,65700.0,False,0.0,11:23:45
11800.0,1500,100.0,0.0,BU,63200.0,65700.0,False,0.0,11:22:10
