p,v,cp,rcp,a,ba,sa,hl,pcp,t
37900.0,134900,-400.0,0.0,,990200.0,1582900.0,False,-200.0,14:45:00
38100.0,500,-200.0,0.0,BU,990200.0,1582900.0,False,100.0,14:29:51
38000.0,400,-300.0,0.0,SD,989700.0,1582900.0,False,0.0,14:29:32
38000.0,200,-300.0,0.0,SD,989700.0,1582500.0,False,0.0,14:29:32
38000.0,100,-300.0,0.0,SD,989700.0,1582300.0,False,0.0,14:29:27
38000.0,500,-300.0,0.0,BU,989700.0,1582200.0,False,0.0,14:29:08
38000.0,2000,-300.0,0.0,BU,989200.0,1582200.0,False,0.0,14:29:08
38000.0,1000,-300.0,0.0,BU,987200.0,1582200.0,False,0.0,14:29:08
38000.0,1500,-300.0,0.0,BU,986200.0,1582200.0,False,0.0,14:29:08
38000.0,1000,-300.0,0.0,BU,984700.0,1582200.0,False,50.0,14:29:03
37950.0,100,-350.0,0.0,BU,983700.0,1582200.0,False,0.0,14:28:55
37950.0,100,-350.0,0.0,BU,983600.0,1582200.0,False,0.0,14:28:54
37950.0,1000,-350.0,0.0,BU,983500.0,1582200.0,False,0.0,14:28:54
37950.0,200,-350.0,0.0,SD,982500.0,1582200.0,False,0.0,14:28:51
37950.0,5000,-350.0,0.0,SD,982500.0,1582000.0,False,0.0,14:28:51
37950.0,200,-350.0,0.0,SD,982500.0,1577000.0,False,0.0,14:28:51
37950.0,100,-350.0,0.0,SD,982500.0,1576800.0,False,0.0,14:28:51
37950.0,500,-350.0,0.0,SD,982500.0,1576700.0,False,-50.0,14:28:51
38000.0,2500,-300.0,0.0,BU,982500.0,1576200.0,False,0.0,14:28:47
38000.0,500,-300.0,0.0,BU,980000.0,1576200.0,False,50.0,14:28:47
37950.0,1700,-350.0,0.0,SD,979500.0,1576200.0,False,0.0,14:28:41
37950.0,500,-350.0,0.0,BU,979500.0,1574500.0,False,0.0,14:28:33
37950.0,9000,-350.0,0.0,BU,979000.0,1574500.0,True,0.0,14:28:21
37950.0,1000,-350.0,0.0,BU,970000.0,1574500.0,False,50.0,14:28:21
37900.0,100,-400.0,0.0,BU,969000.0,1574500.0,False,-50.0,14:28:12
37950.0,1000,-350.0,0.0,BU,968900.0,1574500.0,False,150.0,14:28:12
