p,v,cp,rcp,a,ba,sa,hl,pcp,t
29500.0,68200,-350.0,0.0,,531700.0,1056200.0,False,0.0,14:45:01
29500.0,16700,-350.0,0.0,BU,531700.0,1056200.0,True,-100.0,14:29:32
29600.0,6500,-250.0,0.0,BU,515000.0,1056200.0,False,150.0,14:29:32
29450.0,100,-400.0,0.0,SD,508500.0,1056200.0,False,0.0,14:29:18
29450.0,500,-400.0,0.0,SD,508500.0,1056100.0,False,0.0,14:29:18
29450.0,100,-400.0,0.0,SD,508500.0,1055600.0,False,-50.0,14:29:18
29500.0,1500,-350.0,0.0,BU,508500.0,1055500.0,False,0.0,14:29:15
29500.0,1000,-350.0,0.0,BU,507000.0,1055500.0,False,0.0,14:29:15
29500.0,500,-350.0,0.0,BU,506000.0,1055500.0,False,0.0,14:29:15
29500.0,300,-350.0,0.0,BU,505500.0,1055500.0,False,0.0,14:29:15
29500.0,500,-350.0,0.0,BU,505200.0,1055500.0,False,0.0,14:29:15
29500.0,100,-350.0,0.0,BU,504700.0,1055500.0,False,0.0,14:29:15
29500.0,900,-350.0,0.0,BU,504600.0,1055500.0,False,0.0,14:29:15
29500.0,100,-350.0,0.0,BU,503700.0,1055500.0,False,0.0,14:29:15
29500.0,1000,-350.0,0.0,BU,503600.0,1055500.0,False,0.0,14:29:15
29500.0,100,-350.0,0.0,BU,502600.0,1055500.0,False,0.0,14:29:15
29500.0,3000,-350.0,0.0,BU,502500.0,1055500.0,False,0.0,14:29:15
29500.0,500,-350.0,0.0,BU,499500.0,1055500.0,False,0.0,14:29:15
29500.0,100,-350.0,0.0,BU,499000.0,1055500.0,False,-50.0,14:29:15
29550.0,1000,-300.0,0.0,BU,498900.0,1055500.0,False,0.0,14:29:15
29550.0,100,-300.0,0.0,BU,497900.0,1055500.0,False,0.0,14:29:15
29550.0,100,-300.0,0.0,BU,497800.0,1055500.0,False,0.0,14:29:15
29550.0,500,-300.0,0.0,BU,497700.0,1055500.0,False,0.0,14:29:15
29550.0,500,-300.0,0.0,BU,497200.0,1055500.0,False,0.0,14:29:15
29550.0,400,-300.0,0.0,BU,496700.0,1055500.0,False,0.0,14:29:15
29550.0,500,-300.0,0.0,BU,496300.0,1055500.0,False,0.0,14:29:15
29550.0,200,-300.0,0.0,BU,495800.0,1055500.0,False,0.0,14:29:15
29550.0,400,-300.0,0.0,BU,495600.0,1055500.0,False,0.0,14:29:15
29550.0,1600,-300.0,0.0,SD,495200.0,1055500.0,False,0.0,14:29:12
29550.0,200,-300.0,0.0,SD,495200.0,1053900.0,False,-50.0,14:29:12
29600.0,1000,-250.0,0.0,BU,495200.0,1053700.0,False,50.0,14:28:52
29550.0,500,-300.0,0.0,SD,494200.0,1053700.0,False,0.0,14:28:42
29550.0,2000,-300.0,0.0,SD,494200.0,1053200.0,False,-50.0,14:28:34
29600.0,200,-250.0,0.0,BU,494200.0,1051200.0,False,0.0,14:28:30
29600.0,400,-250.0,0.0,BU,494000.0,1051200.0,False,0.0,14:28:14
29600.0,300,-250.0,0.0,BU,493600.0,1051200.0,False,0.0,14:28:06
29600.0,500,-250.0,0.0,BU,493300.0,1051200.0,False,0.0,14:28:01
29600.0,1500,-250.0,0.0,BU,492800.0,1051200.0,False,0.0,14:27:54
29600.0,300,-250.0,0.0,BU,491300.0,1051200.0,False,0.0,14:27:41
29600.0,300,-250.0,0.0,BU,491000.0,1051200.0,False,0.0,14:27:35
29600.0,100,-250.0,0.0,BU,490700.0,1051200.0,False,50.0,14:27:15
29550.0,1000,-300.0,0.0,BU,490600.0,1051200.0,False,0.0,14:26:57
29550.0,1000,-300.0,0.0,BU,489600.0,1051200.0,False,0.0,14:26:57
29550.0,300,-300.0,0.0,BU,488600.0,1051200.0,False,0.0,14:26:57
29550.0,800,-300.0,0.0,BU,488300.0,1051200.0,False,0.0,14:26:55
29550.0,1200,-300.0,0.0,BU,487500.0,1051200.0,False,0.0,14:26:52
29550.0,500,-300.0,0.0,BU,486300.0,1051200.0,False,0.0,14:26:42
29550.0,500,-300.0,0.0,BU,485800.0,1051200.0,False,0.0,14:26:31
29550.0,500,-300.0,0.0,BU,485300.0,1051200.0,False,50.0,14:26:31
29500.0,2000,-350.0,0.0,SD,484800.0,1051200.0,False,-50.0,14:26:22
29550.0,100,-300.0,0.0,BU,484800.0,1049200.0,False,0.0,14:26:20
