p,v,cp,rcp,a,ba,sa,hl,pcp,t
25400.0,33500,-200.0,0.0,,681100.0,773800.0,False,-100.0,14:45:01
25500.0,3000,-100.0,0.0,BU,681100.0,773800.0,False,0.0,14:29:45
25500.0,5000,-100.0,0.0,BU,678100.0,773800.0,False,0.0,14:29:45
25500.0,5200,-100.0,0.0,BU,673100.0,773800.0,False,0.0,14:29:45
25500.0,500,-100.0,0.0,BU,667900.0,773800.0,False,0.0,14:29:40
25500.0,100,-100.0,0.0,BU,667400.0,773800.0,False,0.0,14:29:27
25500.0,500,-100.0,0.0,BU,667300.0,773800.0,False,0.0,14:29:08
25500.0,500,-100.0,0.0,BU,666800.0,773800.0,False,0.0,14:29:00
25500.0,500,-100.0,0.0,BU,666300.0,773800.0,False,100.0,14:28:48
25400.0,200,-200.0,0.0,SD,665800.0,773800.0,False,0.0,14:28:47
25400.0,4800,-200.0,0.0,SD,665800.0,773600.0,False,0.0,14:28:47
25400.0,600,-200.0,0.0,SD,665800.0,768800.0,False,0.0,14:28:47
25400.0,2000,-200.0,0.0,SD,665800.0,768200.0,False,0.0,14:28:47
25400.0,1000,-200.0,0.0,SD,665800.0,766200.0,False,-50.0,14:28:47
25450.0,400,-150.0,0.0,SD,665800.0,765200.0,False,0.0,14:28:47
25450.0,200,-150.0,0.0,SD,665800.0,764800.0,False,0.0,14:28:47
25450.0,400,-150.0,0.0,SD,665800.0,764600.0,False,0.0,14:28:47
25450.0,100,-150.0,0.0,SD,665800.0,764200.0,False,-50.0,14:28:23
25500.0,100,-100.0,0.0,BU,665800.0,764100.0,False,0.0,14:28:05
25500.0,2000,-100.0,0.0,BU,665700.0,764100.0,False,0.0,14:28:03
25500.0,1000,-100.0,0.0,BU,663700.0,764100.0,False,0.0,14:28:01
25500.0,900,-100.0,0.0,BU,662700.0,764100.0,False,50.0,14:27:51
25450.0,1000,-150.0,0.0,BU,661800.0,764100.0,False,0.0,14:27:51
25450.0,100,-150.0,0.0,BU,660800.0,764100.0,False,50.0,14:27:51
25400.0,1000,-200.0,0.0,BU,660700.0,764100.0,False,100.0,14:27:00
25300.0,300,-300.0,0.0,SD,659700.0,764100.0,False,0.0,14:26:40
25300.0,100,-300.0,0.0,SD,659700.0,763800.0,False,0.0,14:26:29
25300.0,600,-300.0,0.0,SD,659700.0,763700.0,False,0.0,14:26:23
