p,v,cp,rcp,a,ba,sa,hl,pcp,t
39200.0,400,600.0,0.0,,4800.0,8900.0,False,600.0,14:45:02
38600.0,4000,0.0,0.0,SD,4800.0,8900.0,False,-400.0,14:20:39
39000.0,100,400.0,0.0,SD,4800.0,4900.0,False,0.0,14:19:53
39000.0,300,400.0,0.0,SD,4800.0,4800.0,False,0.0,14:09:38
39000.0,1300,400.0,0.0,SD,4800.0,4500.0,False,-200.0,14:06:55
39200.0,100,600.0,0.0,BU,4800.0,3200.0,False,0.0,13:50:54
39200.0,100,600.0,0.0,BU,4700.0,3200.0,False,0.0,13:22:36
39200.0,200,600.0,0.0,BU,4600.0,3200.0,False,0.0,13:18:02
39200.0,100,600.0,0.0,BU,4400.0,3200.0,False,0.0,13:12:05
39200.0,100,600.0,0.0,SD,4300.0,3200.0,False,0.0,13:08:35
39200.0,2000,600.0,0.0,SD,4300.0,3100.0,False,-600.0,11:04:18
39800.0,1500,1200.0,0.0,BU,4300.0,1100.0,False,0.0,10:49:14
39800.0,100,1200.0,0.0,BU,2800.0,1100.0,False,200.0,10:16:51
39600.0,500,1000.0,0.0,BU,2700.0,1100.0,False,0.0,10:07:46
39600.0,500,1000.0,0.0,BU,2200.0,1100.0,False,0.0,10:05:11
39600.0,300,1000.0,0.0,BU,1700.0,1100.0,False,0.0,10:04:43
39600.0,500,1000.0,0.0,SD,1400.0,1100.0,False,0.0,10:01:59
39600.0,1200,1000.0,0.0,BU,1400.0,600.0,False,0.0,09:57:28
39600.0,100,1000.0,0.0,BU,200.0,600.0,False,600.0,09:56:37
39000.0,100,400.0,0.0,BU,100.0,600.0,False,400.0,09:47:19
38600.0,100,0.0,0.0,SD,0.0,600.0,False,0.0,09:36:00
38600.0,500,0.0,0.0,SD,0.0,500.0,False,0.0,09:24:47
