p,v,cp,rcp,a,ba,sa,hl,pcp,t
11600.0,100,100.0,0.0,BU,8800.0,19300.0,False,100.0,14:46:47
11500.0,400,0.0,0.0,SD,8700.0,19300.0,False,-100.0,14:39:31
11600.0,300,100.0,0.0,SD,8700.0,18900.0,False,-100.0,14:11:59
11700.0,100,200.0,0.0,BU,8700.0,18600.0,False,200.0,13:46:53
11500.0,200,0.0,0.0,SD,8600.0,18600.0,False,-200.0,13:41:43
11700.0,100,200.0,0.0,BU,8600.0,18400.0,False,200.0,13:31:51
11500.0,7000,0.0,0.0,SD,8500.0,18400.0,False,0.0,13:27:49
11500.0,800,0.0,0.0,SD,8500.0,11400.0,False,-100.0,13:15:07
11600.0,500,100.0,0.0,SD,8500.0,10600.0,False,-100.0,13:14:25
11700.0,200,200.0,0.0,BU,8500.0,10100.0,False,0.0,13:09:23
11700.0,500,200.0,0.0,BU,8300.0,10100.0,False,0.0,13:00:03
11700.0,200,200.0,0.0,BU,7800.0,10100.0,False,0.0,11:24:18
11700.0,2900,200.0,0.0,SD,7600.0,10100.0,False,-100.0,11:21:36
11800.0,500,300.0,0.0,BU,7600.0,7200.0,False,0.0,11:15:57
11800.0,100,300.0,0.0,BU,7100.0,7200.0,False,100.0,11:06:26
11700.0,1900,200.0,0.0,SD,7000.0,7200.0,False,0.0,11:05:04
11700.0,100,200.0,0.0,BU,7000.0,5300.0,False,100.0,10:00:38
11600.0,100,100.0,0.0,SD,6900.0,5300.0,False,0.0,09:57:25
11600.0,300,100.0,0.0,BU,6900.0,5200.0,False,0.0,09:57:24
11600.0,100,100.0,0.0,BU,6600.0,5200.0,False,200.0,09:47:31
11400.0,3000,-100.0,0.0,SD,6500.0,5200.0,False,-100.0,09:42:33
11500.0,2000,0.0,0.0,SD,6500.0,2200.0,False,0.0,09:42:03
11500.0,200,0.0,0.0,SD,6500.0,200.0,False,0.0,09:40:12
11500.0,1500,0.0,0.0,BU,6500.0,0.0,False,0.0,09:39:23
11500.0,4900,0.0,0.0,BU,5000.0,0.0,False,-200.0,09:33:26
11700.0,100,200.0,0.0,BU,100.0,0.0,False,0.0,09:01:30
