p,v,cp,rcp,a,ba,sa,hl,pcp,t
31300.0,67600,100.0,0.0,,826800.0,681400.0,False,50.0,14:45:02
31250.0,3000,50.0,0.0,BU,826800.0,681400.0,False,-50.0,14:29:37
31300.0,100,100.0,0.0,BU,823800.0,681400.0,False,0.0,14:29:31
31300.0,5000,100.0,0.0,BU,823700.0,681400.0,False,0.0,14:29:21
31300.0,5000,100.0,0.0,BU,818700.0,681400.0,False,0.0,14:29:07
31300.0,200,100.0,0.0,BU,813700.0,681400.0,False,50.0,14:28:48
31250.0,500,50.0,0.0,BU,813500.0,681400.0,False,-50.0,14:28:33
31300.0,1600,100.0,0.0,BU,813000.0,681400.0,False,300.0,14:28:33
31000.0,500,-200.0,0.0,BU,811400.0,681400.0,False,50.0,14:28:33
30950.0,100,-250.0,0.0,SD,810900.0,681400.0,False,0.0,14:28:17
30950.0,100,-250.0,0.0,SD,810900.0,681300.0,False,0.0,14:28:14
30950.0,100,-250.0,0.0,SD,810900.0,681200.0,False,50.0,14:28:14
30900.0,100,-300.0,0.0,SD,810900.0,681100.0,False,0.0,14:27:43
30900.0,9900,-300.0,0.0,SD,810900.0,681000.0,True,50.0,14:27:43
30850.0,700,-350.0,0.0,SD,810900.0,671100.0,False,0.0,14:26:57
30850.0,400,-350.0,0.0,SD,810900.0,670400.0,False,0.0,14:26:57
30850.0,200,-350.0,0.0,SD,810900.0,670000.0,False,0.0,14:26:26
30850.0,300,-350.0,0.0,SD,810900.0,669800.0,False,-450.0,14:26:22
31300.0,700,100.0,0.0,BU,810900.0,669500.0,False,50.0,14:25:19
31250.0,100,50.0,0.0,BU,810200.0,669500.0,False,0.0,14:25:19
31250.0,1000,50.0,0.0,BU,810100.0,669500.0,False,-50.0,14:25:19
31300.0,1000,100.0,0.0,SD,809100.0,669500.0,False,0.0,14:23:33
31300.0,1000,100.0,0.0,SD,809100.0,668500.0,False,0.0,14:23:30
31300.0,4400,100.0,0.0,BU,809100.0,667500.0,False,50.0,14:23:20
31250.0,5000,50.0,0.0,BU,804700.0,667500.0,False,0.0,14:23:20
31250.0,3800,50.0,0.0,BU,799700.0,667500.0,False,50.0,14:23:20
31200.0,5000,0.0,0.0,BU,795900.0,667500.0,False,0.0,14:23:20
31200.0,200,0.0,0.0,BU,790900.0,667500.0,False,0.0,14:23:20
31200.0,2000,0.0,0.0,BU,790700.0,667500.0,False,0.0,14:23:20
31200.0,2500,0.0,0.0,BU,788700.0,667500.0,False,0.0,14:23:20
31200.0,800,0.0,0.0,BU,786200.0,667500.0,False,300.0,14:23:20
30900.0,1300,-300.0,0.0,BU,785400.0,667500.0,False,100.0,14:23:20
30800.0,400,-400.0,0.0,BU,784100.0,667500.0,False,0.0,14:23:20
30800.0,100,-400.0,0.0,SD,783700.0,667500.0,False,-100.0,14:23:16
30900.0,700,-300.0,0.0,SD,783700.0,667400.0,False,0.0,14:23:11
30900.0,1000,-300.0,0.0,SD,783700.0,666700.0,False,150.0,14:22:57
30750.0,700,-450.0,0.0,SD,783700.0,665700.0,False,-50.0,14:22:40
30800.0,1300,-400.0,0.0,BU,783700.0,665000.0,False,0.0,14:22:40
30800.0,100,-400.0,0.0,BU,782400.0,665000.0,False,0.0,14:22:33
30800.0,100,-400.0,0.0,BU,782300.0,665000.0,False,0.0,14:22:33
30800.0,500,-400.0,0.0,BU,782200.0,665000.0,False,0.0,14:22:33
30800.0,100,-400.0,0.0,BU,781700.0,665000.0,False,50.0,14:22:29
30750.0,2700,-450.0,0.0,SD,781600.0,665000.0,False,-50.0,14:22:26
30800.0,200,-400.0,0.0,BU,781600.0,662300.0,False,50.0,14:22:13
30750.0,200,-450.0,0.0,SD,781400.0,662300.0,False,-50.0,14:21:56
30800.0,200,-400.0,0.0,BU,781400.0,662100.0,False,0.0,14:21:55
30800.0,200,-400.0,0.0,BU,781200.0,662100.0,False,0.0,14:21:55
30800.0,100,-400.0,0.0,BU,781000.0,662100.0,False,0.0,14:21:48
30800.0,100,-400.0,0.0,BU,780900.0,662100.0,False,0.0,14:21:39
30800.0,500,-400.0,0.0,SD,780800.0,662100.0,False,0.0,14:21:38
30800.0,500,-400.0,0.0,SD,780800.0,661600.0,False,0.0,14:21:38
30800.0,300,-400.0,0.0,SD,780800.0,661100.0,False,0.0,14:21:38
30800.0,100,-400.0,0.0,SD,780800.0,660800.0,False,0.0,14:21:38
30800.0,100,-400.0,0.0,SD,780800.0,660700.0,False,0.0,14:21:38
30800.0,3100,-400.0,0.0,SD,780800.0,660600.0,False,-100.0,14:21:38
30900.0,400,-300.0,0.0,BU,780800.0,657500.0,False,0.0,14:21:24
30900.0,1600,-300.0,0.0,BU,780400.0,657500.0,False,100.0,14:21:22
30800.0,2000,-400.0,0.0,SD,778800.0,657500.0,False,0.0,14:21:18
30800.0,3900,-400.0,0.0,SD,778800.0,655500.0,False,0.0,14:21:06
30800.0,100,-400.0,0.0,SD,778800.0,651600.0,False,0.0,14:21:06
30800.0,200,-400.0,0.0,SD,778800.0,651500.0,False,0.0,14:21:06
30800.0,100,-400.0,0.0,SD,778800.0,651300.0,False,-50.0,14:21:06
30850.0,2000,-350.0,0.0,SD,778800.0,651200.0,False,0.0,14:21:06
30850.0,200,-350.0,0.0,SD,778800.0,649200.0,False,0.0,14:21:06
30850.0,200,-350.0,0.0,SD,778800.0,649000.0,False,-50.0,14:21:06
30900.0,2000,-300.0,0.0,SD,778800.0,648800.0,False,0.0,14:21:06
30900.0,100,-300.0,0.0,SD,778800.0,646800.0,False,0.0,14:21:06
30900.0,100,-300.0,0.0,SD,778800.0,646700.0,False,0.0,14:21:06
30900.0,100,-300.0,0.0,SD,778800.0,646600.0,False,-100.0,14:21:06
31000.0,700,-200.0,0.0,BU,778800.0,646500.0,False,0.0,14:20:50
31000.0,800,-200.0,0.0,BU,778100.0,646500.0,False,100.0,14:20:50
30900.0,100,-300.0,0.0,SD,777300.0,646500.0,False,0.0,14:20:49
30900.0,100,-300.0,0.0,SD,777300.0,646400.0,False,0.0,14:20:41
30900.0,400,-300.0,0.0,SD,777300.0,646300.0,False,0.0,14:20:41
30900.0,100,-300.0,0.0,SD,777300.0,645900.0,False,0.0,14:20:41
30900.0,200,-300.0,0.0,SD,777300.0,645800.0,False,0.0,14:20:41
30900.0,100,-300.0,0.0,SD,777300.0,645600.0,False,0.0,14:20:41
30900.0,100,-300.0,0.0,SD,777300.0,645500.0,False,0.0,14:20:41
30900.0,300,-300.0,0.0,SD,777300.0,645400.0,False,0.0,14:20:30
30900.0,200,-300.0,0.0,SD,777300.0,645100.0,False,0.0,14:20:30
30900.0,200,-300.0,0.0,SD,777300.0,644900.0,False,0.0,14:20:30
30900.0,100,-300.0,0.0,SD,777300.0,644700.0,False,0.0,14:20:30
30900.0,1000,-300.0,0.0,SD,777300.0,644600.0,False,0.0,14:20:30
30900.0,300,-300.0,0.0,SD,777300.0,643600.0,False,0.0,14:20:22
30900.0,100,-300.0,0.0,SD,777300.0,643300.0,False,0.0,14:20:15
30900.0,200,-300.0,0.0,SD,777300.0,643200.0,False,-100.0,14:20:07
31000.0,600,-200.0,0.0,BU,777300.0,643000.0,False,50.0,14:20:03
30950.0,400,-250.0,0.0,BU,776700.0,643000.0,False,0.0,14:20:03
30950.0,900,-250.0,0.0,BU,776300.0,643000.0,False,0.0,14:20:01
30950.0,700,-250.0,0.0,BU,775400.0,643000.0,False,0.0,14:20:01
30950.0,1800,-250.0,0.0,BU,774700.0,643000.0,False,0.0,14:19:50
30950.0,100,-250.0,0.0,SD,772900.0,643000.0,False,0.0,14:19:44
30950.0,2000,-250.0,0.0,SD,772900.0,642900.0,False,0.0,14:19:44
30950.0,200,-250.0,0.0,SD,772900.0,640900.0,False,0.0,14:19:44
30950.0,1000,-250.0,0.0,SD,772900.0,640700.0,False,0.0,14:19:44
30950.0,100,-250.0,0.0,SD,772900.0,639700.0,False,0.0,14:19:44
30950.0,1000,-250.0,0.0,SD,772900.0,639600.0,False,-50.0,14:19:44
31000.0,200,-200.0,0.0,BU,772900.0,638600.0,False,0.0,14:19:34
31000.0,400,-200.0,0.0,BU,772700.0,638600.0,False,0.0,14:19:34
31000.0,1000,-200.0,0.0,SD,772300.0,638600.0,False,0.0,14:19:33
31000.0,3000,-200.0,0.0,SD,772300.0,637600.0,False,0.0,14:19:11
31000.0,200,-200.0,0.0,BU,772300.0,634600.0,False,0.0,14:19:11
31000.0,400,-200.0,0.0,BU,772100.0,634600.0,False,0.0,14:19:11
31000.0,100,-200.0,0.0,BU,771700.0,634600.0,False,0.0,14:18:55
31000.0,300,-200.0,0.0,BU,771600.0,634600.0,False,0.0,14:18:50
31000.0,1000,-200.0,0.0,SD,771300.0,634600.0,False,0.0,14:18:47
31000.0,200,-200.0,0.0,SD,771300.0,633600.0,False,0.0,14:18:47
31000.0,200,-200.0,0.0,SD,771300.0,633400.0,False,0.0,14:18:47
31000.0,600,-200.0,0.0,SD,771300.0,633200.0,False,0.0,14:18:47
31000.0,500,-200.0,0.0,SD,771300.0,632600.0,False,0.0,14:18:47
31000.0,100,-200.0,0.0,SD,771300.0,632100.0,False,0.0,14:18:47
31000.0,400,-200.0,0.0,SD,771300.0,632000.0,False,0.0,14:18:44
31000.0,500,-200.0,0.0,SD,771300.0,631600.0,False,0.0,14:18:44
31000.0,500,-200.0,0.0,SD,771300.0,631100.0,False,0.0,14:18:44
31000.0,1000,-200.0,0.0,SD,771300.0,630600.0,False,0.0,14:18:44
31000.0,1000,-200.0,0.0,SD,771300.0,629600.0,False,0.0,14:18:44
31000.0,100,-200.0,0.0,SD,771300.0,628600.0,False,0.0,14:18:44
31000.0,1000,-200.0,0.0,SD,771300.0,628500.0,False,0.0,14:18:44
31000.0,500,-200.0,0.0,SD,771300.0,627500.0,False,0.0,14:18:37
31000.0,500,-200.0,0.0,SD,771300.0,627000.0,False,0.0,14:18:37
31000.0,300,-200.0,0.0,SD,771300.0,626500.0,False,0.0,14:18:37
31000.0,100,-200.0,0.0,SD,771300.0,626200.0,False,0.0,14:18:37
31000.0,100,-200.0,0.0,SD,771300.0,626100.0,False,0.0,14:18:37
31000.0,200,-200.0,0.0,SD,771300.0,626000.0,False,0.0,14:18:37
31000.0,400,-200.0,0.0,SD,771300.0,625800.0,False,0.0,14:18:37
31000.0,300,-200.0,0.0,SD,771300.0,625400.0,False,0.0,14:18:37
31000.0,2000,-200.0,0.0,SD,771300.0,625100.0,False,0.0,14:18:37
31000.0,1600,-200.0,0.0,SD,771300.0,623100.0,False,0.0,14:18:37
31000.0,1400,-200.0,0.0,SD,771300.0,621500.0,False,0.0,14:18:32
31000.0,200,-200.0,0.0,SD,771300.0,620100.0,False,0.0,14:18:32
31000.0,400,-200.0,0.0,SD,771300.0,619900.0,False,0.0,14:18:32
31000.0,3600,-200.0,0.0,SD,771300.0,619500.0,False,0.0,14:18:30
31000.0,300,-200.0,0.0,SD,771300.0,615900.0,False,0.0,14:18:30
31000.0,2300,-200.0,0.0,SD,771300.0,615600.0,False,-50.0,14:18:30
31050.0,2000,-150.0,0.0,SD,771300.0,613300.0,False,0.0,14:18:30
31050.0,400,-150.0,0.0,SD,771300.0,611300.0,False,-50.0,14:18:30
31100.0,1400,-100.0,0.0,SD,771300.0,610900.0,False,0.0,14:18:30
31100.0,600,-100.0,0.0,BU,771300.0,609500.0,False,100.0,14:18:24
31000.0,2000,-200.0,0.0,SD,770700.0,609500.0,False,0.0,14:18:08
31000.0,700,-200.0,0.0,SD,770700.0,607500.0,False,-50.0,14:18:03
31050.0,600,-150.0,0.0,SD,770700.0,606800.0,False,-50.0,14:18:03
31100.0,100,-100.0,0.0,SD,770700.0,606200.0,False,0.0,14:18:03
31100.0,1500,-100.0,0.0,SD,770700.0,606100.0,False,0.0,14:18:03
31100.0,400,-100.0,0.0,SD,770700.0,604600.0,False,0.0,14:18:03
31100.0,500,-100.0,0.0,SD,770700.0,604200.0,False,0.0,14:18:03
31100.0,100,-100.0,0.0,SD,770700.0,603700.0,False,0.0,14:18:03
31100.0,500,-100.0,0.0,SD,770700.0,603600.0,False,0.0,14:18:03
31100.0,600,-100.0,0.0,SD,770700.0,603100.0,False,0.0,14:18:03
31100.0,400,-100.0,0.0,SD,770700.0,602500.0,False,0.0,14:17:38
31100.0,100,-100.0,0.0,SD,770700.0,602100.0,False,0.0,14:17:38
31100.0,400,-100.0,0.0,SD,770700.0,602000.0,False,-50.0,14:17:16
31150.0,1000,-50.0,0.0,SD,770700.0,601600.0,False,0.0,14:17:16
31150.0,500,-50.0,0.0,SD,770700.0,600600.0,False,-50.0,14:17:16
31200.0,200,0.0,0.0,SD,770700.0,600100.0,False,0.0,14:17:16
31200.0,300,0.0,0.0,SD,770700.0,599900.0,False,0.0,14:17:16
31200.0,100,0.0,0.0,SD,770700.0,599600.0,False,0.0,14:17:16
31200.0,1300,0.0,0.0,SD,770700.0,599500.0,False,-50.0,14:17:16
31250.0,2000,50.0,0.0,SD,770700.0,598200.0,False,0.0,14:17:16
31250.0,100,50.0,0.0,SD,770700.0,596200.0,False,50.0,14:17:16
31200.0,500,0.0,0.0,SD,770700.0,596100.0,False,0.0,14:16:48
31200.0,1000,0.0,0.0,SD,770700.0,595600.0,False,0.0,14:16:32
31200.0,200,0.0,0.0,SD,770700.0,594600.0,False,0.0,14:16:32
31200.0,500,0.0,0.0,SD,770700.0,594400.0,False,0.0,14:16:32
31200.0,1000,0.0,0.0,SD,770700.0,593900.0,False,0.0,14:16:32
31200.0,800,0.0,0.0,SD,770700.0,592900.0,False,0.0,14:16:32
31200.0,500,0.0,0.0,SD,770700.0,592100.0,False,-250.0,14:16:29
31450.0,400,250.0,0.0,BU,770700.0,591600.0,False,150.0,14:16:27
31300.0,500,100.0,0.0,BU,770300.0,591600.0,False,0.0,14:16:27
31300.0,1000,100.0,0.0,SD,769800.0,591600.0,False,0.0,14:16:27
31300.0,1000,100.0,0.0,SD,769800.0,590600.0,False,0.0,14:16:27
31300.0,10000,100.0,0.0,SD,769800.0,589600.0,True,0.0,14:16:27
31300.0,1000,100.0,0.0,SD,769800.0,579600.0,False,0.0,14:16:27
31300.0,800,100.0,0.0,SD,769800.0,578600.0,False,-100.0,14:16:27
31400.0,1500,200.0,0.0,SD,769800.0,577800.0,False,0.0,14:16:27
