p,v,cp,rcp,a,ba,sa,hl,pcp,t
28800.0,100,3700.0,0.1,SD,2400.0,9100.0,False,0.0,13:29:38
28800.0,500,3700.0,0.1,SD,2400.0,9000.0,False,0.0,10:51:44
28800.0,500,3700.0,0.1,SD,2400.0,8500.0,False,0.0,10:44:33
28800.0,500,3700.0,0.1,SD,2400.0,8000.0,False,0.0,10:40:32
28800.0,200,3700.0,0.1,SD,2400.0,7500.0,False,0.0,10:09:19
28800.0,300,3700.0,0.1,SD,2400.0,7300.0,False,0.0,10:07:24
28800.0,1000,3700.0,0.1,SD,2400.0,7000.0,False,0.0,10:00:58
28800.0,700,3700.0,0.1,SD,2400.0,6000.0,False,0.0,09:43:42
28800.0,200,3700.0,0.1,SD,2400.0,5300.0,False,0.0,09:43:20
28800.0,1000,3700.0,0.1,SD,2400.0,5100.0,False,0.0,09:43:01
28800.0,1000,3700.0,0.1,SD,2400.0,4100.0,False,0.0,09:37:31
28800.0,1000,3700.0,0.1,SD,2400.0,3100.0,False,0.0,09:36:17
28800.0,300,3700.0,0.1,SD,2400.0,2100.0,False,0.0,09:34:36
28800.0,200,3700.0,0.1,SD,2400.0,1800.0,False,0.0,09:30:23
28800.0,700,3700.0,0.1,BU,2400.0,1600.0,False,0.0,09:24:50
28800.0,500,3700.0,0.1,BU,1700.0,1600.0,False,0.0,09:24:42
28800.0,800,3700.0,0.1,BU,1200.0,1600.0,False,0.0,09:24:38
28800.0,200,3700.0,0.1,BU,400.0,1600.0,False,300.0,09:21:22
28500.0,200,3400.0,0.1,BU,200.0,1600.0,False,0.0,09:17:42
28500.0,1000,3400.0,0.1,SD,0.0,1600.0,False,0.0,09:16:30
28500.0,600,3400.0,0.1,SD,0.0,600.0,False,0.0,09:15:50
