p,v,cp,rcp,a,ba,sa,hl,pcp,t
9650.0,13900,150.0,0.0,,218000.0,266300.0,False,10.0,14:45:00
9640.0,5000,140.0,0.0,BU,218000.0,266300.0,False,0.0,14:29:48
9640.0,2000,140.0,0.0,BU,213000.0,266300.0,False,0.0,14:29:29
9640.0,400,140.0,0.0,BU,211000.0,266300.0,False,0.0,14:29:19
9640.0,1000,140.0,0.0,BU,210600.0,266300.0,False,110.0,14:28:59
9530.0,100,30.0,0.0,BU,209600.0,266300.0,False,0.0,14:28:03
9530.0,300,30.0,0.0,BU,209500.0,266300.0,False,0.0,14:28:02
9530.0,1900,30.0,0.0,BU,209200.0,266300.0,False,0.0,14:27:48
9530.0,1000,30.0,0.0,BU,207300.0,266300.0,False,0.0,14:27:34
9530.0,1000,30.0,0.0,BU,206300.0,266300.0,False,30.0,14:26:32
9500.0,100,0.0,0.0,SD,205300.0,266300.0,False,0.0,14:26:21
9500.0,100,0.0,0.0,SD,205300.0,266200.0,False,0.0,14:26:13
9500.0,100,0.0,0.0,SD,205300.0,266100.0,False,0.0,14:25:51
9500.0,100,0.0,0.0,SD,205300.0,266000.0,False,0.0,14:25:41
9500.0,1000,0.0,0.0,SD,205300.0,265900.0,False,0.0,14:25:40
9500.0,1000,0.0,0.0,SD,205300.0,264900.0,False,0.0,14:25:30
9500.0,500,0.0,0.0,SD,205300.0,263900.0,False,0.0,14:25:30
9500.0,200,0.0,0.0,BU,205300.0,263400.0,False,0.0,14:25:30
9500.0,11900,0.0,0.0,BU,205100.0,263400.0,False,0.0,14:25:30
9500.0,2700,0.0,0.0,BU,193200.0,263400.0,False,0.0,14:25:30
9500.0,1000,0.0,0.0,BU,190500.0,263400.0,False,0.0,14:25:27
9500.0,2000,0.0,0.0,SD,189500.0,263400.0,False,0.0,14:25:18
9500.0,500,0.0,0.0,SD,189500.0,261400.0,False,0.0,14:25:18
9500.0,200,0.0,0.0,SD,189500.0,260900.0,False,0.0,14:25:18
9500.0,100,0.0,0.0,SD,189500.0,260700.0,False,0.0,14:25:18
9500.0,200,0.0,0.0,SD,189500.0,260600.0,False,0.0,14:25:18
9500.0,200,0.0,0.0,SD,189500.0,260400.0,False,0.0,14:25:18
9500.0,500,0.0,0.0,SD,189500.0,260200.0,False,0.0,14:25:18
9500.0,200,0.0,0.0,SD,189500.0,259700.0,False,0.0,14:25:18
9500.0,500,0.0,0.0,SD,189500.0,259500.0,False,0.0,14:25:18
9500.0,200,0.0,0.0,SD,189500.0,259000.0,False,0.0,14:25:18
9500.0,1000,0.0,0.0,SD,189500.0,258800.0,False,0.0,14:25:18
9500.0,300,0.0,0.0,SD,189500.0,257800.0,False,0.0,14:25:18
9500.0,200,0.0,0.0,SD,189500.0,257500.0,False,0.0,14:25:18
9500.0,1000,0.0,0.0,SD,189500.0,257300.0,False,0.0,14:25:18
9500.0,1000,0.0,0.0,SD,189500.0,256300.0,False,0.0,14:25:18
9500.0,500,0.0,0.0,SD,189500.0,255300.0,False,0.0,14:25:18
9500.0,100,0.0,0.0,SD,189500.0,254800.0,False,0.0,14:25:18
9500.0,200,0.0,0.0,SD,189500.0,254700.0,False,0.0,14:25:17
9500.0,400,0.0,0.0,SD,189500.0,254500.0,False,0.0,14:25:14
9500.0,2000,0.0,0.0,SD,189500.0,254100.0,False,0.0,14:25:11
9500.0,300,0.0,0.0,SD,189500.0,252100.0,False,0.0,14:25:03
9500.0,1000,0.0,0.0,SD,189500.0,251800.0,False,0.0,14:24:47
9500.0,300,0.0,0.0,SD,189500.0,250800.0,False,0.0,14:24:47
9500.0,5000,0.0,0.0,SD,189500.0,250500.0,False,0.0,14:24:47
9500.0,2000,0.0,0.0,SD,189500.0,245500.0,False,0.0,14:24:47
9500.0,1000,0.0,0.0,SD,189500.0,243500.0,False,0.0,14:24:47
9500.0,100,0.0,0.0,SD,189500.0,242500.0,False,-10.0,14:24:47
9510.0,1000,10.0,0.0,SD,189500.0,242400.0,False,-10.0,14:24:36
9520.0,600,20.0,0.0,SD,189500.0,241400.0,False,-10.0,14:24:03
9530.0,100,30.0,0.0,BU,189500.0,240800.0,False,0.0,14:24:00
9530.0,300,30.0,0.0,BU,189400.0,240800.0,False,0.0,14:23:54
9530.0,700,30.0,0.0,SD,189100.0,240800.0,False,-20.0,14:23:19
9550.0,1600,50.0,0.0,BU,189100.0,240100.0,False,0.0,14:22:47
9550.0,400,50.0,0.0,SD,187500.0,240100.0,False,0.0,14:22:11
9550.0,1600,50.0,0.0,SD,187500.0,239700.0,False,0.0,14:21:27
9550.0,100,50.0,0.0,SD,187500.0,238100.0,False,-50.0,14:21:27
9600.0,200,100.0,0.0,SD,187500.0,238000.0,False,0.0,14:21:27
9600.0,600,100.0,0.0,SD,187500.0,237800.0,False,0.0,14:21:27
9600.0,100,100.0,0.0,SD,187500.0,237200.0,False,0.0,14:21:27
9600.0,100,100.0,0.0,SD,187500.0,237100.0,False,0.0,14:21:27
9600.0,300,100.0,0.0,SD,187500.0,237000.0,False,0.0,14:21:27
9600.0,400,100.0,0.0,SD,187500.0,236700.0,False,0.0,14:21:27
9600.0,1000,100.0,0.0,SD,187500.0,236300.0,False,0.0,14:21:27
9600.0,5600,100.0,0.0,SD,187500.0,235300.0,False,0.0,14:21:27
9600.0,6900,100.0,0.0,SD,187500.0,229700.0,False,-10.0,14:20:47
9610.0,200,110.0,0.0,SD,187500.0,222800.0,False,0.0,14:20:47
9610.0,2000,110.0,0.0,SD,187500.0,222600.0,False,-20.0,14:20:47
9630.0,900,130.0,0.0,SD,187500.0,220600.0,False,0.0,14:20:47
9630.0,1000,130.0,0.0,SD,187500.0,219700.0,False,0.0,14:20:26
9630.0,2000,130.0,0.0,SD,187500.0,218700.0,False,-20.0,14:20:20
9650.0,300,150.0,0.0,SD,187500.0,216700.0,False,0.0,14:19:43
9650.0,1000,150.0,0.0,SD,187500.0,216400.0,False,0.0,14:19:43
9650.0,500,150.0,0.0,SD,187500.0,215400.0,False,0.0,14:19:43
9650.0,1000,150.0,0.0,SD,187500.0,214900.0,False,-10.0,14:19:43
9660.0,1000,160.0,0.0,SD,187500.0,213900.0,False,0.0,14:19:43
9660.0,500,160.0,0.0,SD,187500.0,212900.0,False,0.0,14:19:43
9660.0,500,160.0,0.0,SD,187500.0,212400.0,False,-10.0,14:19:43
9670.0,500,170.0,0.0,SD,187500.0,211900.0,False,0.0,14:19:25
9670.0,4000,170.0,0.0,SD,187500.0,211400.0,False,-30.0,14:19:25
9700.0,300,200.0,0.0,SD,187500.0,207400.0,False,0.0,14:18:28
9700.0,200,200.0,0.0,SD,187500.0,207100.0,False,0.0,14:18:04
9700.0,500,200.0,0.0,SD,187500.0,206900.0,False,0.0,14:18:04
9700.0,300,200.0,0.0,SD,187500.0,206400.0,False,0.0,14:18:04
9700.0,1000,200.0,0.0,SD,187500.0,206100.0,False,0.0,14:18:04
9700.0,1000,200.0,0.0,SD,187500.0,205100.0,False,-40.0,14:18:04
9740.0,300,240.0,0.0,BU,187500.0,204100.0,False,0.0,14:17:24
9740.0,100,240.0,0.0,SD,187200.0,204100.0,False,0.0,14:17:09
9740.0,1000,240.0,0.0,BU,187200.0,204000.0,False,0.0,14:14:07
9740.0,1900,240.0,0.0,BU,186200.0,204000.0,False,40.0,14:14:07
9700.0,700,200.0,0.0,SD,184300.0,204000.0,False,0.0,14:12:53
9700.0,300,200.0,0.0,SD,184300.0,203300.0,False,0.0,14:12:00
9700.0,300,200.0,0.0,SD,184300.0,203000.0,False,0.0,14:12:00
9700.0,1000,200.0,0.0,SD,184300.0,202700.0,False,0.0,14:12:00
9700.0,400,200.0,0.0,SD,184300.0,201700.0,False,0.0,14:12:00
9700.0,600,200.0,0.0,SD,184300.0,201300.0,False,0.0,14:11:02
9700.0,400,200.0,0.0,SD,184300.0,200700.0,False,0.0,14:11:02
9700.0,100,200.0,0.0,SD,184300.0,200300.0,False,-10.0,14:09:37
9710.0,5000,210.0,0.0,BU,184300.0,200200.0,False,0.0,14:09:37
9710.0,3800,210.0,0.0,BU,179300.0,200200.0,False,-10.0,14:09:37
9720.0,600,220.0,0.0,BU,175500.0,200200.0,False,-10.0,14:09:37
9730.0,500,230.0,0.0,BU,174900.0,200200.0,False,0.0,14:09:37
9760.0,800,260.0,0.0,BU,174400.0,189600.0,False,0.0,14:01:56
9760.0,200,260.0,0.0,BU,173600.0,189600.0,False,0.0,14:01:54
9780.0,100,280.0,0.0,SD,167900.0,188300.0,False,0.0,13:57:42
9780.0,500,280.0,0.0,SD,167900.0,188200.0,False,0.0,13:57:42
9780.0,500,280.0,0.0,SD,167900.0,187700.0,False,0.0,13:57:42
9780.0,600,280.0,0.0,SD,167900.0,187200.0,False,0.0,13:57:42
9780.0,300,280.0,0.0,SD,167900.0,186600.0,False,-20.0,13:56:11
9800.0,100,300.0,0.0,BU,167900.0,186300.0,False,0.0,13:56:07
9800.0,2500,300.0,0.0,BU,167800.0,186300.0,False,10.0,13:56:07
9790.0,2400,290.0,0.0,BU,165300.0,186300.0,False,0.0,13:56:07
9790.0,100,290.0,0.0,BU,162900.0,186300.0,False,0.0,13:56:06
9790.0,100,290.0,0.0,SD,162800.0,186300.0,False,0.0,13:55:41
9790.0,1000,290.0,0.0,SD,162800.0,186200.0,False,0.0,13:55:41
9790.0,100,290.0,0.0,SD,162800.0,185200.0,False,0.0,13:55:41
9790.0,100,290.0,0.0,SD,162800.0,185100.0,False,10.0,13:54:43
9750.0,1900,250.0,0.0,BU,162300.0,179900.0,False,0.0,13:48:47
9750.0,100,250.0,0.0,BU,160400.0,179900.0,False,0.0,13:48:47
9750.0,100,250.0,0.0,BU,160300.0,179900.0,False,0.0,13:48:40
9750.0,1000,250.0,0.0,BU,160200.0,179900.0,False,10.0,13:48:02
9740.0,100,240.0,0.0,SD,159200.0,179900.0,False,0.0,13:47:59
9740.0,600,240.0,0.0,SD,159200.0,179800.0,False,0.0,13:46:52
9740.0,1400,240.0,0.0,SD,159200.0,179200.0,False,0.0,13:46:52
9740.0,100,240.0,0.0,SD,159200.0,177800.0,False,0.0,13:42:32
9740.0,400,240.0,0.0,SD,159200.0,177700.0,False,0.0,13:42:32
9740.0,500,240.0,0.0,SD,159200.0,177300.0,False,0.0,13:40:48
9740.0,2100,240.0,0.0,SD,159200.0,176800.0,False,-20.0,13:40:33
9760.0,100,260.0,0.0,BU,159200.0,174700.0,False,0.0,13:40:24
9760.0,1100,260.0,0.0,BU,159100.0,174700.0,False,0.0,13:40:22
9760.0,100,260.0,0.0,BU,158000.0,174700.0,False,0.0,13:39:54
9760.0,1700,260.0,0.0,BU,157900.0,174700.0,False,0.0,13:39:26
9760.0,100,260.0,0.0,BU,156200.0,174700.0,False,0.0,13:39:26
9760.0,100,260.0,0.0,BU,156100.0,174700.0,False,0.0,13:39:26
9760.0,200,260.0,0.0,BU,156000.0,174700.0,False,0.0,13:39:26
9760.0,800,260.0,0.0,BU,155800.0,174700.0,False,20.0,13:37:59
9740.0,600,240.0,0.0,SD,155000.0,174700.0,False,0.0,13:35:59
9740.0,400,240.0,0.0,SD,155000.0,174100.0,False,-10.0,13:35:59
