p,v,cp,rcp,a,ba,sa,hl,pcp,t
5120.0,5200,10.0,0.0,,64900.0,102000.0,False,0.0,14:45:00
5120.0,500,10.0,0.0,BU,64900.0,102000.0,False,10.0,14:29:28
5110.0,3300,0.0,0.0,SD,64400.0,102000.0,False,0.0,14:28:28
5110.0,6700,0.0,0.0,BU,64400.0,98700.0,False,0.0,14:28:17
5110.0,3300,0.0,0.0,BU,57700.0,98700.0,False,10.0,14:28:17
5100.0,200,-10.0,0.0,BU,54400.0,98700.0,False,0.0,14:27:58
5100.0,4800,-10.0,0.0,SD,54200.0,98700.0,False,0.0,14:27:27
5100.0,200,-10.0,0.0,SD,54200.0,93900.0,False,0.0,14:27:19
5100.0,200,-10.0,0.0,SD,54200.0,93700.0,False,0.0,14:27:19
5100.0,100,-10.0,0.0,SD,54200.0,93500.0,False,0.0,14:27:19
5100.0,100,-10.0,0.0,SD,54200.0,93400.0,False,-10.0,14:25:10
5110.0,200,0.0,0.0,SD,54200.0,93300.0,False,0.0,14:22:51
5110.0,5000,0.0,0.0,SD,54200.0,93100.0,False,0.0,14:22:51
5110.0,300,0.0,0.0,SD,54200.0,88100.0,False,-10.0,14:22:51
5120.0,5000,10.0,0.0,SD,54200.0,87800.0,False,0.0,14:21:35
5120.0,1200,10.0,0.0,SD,54200.0,82800.0,False,0.0,14:21:35
5120.0,1100,10.0,0.0,SD,54200.0,81600.0,False,-10.0,14:21:35
5130.0,100,20.0,0.0,SD,54200.0,80500.0,False,0.0,14:21:26
5130.0,1000,20.0,0.0,SD,54200.0,80400.0,False,0.0,14:21:26
5130.0,300,20.0,0.0,SD,54200.0,79400.0,False,-10.0,14:21:26
5140.0,200,30.0,0.0,BU,54200.0,79100.0,False,0.0,14:20:29
5140.0,200,30.0,0.0,BU,54000.0,79100.0,False,0.0,14:20:29
5140.0,300,30.0,0.0,BU,53800.0,79100.0,False,0.0,14:20:29
5140.0,100,30.0,0.0,SD,53500.0,79100.0,False,-10.0,14:18:59
5150.0,1800,40.0,0.0,BU,53500.0,79000.0,False,0.0,14:12:13
5150.0,2000,40.0,0.0,SD,51700.0,79000.0,False,0.0,14:11:24
5150.0,6100,40.0,0.0,SD,51700.0,77000.0,False,10.0,14:09:41
5140.0,4100,30.0,0.0,SD,51700.0,70900.0,False,0.0,14:09:28
5140.0,1000,30.0,0.0,SD,51700.0,66800.0,False,0.0,14:09:28
5140.0,2900,30.0,0.0,SD,51700.0,65800.0,False,0.0,14:09:28
5140.0,2000,30.0,0.0,SD,51700.0,62900.0,False,0.0,14:09:06
5140.0,100,30.0,0.0,SD,51700.0,60900.0,False,0.0,14:04:39
5140.0,100,30.0,0.0,SD,51700.0,60800.0,False,0.0,14:04:39
5140.0,500,30.0,0.0,SD,51700.0,60700.0,False,0.0,14:04:39
5140.0,300,30.0,0.0,SD,51700.0,60200.0,False,-10.0,14:04:39
5150.0,5000,40.0,0.0,BU,51700.0,59900.0,False,0.0,14:03:17
5150.0,800,40.0,0.0,BU,46700.0,59900.0,False,0.0,14:03:17
5150.0,100,40.0,0.0,SD,45900.0,59900.0,False,0.0,14:01:16
5150.0,2200,40.0,0.0,SD,45900.0,59800.0,False,0.0,14:01:16
5150.0,2000,40.0,0.0,SD,45900.0,57600.0,False,0.0,14:01:16
5150.0,200,40.0,0.0,SD,45900.0,55600.0,False,-10.0,14:01:16
5160.0,500,50.0,0.0,BU,45900.0,55400.0,False,0.0,13:56:29
5160.0,500,50.0,0.0,BU,45400.0,55400.0,False,10.0,13:53:16
5150.0,400,40.0,0.0,SD,44900.0,55400.0,False,0.0,13:48:38
5150.0,500,40.0,0.0,BU,44900.0,55000.0,False,0.0,13:45:58
5150.0,600,40.0,0.0,BU,44400.0,55000.0,False,0.0,13:42:21
5150.0,400,40.0,0.0,SD,43800.0,55000.0,False,-10.0,13:40:26
5160.0,500,50.0,0.0,BU,43800.0,54600.0,False,10.0,13:39:59
5150.0,200,40.0,0.0,SD,43300.0,54600.0,False,0.0,13:39:32
5150.0,500,40.0,0.0,SD,43300.0,54400.0,False,0.0,13:39:32
5150.0,100,40.0,0.0,SD,43300.0,53900.0,False,0.0,13:39:32
5150.0,100,40.0,0.0,SD,43300.0,53800.0,False,0.0,13:39:32
5150.0,100,40.0,0.0,SD,43300.0,53700.0,False,-10.0,13:37:12
5160.0,100,50.0,0.0,SD,43300.0,53600.0,False,0.0,13:35:56
5160.0,200,50.0,0.0,SD,43300.0,53500.0,False,0.0,13:35:00
5160.0,800,50.0,0.0,SD,43300.0,53300.0,False,-10.0,13:35:00
5170.0,200,60.0,0.0,BU,43300.0,52500.0,False,0.0,13:29:45
5170.0,100,60.0,0.0,BU,43100.0,52500.0,False,0.0,13:27:24
5170.0,500,60.0,0.0,SD,43000.0,52500.0,False,0.0,13:24:50
5170.0,100,60.0,0.0,SD,43000.0,52000.0,False,0.0,13:24:50
5170.0,3600,60.0,0.0,SD,43000.0,51900.0,False,0.0,13:24:50
5170.0,10000,60.0,0.0,SD,43000.0,48300.0,False,-10.0,13:22:29
5180.0,300,70.0,0.0,BU,43000.0,38300.0,False,0.0,13:16:49
5180.0,300,70.0,0.0,BU,42700.0,38300.0,False,0.0,13:13:40
5180.0,300,70.0,0.0,BU,42400.0,38300.0,False,0.0,13:08:55
5180.0,500,70.0,0.0,SD,42100.0,38300.0,False,0.0,13:06:34
5180.0,200,70.0,0.0,SD,42100.0,37800.0,False,0.0,13:06:34
5180.0,500,70.0,0.0,SD,42100.0,37600.0,False,0.0,13:06:34
5180.0,400,70.0,0.0,SD,42100.0,37100.0,False,0.0,13:06:34
5180.0,200,70.0,0.0,SD,42100.0,36700.0,False,0.0,13:06:34
5180.0,500,70.0,0.0,SD,42100.0,36500.0,False,-10.0,13:06:34
5190.0,100,80.0,0.0,SD,42100.0,36000.0,False,-10.0,13:03:40
5200.0,500,90.0,0.0,BU,42100.0,35900.0,False,0.0,13:03:30
5200.0,500,90.0,0.0,BU,41600.0,35900.0,False,0.0,13:00:07
5200.0,100,90.0,0.0,BU,41100.0,35900.0,False,0.0,13:00:07
5200.0,400,90.0,0.0,BU,41000.0,35900.0,False,0.0,13:00:07
5200.0,500,90.0,0.0,BU,40600.0,35900.0,False,10.0,13:00:07
5190.0,400,80.0,0.0,BU,40100.0,35900.0,False,10.0,13:00:07
5180.0,100,70.0,0.0,BU,39700.0,35900.0,False,0.0,11:21:12
5180.0,1900,70.0,0.0,BU,39600.0,35900.0,False,10.0,11:21:12
5170.0,200,60.0,0.0,SD,37700.0,35900.0,False,-10.0,11:20:02
5180.0,800,70.0,0.0,BU,37700.0,35700.0,False,0.0,11:13:00
5180.0,300,70.0,0.0,BU,36900.0,35700.0,False,0.0,11:09:08
5180.0,1100,70.0,0.0,BU,36600.0,35700.0,False,0.0,11:04:58
5180.0,900,70.0,0.0,BU,35500.0,35700.0,False,0.0,11:01:41
5180.0,1100,70.0,0.0,BU,34600.0,35700.0,False,0.0,11:01:12
5180.0,800,70.0,0.0,SD,33500.0,35700.0,False,0.0,10:59:55
5180.0,200,70.0,0.0,SD,33500.0,34900.0,False,0.0,10:59:55
5180.0,900,70.0,0.0,SD,33500.0,34700.0,False,-20.0,10:59:55
5200.0,100,90.0,0.0,BU,33500.0,33800.0,False,0.0,10:58:48
5200.0,900,90.0,0.0,BU,33400.0,33800.0,False,0.0,10:58:48
5200.0,1900,90.0,0.0,BU,32500.0,33800.0,False,0.0,10:54:44
5200.0,100,90.0,0.0,BU,30600.0,33800.0,False,0.0,10:54:44
5200.0,300,90.0,0.0,BU,30500.0,33800.0,False,20.0,10:54:12
5180.0,100,70.0,0.0,SD,30200.0,33800.0,False,-20.0,10:51:58
5200.0,1000,90.0,0.0,BU,30200.0,33700.0,False,0.0,10:45:12
5200.0,100,90.0,0.0,SD,29200.0,33700.0,False,0.0,10:38:33
5200.0,600,90.0,0.0,SD,29200.0,33600.0,False,0.0,10:38:04
5200.0,200,90.0,0.0,SD,29200.0,33000.0,False,0.0,10:37:41
5200.0,1000,90.0,0.0,SD,29200.0,32800.0,False,0.0,10:36:57
5200.0,1000,90.0,0.0,SD,29200.0,31800.0,False,0.0,10:35:48
5200.0,3000,90.0,0.0,BU,29200.0,30800.0,False,0.0,10:34:00
5200.0,500,90.0,0.0,BU,26200.0,30800.0,False,0.0,10:34:00
5200.0,1000,90.0,0.0,BU,25700.0,30800.0,False,0.0,10:34:00
5200.0,800,90.0,0.0,BU,24700.0,30800.0,False,0.0,10:34:00
5200.0,5000,90.0,0.0,BU,23900.0,30800.0,False,0.0,10:34:00
5200.0,500,90.0,0.0,BU,18900.0,30800.0,False,20.0,10:34:00
5180.0,300,70.0,0.0,BU,18400.0,30800.0,False,-20.0,10:34:00
5200.0,1000,90.0,0.0,BU,18100.0,30800.0,False,0.0,10:34:00
5200.0,200,90.0,0.0,BU,17100.0,30800.0,False,0.0,10:34:00
5200.0,2400,90.0,0.0,BU,16900.0,30800.0,False,0.0,10:34:00
5200.0,1300,90.0,0.0,BU,14500.0,30800.0,False,10.0,10:34:00
5190.0,100,80.0,0.0,BU,13200.0,30800.0,False,0.0,10:34:00
5190.0,1000,80.0,0.0,BU,13100.0,30800.0,False,10.0,10:34:00
5180.0,700,70.0,0.0,SD,12100.0,30800.0,False,10.0,10:33:40
5170.0,2000,60.0,0.0,SD,12100.0,30100.0,False,0.0,10:27:04
5170.0,400,60.0,0.0,SD,12100.0,28100.0,False,0.0,10:22:30
5170.0,300,60.0,0.0,SD,12100.0,27700.0,False,0.0,10:22:05
5170.0,200,60.0,0.0,SD,12100.0,27400.0,False,0.0,10:19:49
5170.0,200,60.0,0.0,SD,12100.0,27200.0,False,0.0,10:19:30
5170.0,1500,60.0,0.0,SD,12100.0,27000.0,False,-10.0,10:18:21
5180.0,100,70.0,0.0,SD,12100.0,25500.0,False,0.0,10:17:24
5180.0,300,70.0,0.0,BU,12100.0,25400.0,False,0.0,10:17:08
5180.0,100,70.0,0.0,BU,11800.0,25400.0,False,0.0,10:17:08
5180.0,5000,70.0,0.0,SD,11700.0,25400.0,False,0.0,10:13:57
5180.0,3000,70.0,0.0,SD,11700.0,20400.0,False,-10.0,10:12:59
5190.0,100,80.0,0.0,BU,11700.0,17400.0,False,-10.0,10:10:25
5200.0,1600,90.0,0.0,BU,11600.0,17400.0,False,0.0,10:09:55
5200.0,2100,90.0,0.0,BU,10000.0,17400.0,False,10.0,10:08:01
5190.0,100,80.0,0.0,BU,7900.0,17400.0,False,0.0,10:08:01
5190.0,800,80.0,0.0,BU,7800.0,17400.0,False,10.0,10:08:01
5180.0,2200,70.0,0.0,BU,7000.0,17400.0,False,0.0,10:07:04
5180.0,500,70.0,0.0,BU,4800.0,17400.0,False,0.0,10:06:40
5180.0,900,70.0,0.0,BU,4300.0,17400.0,False,10.0,10:05:56
5170.0,1600,60.0,0.0,SD,3400.0,17400.0,False,0.0,10:05:45
5170.0,3200,60.0,0.0,SD,3400.0,15800.0,False,0.0,10:05:45
5170.0,200,60.0,0.0,SD,3400.0,12600.0,False,-10.0,10:04:32
5180.0,1400,70.0,0.0,SD,3400.0,12400.0,False,0.0,09:59:57
5180.0,2300,70.0,0.0,SD,3400.0,11000.0,False,0.0,09:59:37
5180.0,2700,70.0,0.0,SD,3400.0,8700.0,False,-10.0,09:59:37
5190.0,200,80.0,0.0,BU,3400.0,6000.0,False,10.0,09:59:34
5180.0,200,70.0,0.0,SD,3200.0,6000.0,False,10.0,09:54:23
5170.0,100,60.0,0.0,BU,3200.0,5800.0,False,0.0,09:52:04
5170.0,1000,60.0,0.0,BU,3100.0,5800.0,False,0.0,09:52:04
5170.0,500,60.0,0.0,BU,2100.0,5800.0,False,10.0,09:52:04
5160.0,100,50.0,0.0,BU,1600.0,5800.0,False,0.0,09:50:46
5160.0,900,50.0,0.0,BU,1500.0,5800.0,False,0.0,09:48:09
5160.0,100,50.0,0.0,BU,600.0,5800.0,False,10.0,09:48:09
5150.0,200,40.0,0.0,SD,500.0,5800.0,False,0.0,09:41:52
5150.0,300,40.0,0.0,SD,500.0,5600.0,False,0.0,09:41:52
5150.0,300,40.0,0.0,SD,500.0,5300.0,False,0.0,09:41:27
5150.0,700,40.0,0.0,SD,500.0,5000.0,False,0.0,09:41:27
5150.0,2000,40.0,0.0,SD,500.0,4300.0,False,0.0,09:37:17
5150.0,500,40.0,0.0,SD,500.0,2300.0,False,0.0,09:36:43
5150.0,500,40.0,0.0,SD,500.0,1800.0,False,0.0,09:33:46
5150.0,500,40.0,0.0,SD,500.0,1300.0,False,0.0,09:29:46
5150.0,800,40.0,0.0,SD,500.0,800.0,False,10.0,09:29:36
5140.0,500,30.0,0.0,BU,500.0,0.0,False,10.0,09:21:13
5130.0,200,20.0,0.0,,0.0,0.0,False,0.0,09:15:01
