p,v,cp,rcp,a,ba,sa,hl,pcp,t
83300.0,56100,-300.0,0.0,,400000.0,298200.0,False,100.0,14:45:02
83200.0,100,-400.0,0.0,BU,400000.0,298200.0,False,100.0,14:29:54
83100.0,500,-500.0,0.0,BU,399900.0,298200.0,False,0.0,14:29:34
83100.0,400,-500.0,0.0,BU,399400.0,298200.0,False,0.0,14:29:21
83100.0,1000,-500.0,0.0,SD,399000.0,298200.0,False,0.0,14:29:16
83100.0,100,-500.0,0.0,SD,399000.0,297200.0,False,0.0,14:29:06
83100.0,100,-500.0,0.0,SD,399000.0,297100.0,False,0.0,14:29:06
83100.0,2900,-500.0,0.0,SD,399000.0,297000.0,True,-100.0,14:29:06
83200.0,3000,-400.0,0.0,BU,399000.0,294100.0,True,0.0,14:29:02
83200.0,100,-400.0,0.0,BU,396000.0,294100.0,False,0.0,14:28:58
83200.0,100,-400.0,0.0,BU,395900.0,294100.0,False,0.0,14:28:56
83200.0,100,-400.0,0.0,BU,395800.0,294100.0,False,100.0,14:28:44
83100.0,100,-500.0,0.0,SD,395700.0,294100.0,False,0.0,14:28:08
83100.0,2000,-500.0,0.0,SD,395700.0,294000.0,False,-100.0,14:28:08
83200.0,100,-400.0,0.0,BU,395700.0,292000.0,False,0.0,14:28:00
83200.0,2000,-400.0,0.0,BU,395600.0,292000.0,False,0.0,14:27:48
83200.0,400,-400.0,0.0,BU,393600.0,292000.0,False,0.0,14:27:37
83200.0,500,-400.0,0.0,BU,393200.0,292000.0,False,0.0,14:27:30
83200.0,500,-400.0,0.0,BU,392700.0,292000.0,False,200.0,14:27:23
83000.0,100,-600.0,0.0,SD,392200.0,292000.0,False,-100.0,14:27:00
83100.0,300,-500.0,0.0,SD,392200.0,291900.0,False,0.0,14:27:00
83100.0,1200,-500.0,0.0,BU,392200.0,291600.0,False,0.0,14:27:00
83100.0,300,-500.0,0.0,BU,391000.0,291600.0,False,100.0,14:26:53
83000.0,200,-600.0,0.0,SD,390700.0,291600.0,False,0.0,14:26:47
83000.0,200,-600.0,0.0,BU,390700.0,291400.0,False,0.0,14:26:18
83000.0,500,-600.0,0.0,BU,390500.0,291400.0,False,0.0,14:26:10
83000.0,700,-600.0,0.0,BU,390000.0,291400.0,False,0.0,14:26:10
83000.0,300,-600.0,0.0,BU,389300.0,291400.0,False,0.0,14:26:10
83000.0,100,-600.0,0.0,BU,389000.0,291400.0,False,0.0,14:25:50
83000.0,400,-600.0,0.0,BU,388900.0,291400.0,False,0.0,14:25:50
83000.0,600,-600.0,0.0,BU,388500.0,291400.0,False,0.0,14:25:46
83000.0,100,-600.0,0.0,BU,387900.0,291400.0,False,0.0,14:25:46
83000.0,100,-600.0,0.0,BU,387800.0,291400.0,False,0.0,14:25:46
